Epoch	TotalEnvInteracts	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	TestEpLen	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	LossQ1	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	AverageAlpha	StdAlpha	MaxAlpha	MinAlpha	LossAlpha	AveragePreTanh	StdPreTanh	MaxPreTanh	MinPreTanh	AverageMCDisRet	StdMCDisRet	MaxMCDisRet	MinMCDisRet	AverageMCDisRetEnt	StdMCDisRetEnt	MaxMCDisRetEnt	MinMCDisRetEnt	AverageQPred	StdQPred	MaxQPred	MinQPred	AverageQBias	StdQBias	MaxQBias	MinQBias	AverageQBiasAbs	StdQBiasAbs	MaxQBiasAbs	MinQBiasAbs	AverageNormQBias	StdNormQBias	MaxNormQBias	MinNormQBias	AverageQBiasSqr	StdQBiasSqr	MaxQBiasSqr	MinQBiasSqr	AverageNormQBiasSqr	StdNormQBiasSqr	MaxNormQBiasSqr	MinNormQBiasSqr
0	999	7.429933786392212	1.0747212	5.7600102	18.986414	-7.0221887	19.431372	-2.2483742	0.0	-2.2483742	-2.2483742	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-2.0689306	3.0240288	9.623209	-9.949541	-16.754602	9.472982	1.1528026	-38.128765	-0.13407567	0.3481918	1.3364856	-1.0190672	16.62053	9.533826	38.14618	-1.5438043	16.647434	9.486766	38.14618	0.02127031	0.8471709	0.29907885	1.0750765	-0.15438044	367.13583	339.11038	1455.131	0.00045242615	16.189669	9.975705	38.1636	4.5242614e-05
1	1999	10.513904094696045	1.0942866	5.904872	24.766956	-7.2205453	19.62745	-2.2483742	0.0	-2.2483742	-2.2483742	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-2.0689306	3.0240288	9.623209	-9.949541	-16.754602	9.472982	1.1528026	-38.128765	-0.13407567	0.3481918	1.3364856	-1.0190672	16.62053	9.533826	38.14618	-1.5438043	16.647434	9.486766	38.14618	0.02127031	0.8471709	0.29907885	1.0750765	-0.15438044	367.13583	339.11038	1455.131	0.00045242615	16.189669	9.975705	38.1636	4.5242614e-05
2	2999	13.692298889160156	3.1628726	6.1479716	23.34993	-6.1885276	22.066668	-1.7566769	0.0	-1.7566769	-1.7566769	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-2.3324313	3.0509214	8.68414	-11.590904	-15.696437	9.973946	0.977803	-50.6593	-0.090361156	0.37436754	1.4356165	-0.9850577	15.606075	10.035196	50.662403	-1.1632284	15.637417	9.986287	50.662403	0.027063187	0.82946587	0.31567293	1.1109277	-0.116322845	344.25473	409.09863	2566.679	0.0007324161	15.177587	10.466387	50.665504	7.324161e-05
3	3999	16.931150674819946	1.7894425	6.4324756	23.535067	-8.250434	20.469387	-2.2719178	0.0	-2.2719178	-2.2719178	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-2.3700352	3.275255	8.838656	-13.280411	-18.641794	13.81384	2.6584308	-68.006134	-0.09691192	0.38192308	1.4979866	-1.1102813	18.544882	13.894476	68.776184	-2.6149871	18.593765	13.828989	68.776184	0.0072925356	0.8362718	0.31157947	1.0868762	-0.26149872	536.9691	773.77246	4730.163	5.3181077e-05	18.137075	14.292585	70.018715	5.318108e-06
4	4999	20.1755588054657	1.9083222	4.7744718	16.023567	-6.594816	22.977272	-1.7019083	0.0	-1.7019083	-1.7019083	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-2.4759924	3.1378465	9.8743515	-10.03651	-17.038267	9.661676	0.54194075	-49.898487	-0.04944242	0.38194248	1.3962659	-0.92459464	16.988823	9.731827	50.29539	-1.2449552	17.00716	9.699745	50.29539	0.042471495	0.8603844	0.29247388	1.0908374	-0.12449552	383.32852	370.5037	2529.6265	0.0018038278	16.644365	10.193214	50.695454	0.00018038278
5	5999	234.11224603652954	9.160977	27.758335	68.51079	-26.926125	99.3	30.778854	0.0	30.778854	30.778854	172.0	109.760666	62.657402	229.70815	-55.421032	20.278717	-1.7201054	2.6934152	35.423527	-12.295927	-119.807465	0.8749322	0.069661275	1.0010908	0.75800484	-0.62259984	0.8497745	0.6490082	23.831373	5.9604645e-08	-4.168658	15.637704	42.65237	-32.383984	14.687859	22.46521	84.60305	-20.349154	159.42374	41.228634	217.77394	-22.203312	144.73587	32.15552	204.05353	-20.733456	144.78046	31.954191	204.05353	3.2516217	9.81699	5.2004747	20.341747	-2.0733454	21982.45	7856.6504	41637.84	10.573044	1489.3276	935.6301	4137.8667	1.0573044
6	6999	446.58689880371094	59.64029	72.81934	182.42351	-1.9330558	176.4	273.37982	0.0	273.37982	273.37982	158.0	155.91983	51.540714	251.67323	-81.48635	19.741926	-1.02964	2.9522312	19.877857	-12.1240425	-167.10005	0.6630563	0.052229367	0.7577986	0.57669973	-1.6566343	0.8189435	0.6104593	5.0288897	3.7550926e-06	4.433553	20.587803	52.697704	-35.784927	20.700203	27.642097	82.72876	-34.364223	159.49754	48.31068	271.6165	5.700765	138.79736	42.56847	260.45105	6.1598563	138.79736	42.56847	260.45105	6.1598563	8.065168	5.9764824	26.045105	0.61598563	21076.78	12120.506	67834.75	37.94383	1269.6982	1267.8756	6783.4756	3.7943828
7	7999	661.3360879421234	138.558	136.52316	381.17792	-18.760223	150.42857	166.95952	0.0	166.95952	166.95952	325.0	142.32623	52.740112	356.53192	-83.53503	19.689247	-0.5564043	3.2846127	24.02402	-13.145489	-151.69438	0.50405496	0.038850058	0.57653755	0.4422596	-2.420187	0.817937	0.6264667	6.844109	8.940697e-08	5.5942574	24.455	59.382126	-38.353462	17.468025	28.642662	80.871025	-41.021523	123.053406	51.05757	240.26683	-36.966488	105.585365	50.785717	241.5064	-35.398346	106.0426	49.823944	241.5064	0.1833552	5.4659963	4.8158484	23.421663	-3.5398345	13727.459	11831.889	58325.34	0.033619132	749.016	911.02795	5485.7437	0.0014843709
8	8999	874.1606156826019	44.888123	36.941666	108.87884	-7.856907	151.0	-7.191991	0.0	-7.191991	-7.191991	97.0	124.64865	59.577003	462.45477	-82.28412	19.842348	0.32444164	3.51509	27.053558	-13.763603	-133.16296	0.39304462	0.0268938	0.44214764	0.34952468	-2.4873984	0.811368	0.64174336	6.8506575	7.1525574e-07	5.2829747	16.22033	47.657387	-29.900225	-6.2345695	17.96563	44.797924	-46.563564	223.68411	90.487686	484.61145	-2.0243104	229.91869	95.930374	498.57785	-1.0916506	229.92087	95.92517	498.57785	1.0916506	16.44134	9.145198	43.395283	-0.10916506	62065.242	51415.027	248579.88	1.191701	4368.588	4023.5537	19799.17	0.11917011
9	9999	1085.5260422229767	95.73091	58.805435	192.5216	26.217638	109.55556	8.8741255	0.0	8.8741255	8.8741255	28.0	132.07722	63.834892	509.39862	-113.614494	30.04634	1.8708119	3.6961737	32.452614	-11.792536	-141.49585	0.3234146	0.012121405	0.3494449	0.30779475	-1.2546163	0.8672135	0.68942773	7.7151628	5.364418e-07	37.70479	54.40877	141.58597	-52.191372	11.12681	52.021446	108.91414	-84.47039	193.26366	61.430588	352.05365	-59.091988	182.13686	66.30047	336.2395	-58.41222	182.59184	65.03698	336.2395	4.8442416	7.9540935	6.3974676	27.183031	-5.8412223	37569.586	23014.871	113057.01	23.466675	1627.9448	1423.4092	7389.1714	1.5182514
10	10999	1297.844614982605	294.14325	133.47014	517.8602	167.57928	247.25	364.25525	0.0	364.25525	364.25525	185.0	146.45474	56.148136	427.14514	-93.18341	28.237421	2.1869717	3.8769228	35.387184	-13.739693	-155.71625	0.2908576	0.012966443	0.30777106	0.265348	-1.0151907	0.8852023	0.7129587	9.218111	1.1920929e-06	37.66117	51.333385	128.72844	-53.800915	17.6079	53.179844	109.48324	-77.48275	167.55775	47.092903	263.6562	-54.05987	149.94984	52.775925	277.9236	-49.304405	150.03957	52.520294	277.9236	2.8819864	5.6753798	5.5366926	23.789057	-4.9304404	25270.256	16531.39	77241.53	8.305846	985.42334	1082.348	5659.192	0.8305846
11	11999	1510.6236157417297	86.7219	92.55806	262.4111	-24.517075	146.85715	73.01282	0.0	73.01282	73.01282	95.0	129.06947	50.880356	401.63452	-85.9449	21.964504	2.3579996	3.960062	35.94198	-13.061946	-137.11209	0.24480356	0.010358063	0.26530004	0.22781797	-0.89775515	0.86549836	0.7051313	8.422165	2.8600916e-06	34.099564	37.292843	122.02885	-37.278385	-7.958996	31.434683	70.26709	-84.10996	176.63081	45.768425	307.27832	30.171738	184.5898	46.823456	294.89105	30.85331	184.5898	46.823456	294.89105	30.85331	10.029308	6.2073665	27.489132	2.2525094	36265.832	17012.453	86960.73	951.9267	1886.033	1405.3779	7556.524	95.19267
12	12999	1723.2030839920044	58.937077	59.93057	159.91246	-14.822893	159.83333	48.235146	0.0	48.235146	48.235146	93.0	119.30823	48.272434	387.62396	-104.446785	23.808735	2.853641	3.927313	34.925728	-14.031057	-126.99376	0.21978422	0.0031590296	0.2277765	0.21645923	-0.2198254	0.8596684	0.70588297	11.545319	6.7055225e-07	75.2064	54.535114	164.52612	-48.672665	36.369694	44.60291	106.40677	-76.496895	143.85112	58.55363	333.3509	-59.414886	107.48142	56.004242	281.1549	-47.788937	108.02488	54.948704	281.1549	1.2226957	3.8049123	4.118119	20.053959	-4.7788935	14688.733	13961.81	79048.08	1.4949847	552.6874	699.76953	4021.6125	0.018230706
13	13999	1936.8577399253845	135.78525	123.27524	336.1995	-18.348186	119.85714	416.66006	0.0	416.66006	416.66006	333.0	112.04322	52.82192	322.49866	-113.71644	28.048601	3.1049364	3.9940689	34.665886	-12.761572	-119.53608	0.22380082	0.004767956	0.2298457	0.21675587	0.15768991	0.89111483	0.7307625	9.051028	1.5497208e-06	98.2663	33.049717	152.9406	2.109657	56.833397	21.34617	102.29269	2.109657	161.40988	32.258667	273.7096	64.183464	104.57646	42.41252	226.21806	-16.610403	104.673164	42.17329	226.21806	0.11222048	2.6023138	2.4820354	15.858595	-0.17192669	12735.059	9442.3125	51174.617	0.012593436	339.25146	402.51508	2514.9504	0.00013613647
14	14999	2147.4771254062653	121.01962	133.09009	408.65128	3.6931782	123.55556	281.01093	0.0	281.01093	281.01093	191.0	99.97225	47.474197	287.95493	-96.8216	23.980923	2.9112053	4.0375485	36.210224	-12.9536495	-106.669014	0.21984082	0.005879748	0.2291266	0.21246701	-0.13328177	0.8965116	0.7337393	9.388973	1.6093254e-06	56.087715	48.76573	137.60263	-54.21804	18.468073	45.544067	89.20449	-101.206505	127.11595	50.611794	259.74826	-41.065765	108.64787	54.69292	281.71545	-39.153023	109.11283	53.759342	281.71545	2.333813	3.9777894	3.4772778	17.53941	-3.9153023	14795.677	15193.226	79363.6	5.4466825	500.9374	518.5635	3076.3088	0.15716818
