Epoch	TotalEnvInteracts	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	TestEpLen	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	LossQ1	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	AverageAlpha	StdAlpha	MaxAlpha	MinAlpha	LossAlpha	AveragePreTanh	StdPreTanh	MaxPreTanh	MinPreTanh	AverageMCDisRet	StdMCDisRet	MaxMCDisRet	MinMCDisRet	AverageMCDisRetEnt	StdMCDisRetEnt	MaxMCDisRetEnt	MinMCDisRetEnt	AverageQPred	StdQPred	MaxQPred	MinQPred	AverageQBias	StdQBias	MaxQBias	MinQBias	AverageQBiasAbs	StdQBiasAbs	MaxQBiasAbs	MinQBiasAbs	AverageNormQBias	StdNormQBias	MaxNormQBias	MinNormQBias	AverageQBiasSqr	StdQBiasSqr	MaxQBiasSqr	MinQBiasSqr	AverageNormQBiasSqr	StdNormQBiasSqr	MaxNormQBiasSqr	MinNormQBiasSqr
0	999	30.000755310058594	-380.24023	0.0	-380.24023	-380.24023	1000.0	940.92804	0.0	940.92804	940.92804	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-73.99476	37.35422	8.119592	-127.1103	-72.70882	36.723648	9.022185	-135.256	-0.1856773	0.5963421	1.4897665	-1.5683756	72.52314	36.718044	134.93564	-9.504541	72.72385	36.318905	134.93564	0.047927212	0.9262335	0.27009508	1.1037887	-0.9504541	6607.82	4257.88	18207.627	0.0022970175	72.43356	36.529377	134.61604	0.00022970176
1	1999	49.87495994567871	-358.08673	0.0	-358.08673	-358.08673	1000.0	940.92804	0.0	940.92804	940.92804	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-73.99476	37.35422	8.119592	-127.1103	-72.70882	36.723648	9.022185	-135.256	-0.18567725	0.596342	1.4897662	-1.5683756	72.52314	36.718044	134.93564	-9.504541	72.72385	36.318905	134.93564	0.047927346	0.9262335	0.27009505	1.1037887	-0.9504541	6607.82	4257.88	18207.627	0.0022970305	72.43356	36.529377	134.61604	0.00022970304
2	2999	71.36882472038269	-14.571307	35.704567	23.749765	-108.24556	90.2	968.2182	0.0	968.2182	968.2182	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-81.04612	33.587357	4.804327	-130.44405	-79.555115	33.614456	4.900547	-133.28316	-0.15494654	0.5950499	1.2409207	-1.7713951	79.40016	33.62717	133.52644	-4.545722	79.45304	33.50206	133.52644	0.008518925	0.9515986	0.188749	1.0607028	-0.4545722	7435.1724	4109.854	17829.31	7.2572075e-05	79.179726	33.797413	133.77017	7.257208e-06
3	3999	84.51149082183838	-21.863068	37.32198	4.467001	-85.877014	84.0	962.7255	0.0	962.7255	962.7255	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-30.47871	26.906551	6.0201364	-133.72806	-32.541027	30.021725	9.303277	-154.84312	-0.19630338	0.58090687	1.4183028	-1.8236136	32.344727	30.03469	155.39938	-9.015895	32.498405	29.868336	155.39938	0.028082384	0.84907204	0.32004002	1.0837644	-0.90158945	1948.2639	3941.432	24148.97	0.00078862027	31.994713	30.186417	156.4337	7.8862024e-05
4	4999	101.11151027679443	-114.89539	140.84811	-5.842436	-354.56287	296.75	965.9754	0.0	965.9754	965.9754	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-53.87928	38.399048	5.9083953	-111.38064	-53.04386	36.507057	10.301419	-106.24153	-0.19590186	0.58983415	1.4406766	-1.9931448	52.847965	36.503872	106.13122	-10.507522	53.33313	35.79131	106.13122	0.009456335	0.85742897	0.37728003	1.0746505	-1.0356562	4125.44	3870.285	11263.835	8.942226e-05	52.931244	36.088013	106.42939	8.9422265e-06
5	5999	554.2787065505981	-136.29015	129.43498	0.5718654	-309.99088	386.66666	846.2077	0.0	846.2077	846.2077	1000.0	146.92726	66.47468	239.04767	-11.244281	5.021294	-5.0766287	1.0055889	19.43633	-12.251631	-151.93607	0.8619622	0.07486269	0.99970007	0.7395539	-1.3783904	0.6912155	0.5345209	18.17656	1.4901161e-07	-25.348785	10.253275	3.4262981	-60.67539	64.77766	21.923748	91.36493	-3.8539293	230.8235	6.0776844	239.41031	202.59735	166.04587	19.348022	233.55843	129.3316	166.04587	19.348022	233.55843	129.3316	4.121737	5.573122	23.355843	1.4750632	27945.574	7151.3955	54549.535	16726.662	783.62695	1262.8293	5454.9536	198.61539
6	6999	996.7571203708649	-91.65617	71.57863	-20.07754	-163.2348	247.5	574.8353	0.0	574.8353	574.8353	1000.0	242.90352	17.121265	258.31906	-13.454233	3.9280238	-4.9039245	1.2785484	18.25188	-12.192902	-247.24867	0.6398908	0.05476933	0.7393345	0.54958826	-4.0036564	0.66655964	0.50894976	4.9048595	1.1175871e-07	-21.45712	16.941319	26.603981	-58.140118	38.466423	31.265823	87.17447	-12.720491	239.00423	5.626868	251.06195	177.54008	200.53781	29.696266	252.96455	145.16855	200.53781	29.696266	252.96455	145.16855	10.970312	9.091608	24.900948	1.6907955	41097.277	11793.942	63991.062	21073.908	2447.6287	2181.152	6200.5723	248.39981
7	7999	1441.829427242279	-111.20798	106.83457	-32.306767	-293.43063	315.5	461.0621	0.0	461.0621	461.0621	1000.0	221.34097	19.12411	251.9284	-12.925427	2.485932	-4.77266	1.4152942	22.801334	-12.561546	-224.74384	0.47547075	0.040579166	0.54942465	0.40876284	-6.5449934	0.6391504	0.4892143	5.064956	6.2584877e-07	-22.226091	11.392258	12.136046	-54.083027	54.632587	29.81237	105.94709	-16.318369	197.76921	4.8753786	208.2868	168.08008	143.13664	27.713688	214.1097	84.653435	143.13664	27.713688	214.1097	84.653435	4.9125	5.472083	21.040602	0.79901606	21256.143	8404.07	45842.96	7166.2036	838.4092	1089.7487	4427.0693	67.63945
8	8999	1888.8355402946472	-67.52857	91.097466	-1.8092638	-196.351	374.0	463.46744	0.0	463.46744	463.46744	1000.0	172.16705	18.440052	210.99069	-9.41259	1.6341897	-4.5006447	1.5870839	25.02192	-13.42538	-174.80084	0.35412493	0.029888937	0.40864256	0.30512646	-8.840891	0.60984606	0.46876606	4.5544834	1.6540289e-06	-1.1737388	17.762709	44.536934	-52.205734	74.036125	27.244362	114.914986	-12.019513	148.7751	4.7260294	162.85828	114.25128	74.738976	26.622686	164.1798	31.847586	74.738976	26.622686	164.1798	31.847586	1.8985437	2.9902456	16.417978	0.29248592	6294.682	4897.043	26955.002	1014.2687	209.32835	434.0978	2695.5002	9.361086
9	9999	2336.7599420547485	-61.8628	89.67351	10.885547	-212.37396	350.25	868.8268	0.0	868.8268	868.8268	1000.0	125.24831	14.636991	165.54265	-8.53807	1.3291692	-4.028308	1.8442553	22.669544	-13.677219	-127.33509	0.26515183	0.021920348	0.3050388	0.2291366	-10.669709	0.585012	0.45218578	5.140442	1.6875565e-06	-1.3214406	21.426989	43.7052	-61.94516	68.22962	25.371946	98.55666	-8.07526	107.167885	5.513876	126.70711	85.9668	38.938255	26.4681	126.19111	3.333097	38.938255	26.4681	126.19111	3.333097	1.3823414	2.690568	12.619111	0.03583583	2216.748	3181.2131	15924.196	11.109535	117.14516	292.24582	1592.4196	0.119444296
