Epoch	TotalEnvInteracts	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	TestEpLen	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	LossQ1	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	AverageAlpha	StdAlpha	MaxAlpha	MinAlpha	LossAlpha	AveragePreTanh	StdPreTanh	MaxPreTanh	MinPreTanh	AverageMCDisRet	StdMCDisRet	MaxMCDisRet	MinMCDisRet	AverageMCDisRetEnt	StdMCDisRetEnt	MaxMCDisRetEnt	MinMCDisRetEnt	AverageQPred	StdQPred	MaxQPred	MinQPred	AverageQBias	StdQBias	MaxQBias	MinQBias	AverageQBiasAbs	StdQBiasAbs	MaxQBiasAbs	MinQBiasAbs	AverageNormQBias	StdNormQBias	MaxNormQBias	MinNormQBias	AverageQBiasSqr	StdQBiasSqr	MaxQBiasSqr	MinQBiasSqr	AverageNormQBiasSqr	StdNormQBiasSqr	MaxNormQBiasSqr	MinNormQBiasSqr
0	999	15.912737131118774	22.293045	23.317293	132.62253	5.2394886	24.625	60.34344	0.0	60.34344	60.34344	53.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.096712	5.535892	27.360485	-2.5761926	10.059441	7.585509	36.065235	-0.9156942	0.15907991	0.38499218	1.3698759	-1.1005878	-9.900362	7.5808315	1.9015806	-36.18764	9.927935	7.5446844	36.18764	0.008557048	-0.6782487	0.35328463	0.19015805	-1.0832915	155.48616	204.64282	1309.5454	7.322307e-05	8.940866	8.161252	36.310463	7.3223073e-06
1	1999	22.672669887542725	20.814556	20.167421	124.153015	5.428253	23.5	60.34344	0.0	60.34344	60.34344	53.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.096712	5.535892	27.360485	-2.5761926	10.059441	7.585509	36.065235	-0.9156942	0.15907992	0.38499215	1.3698759	-1.100588	-9.900362	7.5808315	1.9015807	-36.18764	9.927935	7.544684	36.18764	0.008556832	-0.6782487	0.35328463	0.19015807	-1.0832915	155.48615	204.64282	1309.5454	7.321937e-05	8.940866	8.161252	36.310463	7.3219376e-06
2	2999	29.27776288986206	17.460537	16.582548	105.42657	5.3510084	20.979591	59.399616	0.0	59.399616	59.399616	53.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.233373	8.929823	41.937675	-3.47486	11.577597	11.154159	53.84074	-1.2010777	0.12833716	0.38053435	1.4837831	-1.0528812	-11.449261	11.193318	1.5516647	-54.38618	11.490232	11.151255	54.38618	0.008501472	-0.6661673	0.37001637	0.15516646	-1.0799518	256.37592	479.93237	2957.8567	7.227503e-05	10.581183	11.701974	54.93715	7.2275025e-06
3	3999	35.60661268234253	17.077888	8.235182	38.263966	5.8786683	22.044445	59.796833	0.0	59.796833	59.796833	53.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.046069	10.344884	58.180862	-0.5064567	12.620604	12.953299	71.834915	-0.72630024	0.13005972	0.36825278	1.3784957	-1.1443552	-12.490545	12.992613	0.7053641	-72.13993	12.505378	12.978337	72.13993	0.012936612	-0.6869642	0.35654575	0.07053641	-1.0825877	324.8217	733.97473	5204.1694	0.00016735593	11.596118	13.513538	72.738594	1.6735592e-05
4	4999	42.31675696372986	22.184013	22.71988	109.465385	6.3513336	23.47619	60.312557	0.0	60.312557	60.312557	54.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.693829	9.1059	39.994812	-2.6318586	13.355648	11.939544	52.037384	-1.4091913	0.13058504	0.3694818	1.3881572	-1.1313962	-13.225063	11.94022	2.1333888	-50.96112	13.26434	11.896571	50.96112	0.0023383123	-0.7082143	0.35614255	0.21333887	-1.0925264	317.47113	507.6655	2597.036	5.4677053e-06	12.399534	12.461619	50.132843	5.467705e-07
5	5999	498.69223070144653	166.94582	79.45648	263.12125	48.85886	83.5	249.0992	0.0	249.0992	249.0992	107.0	90.725716	51.90781	180.00117	-23.029016	10.392769	-0.7523809	1.894428	14.409197	-9.0288	-96.8545	0.88232213	0.06292157	0.99970007	0.7786344	-0.19983521	0.84359056	0.61827046	5.4821362	3.5762787e-07	101.42555	42.298775	158.44286	2.508575	112.33108	48.026184	179.65984	2.508575	130.7714	49.13569	180.22911	25.504826	18.440308	15.817788	74.70545	-52.380398	20.40412	13.187846	74.70545	0.017318457	0.3222827	0.6092714	4.320332	-0.34603465	590.2474	754.3267	5580.9043	0.000299929	9.885817	20.66815	186.6527	3.463501e-06
6	6999	964.3421339988708	277.5169	74.6653	414.4918	174.9371	131.28572	319.04953	0.0	319.04953	319.04953	140.0	169.11285	52.433327	211.68175	-39.64795	15.973348	-0.37396404	2.3806772	18.110283	-9.764504	-177.88728	0.68697774	0.052564833	0.7784474	0.5971359	-0.52207714	0.88626146	0.668763	6.2681074	4.7683716e-07	116.85792	41.133156	162.42506	2.3170106	128.51714	46.65661	178.91145	2.3170106	140.94057	73.62593	209.34914	-11.805079	12.4234295	34.937332	66.77281	-90.4772	33.094994	16.72364	90.4772	0.07223026	0.010574192	0.33612087	0.7391923	-1.412209	1374.9587	1290.63	8186.1245	0.0052172095	11.262653	12.226288	80.34573	0.00045290933
7	7999	1432.2272386550903	366.25488	46.35035	461.62747	324.6089	177.83333	365.05847	0.0	365.05847	365.05847	175.0	177.87798	54.19448	217.9812	-47.41271	11.302957	-0.2747767	2.47418	19.597324	-9.386191	-185.66843	0.5226772	0.04071403	0.596966	0.45587832	-0.8262975	0.8899672	0.6817218	5.757896	1.7285347e-06	107.87307	44.248642	165.55215	1.8997613	121.98036	50.637604	186.76495	1.8997613	162.72324	53.89773	215.25961	2.1922002	40.742855	35.477985	130.96962	-6.380172	40.995373	35.18589	130.96962	0.016972069	0.62114936	1.5358803	12.977825	-0.16655146	2918.6677	4114.889	17153.04	0.00028805112	60.02474	193.22664	1684.2394	2.6930256e-06
8	8999	1900.734816789627	349.9242	66.91843	443.30954	254.23131	214.5	1028.7516	0.0	1028.7516	1028.7516	1000.0	166.69469	51.779137	215.30093	-28.370243	7.3111854	-0.31667915	2.4978342	18.038406	-11.189113	-173.1675	0.39672282	0.034168553	0.45576712	0.3384918	-1.2304285	0.87710285	0.6839092	6.102496	1.5497208e-06	124.454865	29.336605	160.7543	2.6202455	144.21469	36.40243	183.25754	2.6202455	143.46036	41.681503	186.78864	3.5415301	-0.7543225	10.753719	19.071678	-25.696215	9.187326	5.6395497	25.696215	0.003622798	-0.016664142	0.08871583	0.46892914	-0.3434105	116.21148	116.17665	660.2955	1.3124666e-05	0.8772608	0.94358945	5.8991585	8.777344e-08
9	9999	2370.3490631580353	348.15918	50.549927	420.4544	289.73035	155.0	295.9811	0.0	295.9811	295.9811	114.0	149.29189	44.174446	189.87628	-23.912376	4.614942	-0.21890098	2.5091307	19.813904	-10.928661	-154.62111	0.29293588	0.023458134	0.3383839	0.25826064	-1.4835032	0.8948564	0.6872168	6.0351305	3.002584e-06	119.52982	45.90894	166.13335	3.360092	125.82611	49.95015	179.2683	3.360092	142.0128	49.792816	186.94252	20.175085	16.186686	7.751434	33.581257	-3.570164	16.206207	7.710536	33.581257	0.020691946	0.21211338	0.32906294	2.4689822	-0.07138139	322.09348	268.7555	1127.7008	0.00042815667	4.0721536	6.8030252	60.958733	2.4321043e-06
