Epoch	TotalEnvInteracts	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	TestEpLen	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	LossQ1	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	AverageAlpha	StdAlpha	MaxAlpha	MinAlpha	LossAlpha	AveragePreTanh	StdPreTanh	MaxPreTanh	MinPreTanh	AverageMCDisRet	StdMCDisRet	MaxMCDisRet	MinMCDisRet	AverageMCDisRetEnt	StdMCDisRetEnt	MaxMCDisRetEnt	MinMCDisRetEnt	AverageQPred	StdQPred	MaxQPred	MinQPred	AverageQBias	StdQBias	MaxQBias	MinQBias	AverageQBiasAbs	StdQBiasAbs	MaxQBiasAbs	MinQBiasAbs	AverageNormQBias	StdNormQBias	MaxNormQBias	MinNormQBias	AverageQBiasSqr	StdQBiasSqr	MaxQBiasSqr	MinQBiasSqr	AverageNormQBiasSqr	StdNormQBiasSqr	MaxNormQBiasSqr	MinNormQBiasSqr
0	999	13.174448251724243	120.9081	32.29719	216.34543	83.19537	24.170732	107.70396	0.0	107.70396	107.70396	22.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	75.58841	42.927334	211.46869	3.7759414	-461.67886	290.13565	6.1919827	-1306.7687	-0.7386349	0.66119856	0.8298555	-2.4416616	460.94022	290.19394	1305.827	-7.0885115	461.33463	289.56653	1305.827	4.656509	0.9441649	0.2846483	1.0246892	-0.70885116	296678.38	310080.44	1705184.4	21.683075	460.55017	289.7016	1304.8862	2.1683075
1	1999	20.84603524208069	119.15225	31.674957	216.05151	78.76896	24.02381	107.70396	0.0	107.70396	107.70396	22.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	75.58841	42.927334	211.46869	3.7759414	-461.67886	290.13565	6.1919827	-1306.7687	-0.7386348	0.6611985	0.8298551	-2.4416616	460.94022	290.19394	1305.827	-7.0885115	461.33463	289.56653	1305.827	4.6565094	0.9441649	0.2846483	1.0246892	-0.70885116	296678.38	310080.44	1705184.4	21.683079	460.55017	289.7016	1304.8862	2.168308
2	2999	28.402175188064575	118.352844	30.781944	223.01996	83.474915	23.619047	112.74596	0.0	112.74596	112.74596	23.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	74.96669	43.413193	197.28943	4.0184894	-468.3496	298.59723	5.8794103	-1339.8535	-0.77759904	0.65042233	1.1742419	-2.5329466	467.572	298.62375	1338.4174	-7.058203	467.96048	298.0146	1338.4174	3.9603972	0.94410294	0.28329164	1.0148721	-0.7058203	307799.7	326669.4	1791360.9	15.684747	467.1393	298.1133	1336.9827	1.5684747
3	3999	35.81087946891785	112.997536	29.20088	210.18936	83.286	22.522728	102.28285	0.0	102.28285	102.28285	21.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	77.04491	43.788708	192.95418	3.8221638	-481.0904	308.20996	6.1213126	-1281.7	-0.7574115	0.67025286	1.2684958	-2.4615533	480.33304	308.2525	1280.989	-7.3504076	480.71136	307.66214	1280.989	4.249616	0.94595397	0.2789893	1.0119541	-0.7350407	325739.4	342903.56	1640932.9	18.059237	479.91684	307.76636	1280.2786	1.8059237
4	4999	43.60970163345337	119.03293	33.708797	232.08597	83.30822	23.651163	112.48796	0.0	112.48796	112.48796	23.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	79.36693	45.43891	213.22894	4.1014323	-493.37683	306.42114	6.170279	-1268.0436	-0.80114543	0.6467358	0.8273696	-2.3520675	492.5757	306.42984	1267.2153	-7.2765436	492.9344	305.8525	1267.2153	4.762274	0.94833785	0.27271128	1.0224342	-0.72765434	336530.06	340554.1	1605834.6	22.679253	492.0886	305.93713	1266.3876	2.2679253
5	5999	475.03434467315674	219.4973	111.977104	417.75754	83.11834	42.130436	415.91278	0.0	415.91278	415.91278	78.0	216.4202	195.9262	583.9984	-51.80331	238.90787	-3.9550493	14.87697	206.77205	-21.434887	-231.4491	0.95656186	0.043732896	1.0134585	0.87472385	-0.43079808	0.93597955	1.106778	34.68241	4.246831e-07	142.97977	72.82485	293.4523	4.1944575	193.35962	100.892525	399.61386	4.1944575	350.42593	174.99324	579.3177	18.91906	157.06631	109.46613	503.13608	-42.832035	159.00916	106.62437	503.13608	0.00083777803	1.2761462	2.844799	48.699814	-0.45910826	36652.66	37389.16	253145.92	7.0187207e-07	302.4555	1198.929	24502.635	4.675747e-09
6	6999	906.3942234516144	367.62494	67.42595	517.89355	255.65369	73.53846	519.8716	0.0	519.8716	519.8716	95.0	365.11963	201.16995	611.2718	-13.96722	258.04324	-4.277363	6.219666	24.611038	-21.495007	-390.88474	0.80017346	0.042004712	0.87455153	0.7262482	-1.3838587	0.8781068	0.6498244	5.3098035	2.3841858e-07	164.45801	83.45018	322.9706	3.1698022	207.06499	108.83623	427.81857	3.1698022	347.9743	187.56682	589.92053	8.245769	140.90933	119.63453	397.41626	-155.14865	153.65552	102.75134	397.41626	0.33279458	0.86207294	1.0006738	7.6235313	-0.81997955	34167.86	34408.812	157939.69	0.110752225	186.13434	254.80397	2124.5256	0.0005167382
7	7999	1334.5693032741547	442.70343	66.72746	557.33234	300.1712	89.72727	433.1263	0.0	433.1263	433.1263	91.0	319.5692	179.97815	594.33307	-18.583008	160.31148	-4.538366	5.113473	23.169003	-22.005283	-340.19537	0.6437392	0.04765064	0.7260911	0.5629627	-2.9029868	0.85215956	0.6441279	5.5050607	1.4901161e-07	172.64151	88.13828	341.31262	3.6215475	224.03339	118.17186	445.9124	3.6215475	315.41293	164.89542	519.5974	-0.29567283	91.37952	68.12462	259.5276	-38.81813	93.57651	65.07394	259.5276	0.0009579719	0.42259082	0.3839504	2.6102703	-0.8148748	12991.181	14579.212	67354.57	9.177101e-07	54.353966	67.524536	402.74402	2.5572618e-08
8	8999	1759.7435240745544	416.2227	84.52111	601.80334	275.7434	83.61539	485.62726	0.0	485.62726	485.62726	91.0	273.85342	153.86232	526.44507	-8.867167	104.74503	-4.415591	5.078577	23.372528	-22.156395	-289.87894	0.49223596	0.039290924	0.5628109	0.42677763	-4.562543	0.8455804	0.6456433	5.8278627	2.9802322e-08	178.31203	88.82555	351.70032	3.4544616	233.9903	119.790504	471.78784	3.4544616	260.49646	139.08354	454.98654	5.1040463	26.506186	42.605694	158.08636	-71.16997	39.60622	30.808617	158.08636	0.0803192	0.10932178	0.26398867	3.444793	-0.621309	2517.8232	3629.298	24991.297	0.0064511746	9.689684	13.240681	118.66598	0.00042989771
9	9999	2189.3230566978455	431.55798	81.140495	548.35425	266.129	82.818184	405.69492	0.0	405.69492	405.69492	73.0	239.30342	131.32558	459.9494	-8.970066	67.08418	-4.0329537	5.377354	30.978252	-21.119884	-251.78517	0.37234074	0.029861847	0.42665535	0.32296234	-5.967297	0.8516861	0.6463672	6.949281	1.4901161e-07	184.20868	88.4998	336.05222	3.7750988	234.39299	116.08928	437.28345	3.7750988	248.69797	112.64818	406.29224	3.2129428	14.304956	34.00655	117.918274	-105.67396	28.781183	23.080742	117.918274	0.014898802	0.16770719	0.4757332	6.1314316	-0.30362222	1361.0771	2046.4996	13904.719	0.0002219743	9.300827	22.90691	375.94452	6.7925157e-07
