Epoch	TotalEnvInteracts	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	TestEpLen	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	LossQ1	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	AverageAlpha	StdAlpha	MaxAlpha	MinAlpha	LossAlpha	AveragePreTanh	StdPreTanh	MaxPreTanh	MinPreTanh	AverageMCDisRet	StdMCDisRet	MaxMCDisRet	MinMCDisRet	AverageMCDisRetEnt	StdMCDisRetEnt	MaxMCDisRetEnt	MinMCDisRetEnt	AverageQPred	StdQPred	MaxQPred	MinQPred	AverageQBias	StdQBias	MaxQBias	MinQBias	AverageQBiasAbs	StdQBiasAbs	MaxQBiasAbs	MinQBiasAbs	AverageNormQBias	StdNormQBias	MaxNormQBias	MinNormQBias	AverageQBiasSqr	StdQBiasSqr	MaxQBiasSqr	MinQBiasSqr	AverageNormQBiasSqr	StdNormQBiasSqr	MaxNormQBiasSqr	MinNormQBiasSqr
0	999	15.13426160812378	1.0747212	5.7600102	18.986414	-7.0221887	19.431372	-2.2483742	0.0	-2.2483742	-2.2483742	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-2.0689306	3.0240288	9.623209	-9.949541	-16.754602	9.472982	1.1528026	-38.128765	0.107487224	0.37779257	1.3106765	-1.0158111	16.862091	9.4989605	38.42748	-0.83320713	16.872118	9.481141	38.42748	0.017124282	0.863667	0.29392648	1.0810432	-0.083320715	374.56036	341.32135	1476.6713	0.00029324106	16.595081	10.029728	39.10535	2.9324106e-05
1	1999	21.81868839263916	1.0942866	5.904872	24.766956	-7.2205453	19.62745	-2.2483742	0.0	-2.2483742	-2.2483742	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-2.0689306	3.0240288	9.623209	-9.949541	-16.754602	9.472982	1.1528026	-38.128765	0.10748722	0.3777925	1.3106761	-1.015811	16.862091	9.4989605	38.42748	-0.83320725	16.872116	9.48114	38.42748	0.017124401	0.863667	0.29392648	1.0810432	-0.08332072	374.56036	341.32135	1476.6713	0.00029324513	16.595081	10.029728	39.10535	2.9324514e-05
2	2999	28.24725866317749	3.1628726	6.1479716	23.34993	-6.1885276	22.066668	-1.7566769	0.0	-1.7566769	-1.7566769	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-2.3324313	3.0509214	8.68414	-11.590904	-15.696437	9.973946	0.977803	-50.6593	0.034046404	0.3767203	1.2017937	-0.93972605	15.730481	9.99964	51.4973	-0.67979616	15.738795	9.98655	51.4973	0.007685456	0.8389725	0.30910555	1.0871226	-0.06797962	347.4409	411.3893	2651.9717	5.9066235e-05	15.354152	10.492843	52.34916	5.9066238e-06
3	3999	34.89960527420044	1.7894425	6.4324756	23.535067	-8.250434	20.469387	-2.2719178	0.0	-2.2719178	-2.2719178	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-2.3700352	3.275255	8.838656	-13.280411	-18.641794	13.81384	2.6584308	-68.006134	0.04906195	0.38019183	1.2986729	-1.0716785	18.690853	13.817796	68.2904	-2.7291222	18.720055	13.77821	68.2904	0.012581849	0.8479651	0.3051456	1.087383	-0.2729122	540.27954	772.0279	4663.578	0.00015830291	18.352415	14.223367	68.57584	1.5830292e-05
4	4999	41.295727252960205	1.9083222	4.7744718	16.023567	-6.594816	22.977272	-1.7019083	0.0	-1.7019083	-1.7019083	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-2.4759924	3.1378465	9.8743515	-10.03651	-17.038267	9.661676	0.54194075	-49.898487	0.020701887	0.37705567	1.2170494	-1.0956112	17.058966	9.703007	50.076378	-0.48546708	17.062763	9.696332	50.076378	0.009283793	0.8657336	0.2882311	1.0877082	-0.04854671	385.15665	371.128	2507.6436	8.618881e-05	16.745588	10.196455	50.351562	8.618881e-06
5	5999	503.6096980571747	9.119842	23.919706	58.68372	-20.39489	118.875	221.20107	0.0	221.20107	221.20107	307.0	111.5781	63.623985	205.00652	-24.007177	20.013031	-2.226873	2.636682	33.008232	-14.452477	-120.78702	0.8710063	0.07106761	1.0010799	0.7537539	-0.7159468	0.81296647	0.6338609	24.634048	8.08388e-07	29.773527	37.6127	116.22186	-29.613733	53.11377	43.547585	156.15544	-27.198187	192.15845	23.355268	204.24103	2.984012	139.0447	40.375374	223.68642	-12.249527	139.08614	40.232353	223.68642	9.145765	5.882505	6.2257967	20.614359	-0.74439996	20963.594	10395.452	50035.613	83.64503	1002.4028	1199.6436	4249.5176	7.2567677
6	6999	966.3271658420563	16.865952	35.509438	73.76625	-41.01857	127.625	15.906227	0.0	15.906227	15.906227	98.0	183.85147	57.740505	220.4385	-56.896584	32.303715	-1.6652946	3.1858928	28.377728	-11.958781	-195.23512	0.6566553	0.053149216	0.7535368	0.56902057	-1.9652375	0.7952672	0.6046237	6.100931	3.0100346e-06	-6.163096	16.122297	35.249195	-36.512405	8.656331	24.837614	75.16035	-27.402802	162.02234	72.49931	209.47324	-36.585884	153.366	65.33561	224.83377	-25.183382	154.69238	62.13004	224.83377	0.2071308	9.618229	6.9398923	21.63947	-2.5183382	27789.871	14128.76	50550.227	0.04290317	1792.1052	1443.0692	4682.666	0.0041003027
7	7999	1432.8151721954346	67.34239	111.326065	272.61493	-19.09271	118.2	331.5842	0.0	331.5842	331.5842	198.0	150.91808	62.22957	210.33676	-49.5674	28.36671	-0.94414556	3.3771791	31.392498	-12.818884	-160.32526	0.49975404	0.037444774	0.5688623	0.43755633	-2.7297857	0.78188425	0.60786694	6.9800925	2.3841858e-07	103.271935	26.42319	133.28276	2.9125202	140.98155	37.564617	186.414	2.9125202	173.50557	9.188156	185.43997	105.06884	32.52402	33.178825	157.76215	-30.132679	33.44281	32.252514	157.76215	0.10978756	0.56264484	1.6460602	15.084504	-0.1783371	2158.6462	4113.6274	24888.896	0.012053308	56.98427	221.41718	2275.4229	6.768132e-05
8	8999	1891.017660856247	313.94034	175.52902	635.2475	46.2653	216.83333	325.74774	0.0	325.74774	325.74774	175.0	148.89201	45.899574	190.98796	-31.473017	11.793558	-0.8105817	3.7059948	33.705265	-12.745789	-156.73203	0.3818208	0.031083288	0.4374402	0.33057112	-3.6779814	0.8279332	0.64854306	7.057004	1.1920929e-07	75.76614	48.24406	136.30684	-15.631707	102.38371	59.55922	186.38606	-19.159662	166.65508	21.245337	186.71353	21.685116	64.27136	48.239613	166.70898	-15.289356	65.08809	47.13182	166.70898	0.0038289516	2.3806665	4.1769867	16.670898	-0.083972596	6457.8677	7153.718	27791.885	1.4660871e-05	302.70117	610.2684	2779.1885	8.499255e-08
9	9999	2355.493458032608	351.7046	36.327988	394.66428	303.45657	258.0	512.04144	0.0	512.04144	512.04144	342.0	146.56113	44.558556	207.4421	-35.359833	10.071233	-0.4681648	3.8702679	38.54756	-14.289116	-153.4702	0.28870416	0.022842603	0.33047825	0.25164202	-4.305069	0.82103676	0.64928955	6.544923	1.6987324e-06	108.04261	32.30288	146.8441	2.6609	127.78263	42.773476	166.84995	2.6609	174.07771	20.518452	205.94788	4.5541105	46.295094	48.479794	183.97353	-13.715352	47.256516	47.543114	183.97353	0.038064573	0.92431384	2.1105206	18.397352	-0.37947038	4493.5264	6901.0674	33846.258	0.0014489116	111.20519	304.9693	3384.6257	8.775903e-06
