Epoch	TotalEnvInteracts	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	TestEpLen	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	LossQ1	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	AverageAlpha	StdAlpha	MaxAlpha	MinAlpha	LossAlpha	AveragePreTanh	StdPreTanh	MaxPreTanh	MinPreTanh	AverageMCDisRet	StdMCDisRet	MaxMCDisRet	MinMCDisRet	AverageMCDisRetEnt	StdMCDisRetEnt	MaxMCDisRetEnt	MinMCDisRetEnt	AverageQPred	StdQPred	MaxQPred	MinQPred	AverageQBias	StdQBias	MaxQBias	MinQBias	AverageQBiasAbs	StdQBiasAbs	MaxQBiasAbs	MinQBiasAbs	AverageNormQBias	StdNormQBias	MaxNormQBias	MinNormQBias	AverageQBiasSqr	StdQBiasSqr	MaxQBiasSqr	MinQBiasSqr	AverageNormQBiasSqr	StdNormQBiasSqr	MaxNormQBiasSqr	MinNormQBiasSqr
0	999	28.579445123672485	-380.24023	0.0	-380.24023	-380.24023	1000.0	940.92804	0.0	940.92804	940.92804	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-73.99476	37.35422	8.119592	-127.1103	-72.70882	36.723648	9.022185	-135.256	-0.0785119	0.23844513	0.52880704	-1.0672159	72.6303	36.72154	135.23259	-9.172114	72.82532	36.33326	135.23259	0.054076735	0.92878944	0.267511	1.0386275	-0.9172115	6623.632	4265.5303	18287.854	0.0029242933	72.62678	36.562046	135.20918	0.00029242932
1	1999	47.68997359275818	-358.08673	0.0	-358.08673	-358.08673	1000.0	940.92804	0.0	940.92804	940.92804	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-73.99476	37.35422	8.119592	-127.1103	-72.70882	36.723648	9.022185	-135.256	-0.07844784	0.23799375	0.5277818	-1.0652283	72.630356	36.721546	135.23262	-9.171979	72.82537	36.333267	135.23262	0.054229703	0.9287909	0.2675089	1.0385526	-0.91719794	6623.642	4265.5366	18287.861	0.0029408608	72.62689	36.562077	135.20926	0.00029408606
2	2999	66.87516903877258	-14.571307	35.704567	23.749765	-108.24556	90.2	968.2182	0.0	968.2182	968.2182	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-81.04612	33.587357	4.804327	-130.44405	-79.555115	33.614456	4.900547	-133.28316	-0.070722364	0.24047689	0.69548833	-1.010013	79.48439	33.616543	133.31047	-4.5346594	79.533485	33.500214	133.31047	0.04142901	0.95354277	0.18582574	1.0290883	-0.45346594	7447.8403	4113.672	17771.682	0.0017163627	79.3323	33.797264	133.33778	0.00017163627
3	3999	79.11676025390625	-21.863068	37.32198	4.467001	-85.877014	84.0	962.7255	0.0	962.7255	962.7255	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-30.47871	26.906551	6.0201364	-133.72806	-32.541027	30.021725	9.303277	-154.84312	-0.08713491	0.24056819	0.7286368	-1.1980443	32.453896	30.023506	154.72975	-9.0462055	32.588898	29.87691	154.72975	0.0020918904	0.8545885	0.31556052	1.0390639	-0.9046205	1954.6663	3944.4932	23941.295	4.376006e-06	32.163944	30.20194	155.0564	4.376006e-07
4	4999	95.0789144039154	-114.89539	140.84811	-5.842436	-354.56287	296.75	965.9754	0.0	965.9754	965.9754	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-53.87928	38.399048	5.9083953	-111.38064	-53.04386	36.507057	10.301419	-106.24153	-0.084753655	0.2392973	0.6470691	-1.1929843	52.959114	36.506794	105.881874	-10.343805	53.428097	35.816925	105.881874	0.046359275	0.8615632	0.37356615	1.0286074	-1.0195198	4137.4136	3879.3774	11210.971	0.0021491824	53.110207	36.141293	105.92989	0.00021491823
5	5999	491.90281772613525	-345.9888	0.0	-345.9888	-345.9888	1000.0	528.9459	0.0	528.9459	528.9459	1000.0	143.10286	63.68591	235.12122	-16.225203	19.869469	-4.4883275	1.577743	19.43633	-14.44539	-148.53128	0.86417615	0.07309703	0.99970007	0.74532187	-1.2412024	0.75823754	0.58128613	18.17656	5.5134296e-07	-36.521317	25.623833	13.998155	-79.89132	11.003868	18.686407	41.642593	-27.23051	216.75012	10.534504	236.76306	92.2832	205.74622	18.81506	256.07587	92.63027	205.74622	18.81506	256.07587	92.63027	13.372923	6.6400995	24.401966	3.9703968	42685.523	7729.9863	65574.86	8580.368	2826.933	1520.4941	5954.559	656.45593
6	6999	887.1074216365814	-118.06375	166.59872	1.2485138	-477.978	236.16667	571.0205	0.0	571.0205	571.0205	1000.0	217.5774	16.955153	253.41869	-21.737984	16.849644	-3.9460287	2.013309	18.947166	-15.27668	-222.48372	0.6470819	0.054382745	0.74510866	0.55735666	-3.481704	0.7613341	0.57800335	5.457994	2.7380884e-07	-21.11109	21.632412	12.94937	-77.866615	18.896776	21.241407	60.062614	-45.64348	204.55829	11.294176	229.15262	128.35744	185.66151	20.671371	248.36449	125.99755	185.66151	20.671371	248.36449	125.99755	10.20092	6.177215	22.275112	2.269583	34897.504	7868.0537	61684.914	15875.382	1964.9507	1300.0049	4961.8057	308.00082
7	7999	1281.3115425109863	-60.615734	55.362537	3.7555	-170.60367	160.0	632.1717	0.0	632.1717	632.1717	1000.0	179.1362	21.054928	229.2543	-23.35792	13.04632	-3.6455505	2.1047468	15.931362	-13.593329	-183.03671	0.48386818	0.04045091	0.557197	0.41709688	-5.5694394	0.70129883	0.53551686	5.168527	1.3113022e-06	-17.238497	12.755351	7.8433366	-39.261284	39.429016	19.442192	71.683014	-3.743953	156.96878	8.214459	176.11707	96.67522	117.53975	17.624563	168.91257	71.75724	117.53975	17.624563	168.91257	71.75724	4.678437	4.2129045	16.891256	1.1442615	14126.221	4248.189	28531.455	5149.102	611.75073	643.26575	2853.1455	82.10905
8	8999	1682.2926650047302	-266.10052	0.0	-266.10052	-266.10052	1000.0	208.3204	0.0	208.3204	208.3204	1000.0	136.57347	15.919863	176.06627	-19.299896	5.1036115	-3.704604	2.003952	16.302555	-14.407605	-139.51662	0.36083898	0.03111639	0.41697487	0.30942503	-7.885751	0.63937414	0.488824	4.4525166	1.7136335e-07	-14.088942	11.340725	11.876779	-32.40706	45.208168	27.642357	89.894226	-9.697699	120.862564	5.52486	133.16974	43.12338	75.654396	27.015427	132.67184	22.728022	75.654396	27.015427	132.67184	22.728022	3.650955	4.2205563	13.267184	0.27493653	6453.42	4424.1353	17601.816	516.5629	379.13348	514.19257	1760.1818	6.2487636
9	9999	2082.273334503174	-87.6429	0.0	-87.6429	-87.6429	1000.0	316.95865	0.0	316.95865	316.95865	1000.0	103.29538	11.782113	140.53282	-14.124797	2.3545127	-3.7066717	1.9133158	16.234402	-14.777912	-105.49395	0.2672594	0.023045307	0.30933163	0.22955586	-10.188623	0.5702109	0.43617108	4.230755	8.940697e-08	8.279504	12.675363	32.69301	-17.72398	62.91509	17.299614	86.46433	-2.9189956	96.143074	5.1607695	106.65135	74.811905	33.22798	18.043465	99.018715	6.4437227	33.22798	18.043465	99.018715	6.4437227	0.8809216	1.6655566	9.901871	0.081096016	1429.6655	1722.2494	9804.705	41.521564	53.782726	155.37474	980.4705	0.52256024
