Epoch	TotalEnvInteracts	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	TestEpLen	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	LossQ1	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	AverageAlpha	StdAlpha	MaxAlpha	MinAlpha	LossAlpha	AveragePreTanh	StdPreTanh	MaxPreTanh	MinPreTanh	AverageMCDisRet	StdMCDisRet	MaxMCDisRet	MinMCDisRet	AverageMCDisRetEnt	StdMCDisRetEnt	MaxMCDisRetEnt	MinMCDisRetEnt	AverageQPred	StdQPred	MaxQPred	MinQPred	AverageQBias	StdQBias	MaxQBias	MinQBias	AverageQBiasAbs	StdQBiasAbs	MaxQBiasAbs	MinQBiasAbs	AverageNormQBias	StdNormQBias	MaxNormQBias	MinNormQBias	AverageQBiasSqr	StdQBiasSqr	MaxQBiasSqr	MinQBiasSqr	AverageNormQBiasSqr	StdNormQBiasSqr	MaxNormQBiasSqr	MinNormQBiasSqr
0	999	15.219461441040039	22.293045	23.317293	132.62253	5.2394886	24.625	60.34344	0.0	60.34344	60.34344	53.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.096712	5.535892	27.360485	-2.5761926	10.059441	7.585509	36.065235	-0.9156942	0.009899162	0.036709156	0.11581573	-0.12973097	-10.049541	7.5856233	1.0046973	-36.075638	10.061858	7.5692787	36.075638	0.0013036573	-0.6906062	0.3508898	0.10046973	-1.0076574	158.53496	207.09654	1301.4515	1.6995224e-06	9.14251	8.244821	36.08604	1.6995223e-07
1	1999	20.91359043121338	20.814556	20.167421	124.153015	5.428253	23.5	60.34344	0.0	60.34344	60.34344	53.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.096712	5.535892	27.360485	-2.5761926	10.059441	7.585509	36.065235	-0.9156942	0.009930897	0.0366841	0.11579015	-0.12960054	-10.049509	7.585629	1.0046614	-36.0756	10.061827	7.569283	36.0756	0.0013166325	-0.6906034	0.35089087	0.10046614	-1.0076463	158.53441	207.0962	1301.4489	1.7335211e-06	9.142472	8.244807	36.085964	1.733521e-07
2	2999	27.132548093795776	17.460537	16.582548	105.42657	5.3510084	20.979591	59.399616	0.0	59.399616	59.399616	53.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.233373	8.929823	41.937675	-3.47486	11.577597	11.154159	53.84074	-1.2010777	0.008748178	0.037511803	0.12699902	-0.12760112	-11.568849	11.157943	1.2434694	-53.87232	11.590472	11.135479	53.87232	0.0018081826	-0.6767014	0.364083	0.124346934	-1.0061544	258.33795	481.3615	2902.2268	3.2695243e-06	10.705958	11.711621	53.90392	3.2695243e-07
3	3999	33.37655830383301	17.077888	8.235182	38.263966	5.8786683	22.044445	59.796833	0.0	59.796833	59.796833	53.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.046069	10.344884	58.180862	-0.5064567	12.620604	12.953299	71.834915	-0.72630024	0.009472035	0.03790519	0.1290865	-0.15622136	-12.611132	12.955899	0.6922321	-71.85485	12.615695	12.951455	71.85485	0.0069538658	-0.69747204	0.35138005	0.06922321	-1.0056804	326.896	734.0033	5163.1196	4.835625e-05	11.734614	13.508937	71.874794	4.835625e-06
4	4999	40.293806076049805	22.184013	22.71988	109.465385	6.3513336	23.47619	60.312557	0.0	60.312557	60.312557	54.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.693829	9.1059	39.994812	-2.6318586	13.355648	11.939544	52.037384	-1.4091913	0.008575949	0.035713747	0.11621971	-0.13159361	-13.347072	11.938996	1.4514712	-51.98904	13.374831	11.907888	51.98904	0.0076804045	-0.7176869	0.35350677	0.14514711	-1.0076318	320.68393	510.74008	2702.8604	5.8988615e-05	12.568677	12.51158	51.940742	5.8988617e-06
5	5999	452.861376285553	127.4974	75.82232	224.70926	44.29622	65.26667	227.74065	0.0	227.74065	227.74065	100.0	101.59508	58.31496	222.14389	-85.327065	84.272224	-0.10512722	2.2625074	15.239601	-8.756556	-108.59639	0.90703064	0.04463363	0.99970007	0.8356465	-0.08142037	1.0001945	0.67784023	5.537639	4.172325e-06	94.93542	39.514366	135.64871	2.4805675	101.74484	43.067425	149.37257	2.4805675	159.46303	44.290226	218.93765	21.368877	57.718174	12.4751215	88.175	18.35912	57.718174	12.4751215	88.175	18.35912	0.8976587	0.9530817	6.701613	0.20676203	3487.016	1425.1697	7774.8315	337.05728	53.22252	57.47635	449.11615	5.5858555
6	6999	857.3499727249146	253.68625	38.480183	341.79138	216.94882	121.625	342.38406	0.0	342.38406	342.38406	167.0	185.57784	55.36497	246.04988	-89.45265	150.57059	0.26487043	2.674414	16.15683	-11.04947	-195.69208	0.75326705	0.05134891	0.8355225	0.6636566	-0.21380974	1.0298314	0.7298984	5.6146703	6.914139e-06	100.18936	39.24917	153.33287	2.141338	112.56237	44.8227	174.94481	2.141338	192.84636	38.45025	239.12222	-46.658882	80.28398	36.9515	224.79205	-48.80022	80.50927	36.458023	224.79205	1.1411936	1.3722217	2.8977566	22.479206	-4.880022	7810.93	7941.7026	50531.47	1.3023227	190.35341	590.5507	5053.1465	0.07308379
7	7999	1266.8861620426178	292.6624	47.009342	375.19995	229.2752	135.0	311.46774	0.0	311.46774	311.46774	134.0	181.53606	53.479294	242.80383	-71.52501	98.05198	0.17793366	2.6758447	17.355679	-9.513919	-190.01422	0.58284056	0.04782385	0.663461	0.49659815	-0.45637727	1.0049984	0.73175937	5.3592186	2.4735928e-06	116.217186	44.49437	165.17465	2.6063871	124.13698	48.79365	181.5316	2.6063871	147.70895	50.7352	208.6682	-6.334084	23.571964	11.785867	49.025276	-23.383982	23.925234	11.051126	49.025276	0.2101113	0.22795513	0.18355265	1.1857935	-0.9049702	694.54407	539.66223	2403.4778	0.04414676	6.610546	5.840366	29.57591	0.0013846454
8	8999	1672.5220139026642	293.76294	23.21229	334.94626	252.87595	130.75	247.35704	0.0	247.35704	247.35704	126.0	147.21967	47.17605	204.89442	-53.269913	44.43171	-0.23856911	2.6041393	17.308456	-10.608185	-153.20041	0.41624036	0.043779626	0.4964298	0.34494036	-1.1023818	0.9229151	0.7083211	5.950552	3.5762787e-07	97.864494	38.76804	143.27647	2.172916	106.598885	42.92653	159.94974	2.172916	115.93656	44.121944	163.12085	-32.060448	9.337686	8.404447	33.487556	-34.233364	10.354723	7.1138453	34.233364	0.010238063	0.10102781	0.2623089	1.8589498	-3.4233363	157.82709	190.71785	1171.9232	0.00010481793	2.2872074	5.6567597	117.19232	6.675757e-07
9	9999	2076.807909488678	338.4963	73.706894	426.68137	241.22052	163.5	322.80057	0.0	322.80057	322.80057	145.0	124.366554	40.091167	165.78978	-93.91116	21.458494	-0.18530744	2.5411386	20.457851	-11.974976	-129.10431	0.29545373	0.02503856	0.34481236	0.25626343	-1.437593	0.8689294	0.6832588	5.3643665	1.6093254e-06	115.81871	47.691402	166.03685	2.172999	123.245575	52.798454	182.17165	2.172999	110.372826	40.501873	148.63383	-14.152262	-12.872747	15.413715	14.977797	-39.933887	15.687825	12.537239	39.933887	0.0007484568	-0.06925434	0.17883414	0.88664144	-1.647335	403.29022	459.11606	1594.7153	5.601876e-07	2.6522036	2.8413813	27.137129	5.6018756e-08
10	10999	2486.5242540836334	318.92902	13.638778	337.23764	296.34702	137.0	287.71558	0.0	287.71558	287.71558	129.0	124.47052	38.169262	158.06403	-134.67508	16.011425	0.2122037	2.5435283	18.99775	-10.4868145	-128.80199	0.22729202	0.014721539	0.2561867	0.20606893	-1.1557094	0.9208153	0.70515025	5.4383144	3.1590462e-06	109.87816	41.3077	152.1382	2.5849001	117.6189	44.694252	166.00623	2.5849001	107.59236	44.76609	157.59576	5.93421	-10.026535	8.46673	15.569949	-41.091614	10.855178	7.3744164	41.091614	0.024048014	-0.07699941	0.19389181	1.5569949	-0.6367522	172.2169	206.1714	1688.5208	0.00057830696	1.9344149	2.632301	24.24233	4.019749e-06
11	11999	2893.066206932068	330.67227	51.117188	423.69864	270.49734	135.57143	307.21713	0.0	307.21713	307.21713	127.0	122.53385	40.177483	158.8072	-141.63585	11.432424	0.33580258	2.4898643	18.625769	-10.706945	-126.47475	0.18408902	0.012488746	0.20603845	0.1634435	-1.1235356	0.911512	0.70129955	5.942726	5.9604645e-07	117.08472	50.042168	171.58504	1.7413088	118.28535	52.520687	177.72778	1.7413088	108.18674	46.022404	152.74371	-8.995962	-10.098605	9.527606	10.799865	-37.866795	11.264229	8.116296	37.866795	0.013939917	-0.07723392	0.11471526	0.5791043	-1.1095812	192.75708	225.65248	1433.8942	0.0001943213	1.3805721	1.3657748	12.311706	1.9432131e-05
