Epoch	TotalEnvInteracts	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	TestEpLen	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	LossQ1	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	AverageAlpha	StdAlpha	MaxAlpha	MinAlpha	LossAlpha	AveragePreTanh	StdPreTanh	MaxPreTanh	MinPreTanh	AverageMCDisRet	StdMCDisRet	MaxMCDisRet	MinMCDisRet	AverageMCDisRetEnt	StdMCDisRetEnt	MaxMCDisRetEnt	MinMCDisRetEnt	AverageQPred	StdQPred	MaxQPred	MinQPred	AverageQBias	StdQBias	MaxQBias	MinQBias	AverageQBiasAbs	StdQBiasAbs	MaxQBiasAbs	MinQBiasAbs	AverageNormQBias	StdNormQBias	MaxNormQBias	MinNormQBias	AverageQBiasSqr	StdQBiasSqr	MaxQBiasSqr	MinQBiasSqr	AverageNormQBiasSqr	StdNormQBiasSqr	MaxNormQBiasSqr	MinNormQBiasSqr
0	999	7.215374946594238	120.9081	32.29719	216.34543	83.19537	24.170732	107.70396	0.0	107.70396	107.70396	22.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	75.58841	42.927334	211.46869	3.7759414	-461.67886	290.13565	6.1919827	-1306.7687	-3.3340712	2.9785318	3.8421245	-10.155301	458.3448	290.65262	1306.4556	-13.871564	458.9267	289.73288	1306.4556	3.8274822	0.9219201	0.33797103	1.071379	-1.3871564	294558.9	308919.5	1706826.0	14.64962	455.80093	290.018	1306.1425	1.464962
1	1999	9.298388481140137	119.15225	31.674957	216.05151	78.76896	24.02381	107.70396	0.0	107.70396	107.70396	22.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	75.58841	42.927334	211.46869	3.7759414	-461.67886	290.13565	6.1919827	-1306.7687	-3.3291724	2.974273	3.8370848	-10.140703	458.3497	290.65182	1306.4559	-13.859429	458.93127	289.7327	1306.4559	3.8303134	0.92196184	0.33786625	1.0712918	-1.3859429	294562.9	308921.8	1706827.2	14.671301	455.80975	290.01776	1306.1433	1.4671301
2	2999	11.311071395874023	118.352844	30.781944	223.01996	83.474915	23.619047	112.74596	0.0	112.74596	112.74596	23.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	74.96669	43.413193	197.28943	4.0184894	-468.3496	298.59723	5.8794103	-1339.8535	-3.5314786	3.031851	3.746905	-10.566423	464.81808	298.95575	1339.5527	-14.719603	465.4178	298.02133	1339.5527	2.4070954	0.9194394	0.3438822	1.0459344	-1.4719603	305430.44	325120.25	1794401.6	5.794109	462.13245	298.09726	1339.2522	0.57941085
3	3999	13.431856870651245	112.997536	29.20088	210.18936	83.286	22.522728	102.28285	0.0	102.28285	102.28285	21.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	77.04491	43.788708	192.95418	3.8221638	-481.0904	308.20996	6.1213126	-1281.7	-3.4627562	3.0092626	5.6294584	-11.728143	477.6277	308.62384	1281.4055	-13.30186	478.21484	307.71323	1281.4055	4.244292	0.92086554	0.3393588	1.0377502	-1.3301859	323376.88	341468.62	1642000.0	18.014011	475.00006	307.83746	1281.1111	1.8014013
4	4999	15.472481966018677	119.03293	33.708797	232.08597	83.30822	23.651163	112.48796	0.0	112.48796	112.48796	23.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	79.36693	45.43891	213.22894	4.1014323	-493.37683	306.42114	6.170279	-1268.0436	-3.6881585	3.013379	3.813003	-10.301256	489.6887	306.74432	1267.7365	-12.711668	490.2144	305.90347	1267.7365	4.2181044	0.9271878	0.3220151	1.0652766	-1.2711668	333887.1	339115.88	1607155.9	17.792402	486.71487	306.02695	1267.4296	1.7792403
5	5999	192.79461002349854	193.19215	108.90135	389.68173	73.24613	36.703705	316.18582	0.0	316.18582	316.18582	57.0	215.29373	218.21689	584.7387	-235.23892	207.20494	-2.0895393	14.565476	206.77205	-20.604288	-232.59143	0.96664053	0.03632031	1.0138121	0.8975272	-0.26109248	0.98644	1.113608	34.68296	3.017485e-07	148.61197	73.302155	288.56415	5.225306	196.23622	99.39027	390.29437	5.225306	371.72552	161.27876	590.3447	-129.83296	175.48929	78.41996	332.79578	-136.16943	180.09581	67.16904	332.79578	0.3036645	0.98652846	1.5596968	11.560019	-13.616943	36946.184	21963.191	110753.02	0.09221213	219.70029	208.774	1854.2114	0.009221214
6	6999	374.82860231399536	405.67178	79.20913	564.3674	304.99594	80.583336	287.16257	0.0	287.16257	287.16257	56.0	355.31296	179.90497	598.816	-56.887775	122.27372	-5.444555	4.597209	17.349909	-20.392868	-379.81284	0.8059759	0.054080036	0.8973561	0.71248925	-1.6268785	0.8644105	0.65294933	5.28205	4.3213367e-07	127.48481	68.34286	279.74826	3.6763794	164.85011	91.11938	370.4696	3.6763794	418.32388	121.78614	571.9141	38.006832	253.47372	93.70517	517.58014	21.521774	253.47372	93.70517	517.58014	21.521774	3.178774	5.403088	50.096714	0.12989572	73029.59	50126.56	267889.2	463.18677	988.90234	2292.6477	25096.809	2.7955863
7	7999	555.7555837631226	419.27237	89.26821	597.91235	311.4064	82.916664	383.07065	0.0	383.07065	383.07065	81.0	312.7619	162.33603	565.0414	-62.221596	86.98391	-5.3230605	4.5604815	23.86499	-19.475151	-332.25974	0.62473947	0.048380826	0.7123064	0.54586893	-3.4388614	0.86483306	0.6568515	5.395722	5.9604645e-08	180.99516	90.991035	381.29388	3.8305192	228.41219	120.81376	502.19342	3.8305192	343.76218	132.09511	531.4238	-62.054035	115.34999	80.849304	349.37704	-130.08923	121.011345	72.10053	349.37704	0.16069761	0.870418	1.4369885	17.50982	-6.6338806	19842.23	21816.39	122064.33	0.025823724	150.63673	297.9599	3603.7898	0.000507507
8	8999	734.0109858512878	401.21518	57.797146	522.3778	282.13135	81.75	352.4384	0.0	352.4384	352.4384	67.0	277.85876	153.21039	568.6099	-98.838104	76.478294	-4.1280127	4.6549277	22.542242	-23.611366	-293.9651	0.48133036	0.035137814	0.54572207	0.42345083	-4.468013	0.89662194	0.67267853	6.12035	7.1525574e-07	154.65979	83.66533	333.36325	3.767234	190.33495	106.81391	419.37256	3.767234	300.51706	122.978546	467.07898	4.3093157	110.18213	74.83261	318.00494	-37.115097	111.02276	73.57968	318.00494	0.021472063	1.0042812	1.3141426	10.906459	-0.6776475	17740.023	19465.705	101127.15	0.00046104952	143.39412	188.17657	1436.9833	2.941506e-06
9	9999	912.7982578277588	418.66785	57.441914	538.7021	322.97595	83.666664	315.5739	0.0	315.5739	315.5739	67.0	245.09218	134.32591	487.2705	-53.23424	56.36914	-3.6953359	5.005623	21.504606	-22.877333	-257.97955	0.37142065	0.028820656	0.4233427	0.32390878	-5.643741	0.9079074	0.68313485	6.237193	1.7881393e-07	141.00609	75.02599	303.00598	3.525932	171.05371	93.94502	368.31558	3.525932	234.28526	129.31792	421.33362	-70.58681	63.231556	58.233032	224.2736	-74.775505	70.70063	48.895153	224.2736	0.051335976	0.3543262	0.9750289	11.090679	-7.4775505	7389.3154	8174.398	50298.65	0.002635382	52.250534	83.21148	1230.0316	4.1707382e-05
