Epoch	TotalEnvInteracts	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	TestEpLen	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	LossQ1	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	AverageAlpha	StdAlpha	MaxAlpha	MinAlpha	LossAlpha	AveragePreTanh	StdPreTanh	MaxPreTanh	MinPreTanh	AverageMCDisRet	StdMCDisRet	MaxMCDisRet	MinMCDisRet	AverageMCDisRetEnt	StdMCDisRetEnt	MaxMCDisRetEnt	MinMCDisRetEnt	AverageQPred	StdQPred	MaxQPred	MinQPred	AverageQBias	StdQBias	MaxQBias	MinQBias	AverageQBiasAbs	StdQBiasAbs	MaxQBiasAbs	MinQBiasAbs	AverageNormQBias	StdNormQBias	MaxNormQBias	MinNormQBias	AverageQBiasSqr	StdQBiasSqr	MaxQBiasSqr	MinQBiasSqr	AverageNormQBiasSqr	StdNormQBiasSqr	MaxNormQBiasSqr	MinNormQBiasSqr
0	999	7.340652942657471	1.0747212	5.7600102	18.986414	-7.0221887	19.431372	-2.2483742	0.0	-2.2483742	-2.2483742	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-2.0689306	3.0240288	9.623209	-9.949541	-16.754602	9.472982	1.1528026	-38.128765	0.061336417	0.21316789	0.8971596	-0.7754804	16.81594	9.479119	38.280098	-0.91795087	16.824154	9.464536	38.280098	0.024086466	0.86109	0.29294318	1.0560926	-0.09179509	372.62958	339.89426	1465.366	0.00058015785	16.502209	9.975232	38.516605	5.8015787e-05
1	1999	8.636606931686401	1.0942866	5.904872	24.766956	-7.2205453	19.62745	-2.2483742	0.0	-2.2483742	-2.2483742	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-2.0689306	3.0240288	9.623209	-9.949541	-16.754602	9.472982	1.1528026	-38.128765	0.061241988	0.21281226	0.89565814	-0.77425647	16.815845	9.479111	38.279854	-0.91833377	16.824059	9.464527	38.279854	0.024173846	0.86108404	0.29294303	1.0559947	-0.091833375	372.62625	339.8927	1465.3472	0.0005843749	16.502035	9.975172	38.51576	5.8437487e-05
2	2999	9.909331798553467	3.1628726	6.1479716	23.34993	-6.1885276	22.066668	-1.7566769	0.0	-1.7566769	-1.7566769	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-2.3324313	3.0509214	8.68414	-11.590904	-15.696437	9.973946	0.977803	-50.6593	0.022445016	0.21226774	0.71288157	-0.63765013	15.718881	9.986525	50.715004	-0.83703387	15.726248	9.974919	50.715004	0.00061984465	0.8384869	0.308095	1.0510033	-0.083703384	346.81387	410.94742	2572.0115	3.842074e-07	15.324629	10.460863	50.770767	3.8420737e-08
3	3999	11.228450536727905	1.7894425	6.4324756	23.535067	-8.250434	20.469387	-2.2719178	0.0	-2.2719178	-2.2719178	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-2.3700352	3.275255	8.838656	-13.280411	-18.641794	13.81384	2.6584308	-68.006134	0.025630092	0.21616653	0.8213252	-0.75350106	18.667423	13.813783	68.18234	-2.7307749	18.69262	13.77967	68.18234	0.0019809555	0.8465408	0.30405733	1.0450757	-0.2730775	539.2933	772.05066	4648.8315	3.9241845e-06	18.301668	14.211708	68.359	3.9241846e-07
4	4999	12.514363288879395	1.9083222	4.7744718	16.023567	-6.594816	22.977272	-1.7019083	0.0	-1.7019083	-1.7019083	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-2.4759924	3.1378465	9.8743515	-10.03651	-17.038267	9.661676	0.54194075	-49.898487	0.011528561	0.20417593	0.7747317	-0.81894135	17.049791	9.682545	49.962173	-0.37324247	17.052605	9.677591	49.962173	0.002993488	0.8654883	0.28711128	1.0396342	-0.03732425	384.44708	369.89145	2496.2188	8.960969e-06	16.719568	10.151885	50.02594	8.96097e-07
5	5999	198.17243790626526	29.608501	66.504585	198.79326	-35.09151	116.875	250.18047	0.0	250.18047	250.18047	131.0	123.93945	73.5258	272.36267	-74.000084	101.96688	-1.5082433	2.7982507	33.008232	-15.414816	-134.53622	0.8770729	0.06711822	1.0010799	0.76622504	-0.56424594	0.87784773	0.66847426	24.635479	7.748604e-07	60.792885	46.935406	135.0686	-22.648367	76.57821	47.013306	149.68018	-9.429192	237.2447	25.780483	297.89502	115.11719	160.6665	42.166214	289.28375	70.39707	160.6665	42.166214	289.28375	70.39707	4.979671	6.271117	28.928373	0.47871023	27591.715	13988.62	83685.086	4955.7476	966.78503	1369.2615	8368.508	33.6998
6	6999	384.2106771469116	62.445847	33.878544	117.97613	22.56692	128.0	30.16684	0.0	30.16684	30.16684	45.0	206.26276	55.686245	309.1864	-99.04414	113.5205	-0.75213075	3.179524	26.69793	-13.413497	-219.39789	0.671992	0.05235274	0.76602215	0.58338845	-1.5000587	0.80058706	0.61623234	5.4895267	1.1920929e-07	57.26625	48.476536	139.44852	-22.392086	67.05291	50.689568	152.23729	-19.856993	206.12537	28.93629	290.9555	25.08223	139.07246	49.222977	279.63144	1.5919956	139.07246	49.222977	279.63144	1.5919956	5.5571737	6.318636	27.963144	0.012298398	21764.05	13640.407	78193.75	2.53445	991.6372	1288.508	7819.375	0.019578995
7	7999	555.9962999820709	64.856895	103.91169	268.54523	-27.796099	112.22222	53.31374	0.0	53.31374	53.31374	192.0	151.68414	47.139942	234.5416	-68.57216	31.325378	-0.72370154	3.3696346	27.803925	-11.58541	-160.84615	0.50608057	0.04167924	0.583216	0.43762052	-2.5370073	0.75605786	0.5993848	6.5892344	1.1501834e-06	19.803175	47.562904	127.74706	-31.169622	29.34864	52.635986	142.96977	-36.071484	132.88266	48.17274	195.88115	-27.037712	103.53402	45.698765	184.915	-22.895956	103.77034	45.15956	184.915	0.57679194	5.133951	4.776795	17.964561	-2.2895956	12807.669	8440.328	34193.56	0.3326889	692.4583	750.54175	3227.255	0.028539822
8	8999	730.9887630939484	118.85394	94.15477	261.62695	-2.8028002	132.83333	191.59976	0.0	191.59976	191.59976	152.0	126.55971	39.71557	207.25162	-57.245323	20.047234	-0.4657831	3.4075158	27.169943	-13.1269655	-133.87166	0.38112265	0.030793747	0.43749505	0.32988864	-3.3481848	0.7555427	0.60643846	7.4444933	0.0	-2.079931	26.087421	56.22325	-52.887398	2.370344	32.557304	68.93588	-59.98198	100.27197	48.89137	153.49957	-68.850845	97.90163	39.670155	160.49739	-61.658985	100.096344	33.75161	160.49739	0.7318891	5.1428394	4.3776884	14.791601	-6.1658983	11158.449	5919.708	25759.412	0.53566176	620.5204	573.7809	2187.9146	0.0421868
9	9999	900.2260558605194	218.03198	89.41292	308.92102	35.919415	201.0	42.13635	0.0	42.13635	42.13635	77.0	111.008125	34.50061	186.76842	-39.713436	15.690299	-0.16602461	3.4993322	27.438507	-12.907776	-117.03067	0.28740847	0.022762127	0.32979304	0.25095162	-3.9374642	0.7330378	0.60570323	7.476959	4.6938658e-07	75.23914	39.67233	134.47128	-19.62856	56.85949	40.62948	138.17566	-26.873606	137.35655	21.696808	191.55124	10.510774	80.49708	42.15336	175.36597	-17.165125	80.73072	41.704155	175.36597	0.06541457	3.1359854	3.5447326	16.34938	-0.14169791	8256.686	6765.905	30753.223	0.004279066	364.48764	492.58286	2673.0222	3.1811946e-05
