Epoch	TotalEnvInteracts	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	TestEpLen	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	LossQ1	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	AverageAlpha	StdAlpha	MaxAlpha	MinAlpha	LossAlpha	AveragePreTanh	StdPreTanh	MaxPreTanh	MinPreTanh	AverageMCDisRet	StdMCDisRet	MaxMCDisRet	MinMCDisRet	AverageMCDisRetEnt	StdMCDisRetEnt	MaxMCDisRetEnt	MinMCDisRetEnt	AverageQPred	StdQPred	MaxQPred	MinQPred	AverageQBias	StdQBias	MaxQBias	MinQBias	AverageQBiasAbs	StdQBiasAbs	MaxQBiasAbs	MinQBiasAbs	AverageNormQBias	StdNormQBias	MaxNormQBias	MinNormQBias	AverageQBiasSqr	StdQBiasSqr	MaxQBiasSqr	MinQBiasSqr	AverageNormQBiasSqr	StdNormQBiasSqr	MaxNormQBiasSqr	MinNormQBiasSqr
0	999	42.80488634109497	-380.24023	0.0	-380.24023	-380.24023	1000.0	940.92804	0.0	940.92804	940.92804	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-73.99476	37.35422	8.119592	-127.1103	-72.70882	36.723648	9.022185	-135.256	0.23700733	0.4956044	1.4614735	-1.0803432	72.94582	36.705326	135.74716	-8.39396	73.122986	36.3511	135.74716	0.07326371	0.93736964	0.25994274	1.1058518	-0.839396	6668.374	4287.17	18427.291	0.005367571	73.209	36.634754	136.2401	0.0005367571
1	1999	79.20558643341064	-358.08673	0.0	-358.08673	-358.08673	1000.0	940.92804	0.0	940.92804	940.92804	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-73.99476	37.35422	8.119592	-127.1103	-72.70882	36.723648	9.022185	-135.256	0.23700733	0.4956044	1.4614735	-1.0803432	72.94582	36.705326	135.74716	-8.39396	73.122986	36.3511	135.74716	0.07326371	0.93736964	0.25994274	1.1058518	-0.839396	6668.374	4287.17	18427.291	0.005367571	73.209	36.634754	136.2401	0.0005367571
2	2999	115.63982105255127	-14.571307	35.704567	23.749765	-108.24556	90.2	968.2182	0.0	968.2182	968.2182	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-81.04612	33.587357	4.804327	-130.44405	-79.555115	33.614456	4.900547	-133.28316	0.22328247	0.48549038	1.5241331	-1.1041242	79.77839	33.598434	134.08496	-5.459003	79.82423	33.489376	134.08496	0.2285657	0.9602985	0.18102945	1.1258607	-0.5459003	7493.447	4131.4707	17978.775	0.05224228	79.89917	33.82063	134.89157	0.005224228
3	3999	137.57487607002258	-21.863068	37.32198	4.467001	-85.877014	84.0	962.7255	0.0	962.7255	962.7255	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-30.47871	26.906551	6.0201364	-133.72806	-32.541027	30.021725	9.303277	-154.84312	0.22599639	0.47636375	1.566205	-1.1605746	32.76703	30.039354	155.41464	-9.695468	32.884235	29.910997	155.41464	0.006504528	0.8696708	0.3120543	1.1028225	-0.9695468	1976.0406	3961.4863	24153.713	4.2308886e-05	32.72974	30.304855	155.98828	4.2308884e-06
4	4999	166.21139430999756	-114.89539	140.84811	-5.842436	-354.56287	296.75	965.9754	0.0	965.9754	965.9754	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-53.87928	38.399048	5.9083953	-111.38064	-53.04386	36.507057	10.301419	-106.24153	0.21073246	0.480049	1.5174024	-1.2097746	53.254597	36.523422	107.34108	-10.340279	53.701973	35.86239	107.34108	0.0120581845	0.87159574	0.3699223	1.083096	-1.0166817	4170.0127	3901.649	11522.107	0.00014539981	53.649956	36.253796	108.45201	1.4539981e-05
5	5999	653.2302055358887	-301.56665	0.0	-301.56665	-301.56665	1000.0	910.1475	0.0	910.1475	910.1475	1000.0	144.88322	65.907166	237.91734	-8.421217	4.1396604	-5.0914164	0.9857313	19.43633	-12.466159	-149.87286	0.86191356	0.07494277	0.99970007	0.7392131	-1.3832512	0.68428725	0.529396	18.17656	1.937151e-07	-21.201206	16.52847	15.851006	-59.900703	46.620964	27.9306	83.62687	-1.419065	227.94188	6.3272147	236.74112	138.9028	181.32094	26.475708	232.4284	112.04294	181.32094	26.475708	232.4284	112.04294	7.6116385	7.4188747	23.242842	1.6590575	33578.246	9874.646	54022.965	12553.62	1559.7839	1682.0367	5402.2964	204.88101
6	6999	1151.8818702697754	-69.75018	150.59258	19.564774	-330.5478	340.5	669.07434	0.0	669.07434	669.07434	1000.0	244.54797	16.123343	261.63437	-12.864388	3.4022253	-4.9810295	1.2448266	19.499332	-12.17283	-248.77641	0.6390896	0.05490809	0.73899275	0.54893583	-4.046569	0.6582808	0.5021851	4.8161387	4.4703484e-07	-24.455074	14.426324	21.439642	-55.30718	61.23324	22.535793	91.79033	-30.665943	241.58789	5.592876	249.78441	186.99005	180.35464	21.041058	271.5323	139.17345	180.35464	21.041058	271.5323	139.17345	4.083403	4.60501	24.70681	1.5240155	32970.523	8384.991	73729.79	19369.25	817.2526	1129.1776	6104.2646	212.10251
7	7999	1634.5775911808014	-76.277756	120.611206	23.221594	-282.6205	286.5	704.09143	0.0	704.09143	704.09143	1000.0	221.05403	18.276718	251.84625	-8.829347	2.2249844	-4.8072286	1.4525493	25.441673	-12.788763	-224.34123	0.47511798	0.040570285	0.54877436	0.4083434	-6.5806437	0.6379935	0.4888265	4.6872225	1.0430813e-07	-23.553951	19.993937	9.563772	-71.21492	45.592823	28.116093	97.09033	-11.935806	196.09416	4.6543784	207.34038	172.0721	150.50136	27.358809	207.14589	97.96202	150.50136	27.358809	207.14589	97.96202	6.0871735	6.0859303	20.71459	1.0294023	23399.16	8378.76	42909.42	9596.558	1063.2103	1216.6577	4290.942	100.842316
8	8999	2120.527209997177	-228.35497	0.0	-228.35497	-228.35497	1000.0	518.9431	0.0	518.9431	518.9431	1000.0	171.39612	17.864727	208.35826	-9.412674	1.4919571	-4.5730844	1.6463021	28.367352	-16.196396	-173.94403	0.35377172	0.029939795	0.40822333	0.30454114	-8.929624	0.6116573	0.4709785	4.7857203	3.1292439e-07	-22.38981	15.394953	18.22539	-57.052025	44.06206	21.206072	85.27518	-6.733628	147.68182	4.3790374	159.81224	127.44667	103.61975	20.609447	161.13036	62.400898	103.61975	20.609447	161.13036	62.400898	3.49713	3.2578468	16.113035	0.7423752	11161.804	4235.6313	25962.994	3893.8718	416.43506	481.16403	2596.2993	46.32488
9	9999	2600.535085916519	-2.937151	36.18689	33.249737	-39.12404	383.5	936.04047	0.0	936.04047	936.04047	1000.0	124.95992	14.767212	161.48766	-8.361777	1.2387041	-4.1371703	1.8448846	28.349133	-15.341556	-126.94111	0.26448175	0.021916173	0.30445218	0.22848748	-10.834129	0.5763165	0.44760495	4.950996	1.065433e-06	6.0013113	13.172765	43.221333	-36.075817	52.193085	26.051067	93.13632	-7.0604453	107.33395	4.9446898	120.509995	85.40019	55.140865	25.619484	116.99492	7.6301894	55.140865	25.619484	116.99492	7.6301894	2.1500118	2.9754474	11.6994915	0.08192496	3696.8728	3165.0605	13687.811	58.21979	182.85973	319.67496	1368.781	0.62510294
