Epoch	TotalEnvInteracts	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	TestEpLen	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	LossQ1	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	AverageAlpha	StdAlpha	MaxAlpha	MinAlpha	LossAlpha	AveragePreTanh	StdPreTanh	MaxPreTanh	MinPreTanh	AverageMCDisRet	StdMCDisRet	MaxMCDisRet	MinMCDisRet	AverageMCDisRetEnt	StdMCDisRetEnt	MaxMCDisRetEnt	MinMCDisRetEnt	AverageQPred	StdQPred	MaxQPred	MinQPred	AverageQBias	StdQBias	MaxQBias	MinQBias	AverageQBiasAbs	StdQBiasAbs	MaxQBiasAbs	MinQBiasAbs	AverageNormQBias	StdNormQBias	MaxNormQBias	MinNormQBias	AverageQBiasSqr	StdQBiasSqr	MaxQBiasSqr	MinQBiasSqr	AverageNormQBiasSqr	StdNormQBiasSqr	MaxNormQBiasSqr	MinNormQBiasSqr
0	999	19.33631920814514	120.9081	32.29719	216.34543	83.19537	24.170732	107.70396	0.0	107.70396	107.70396	22.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	75.58841	42.927334	211.46869	3.7759414	-461.67886	290.13565	6.1919827	-1306.7687	-0.07123715	0.44952598	1.2960137	-1.6348333	461.60764	290.14893	1307.2749	-5.9773583	461.9484	289.60608	1307.2749	3.9569097	0.95010114	0.27056357	1.0372475	-0.5977358	297268.0	310505.9	1708967.6	15.657134	461.79733	289.74698	1308.2162	1.5657134
1	1999	31.89139437675476	119.15225	31.674957	216.05151	78.76896	24.02381	107.70396	0.0	107.70396	107.70396	22.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	75.58841	42.927334	211.46869	3.7759414	-461.67886	290.13565	6.1919827	-1306.7687	-0.07123715	0.44952598	1.2960137	-1.6348333	461.60764	290.14893	1307.2749	-5.9773583	461.9484	289.60608	1307.2749	3.9569097	0.95010114	0.27056357	1.0372475	-0.5977358	297268.0	310505.9	1708967.6	15.657134	461.79733	289.74698	1308.2162	1.5657134
2	2999	44.06474709510803	118.352844	30.781944	223.01996	83.474915	23.619047	112.74596	0.0	112.74596	112.74596	23.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	74.96669	43.413193	197.28943	4.0184894	-468.3496	298.59723	5.8794103	-1339.8535	-0.05444913	0.45621562	1.3095667	-1.7854235	468.29517	298.6113	1340.5625	-6.939432	468.62885	298.0873	1340.5625	3.5745428	0.95036894	0.26892015	1.0263257	-0.6939432	308469.03	327242.28	1797107.8	12.777355	468.49628	298.22455	1341.2719	1.2777356
3	3999	56.416433334350586	112.997536	29.20088	210.18936	83.286	22.522728	102.28285	0.0	102.28285	102.28285	21.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	77.04491	43.788708	192.95418	3.8221638	-481.0904	308.20996	6.1213126	-1281.7	-0.060267363	0.45486662	1.1545844	-1.4347067	481.03018	308.2206	1282.0184	-6.5663967	481.3501	307.7207	1282.0184	3.9228961	0.95246917	0.26324406	1.0349132	-0.6566397	326389.97	343389.88	1643571.4	15.389114	481.21558	307.84787	1282.3372	1.5389115
4	4999	68.71296668052673	119.03293	33.708797	232.08597	83.30822	23.651163	112.48796	0.0	112.48796	112.48796	23.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	79.36693	45.43891	213.22894	4.1014323	-493.37683	306.42114	6.170279	-1268.0436	-0.062121715	0.4657942	1.4874282	-1.5935783	493.31473	306.43796	1268.7332	-6.391666	493.63925	305.91486	1268.7332	4.2929344	0.9532099	0.2635133	1.0483489	-0.6391666	337263.62	341059.1	1609683.8	18.429285	493.50952	306.04117	1269.4231	1.8429285
5	5999	537.5186533927917	222.97021	113.83097	417.9438	82.936516	41.95652	356.78793	0.0	356.78793	356.78793	68.0	216.24925	193.64542	575.1609	-52.53664	242.70862	-3.9447749	14.902771	206.77205	-22.025623	-231.25957	0.95683867	0.043507863	1.0134653	0.87457293	-0.43038157	0.9369021	1.1067938	34.68131	2.9802322e-08	141.95383	74.53976	296.6329	3.9130895	193.77689	103.21681	409.01523	3.9130895	455.87216	128.79584	564.75684	37.107384	262.09528	110.96899	522.2113	15.507549	262.09528	110.96899	522.2113	15.507549	2.9548833	5.9231825	51.525024	0.06672434	81008.05	61841.582	272704.62	240.48409	1082.537	2783.4324	26776.549	1.0347309
6	6999	1006.9465329647064	328.32928	63.940907	404.7061	171.22261	65.53333	437.695	0.0	437.695	437.695	82.0	375.26724	210.49196	622.18646	-14.564818	288.44925	-4.3010373	6.397936	26.72557	-19.875853	-401.76053	0.8005203	0.042336352	0.8743989	0.7251065	-1.3952503	0.8782523	0.65154105	5.3012695	5.699694e-07	164.7918	85.85423	366.66245	3.5699608	218.20447	117.325676	497.8225	3.5699608	387.6414	162.52098	588.75854	22.844604	169.43694	106.18494	451.90256	-130.05925	172.41743	101.27362	451.90256	0.42723018	1.3067341	1.7693559	14.467051	-0.31385323	39984.117	37603.227	204215.9	0.18252562	282.31195	453.25684	3538.053	0.0011972374
7	7999	1478.1257016658783	460.1205	100.12911	640.98303	348.31772	94.2	767.23083	0.0	767.23083	767.23083	163.0	306.2149	175.49518	598.12683	-11.641346	170.25487	-4.862716	4.6367517	21.13916	-20.880531	-326.66412	0.64083517	0.04882444	0.7249432	0.5571861	-3.0911698	0.84393525	0.6451122	5.5945463	3.2782555e-07	165.70773	84.500206	330.9514	3.4764678	217.54723	114.5555	443.71835	3.4764678	295.56076	153.36908	494.30396	5.2275434	78.01354	62.58844	244.40556	-62.388615	80.67801	59.114155	244.40556	0.027506208	0.42970082	0.7598897	14.322005	-0.7697535	10003.425	11887.792	59734.082	0.0007565915	50.753082	113.1839	2051.1985	1.1027573e-05
8	8999	1947.3337178230286	438.76413	89.998955	570.62195	314.96466	91.333336	370.9327	0.0	370.9327	370.9327	79.0	270.5875	146.13931	495.695	-5.231032	95.70367	-4.7062674	5.1633472	24.619087	-20.88858	-286.05502	0.4866851	0.038874976	0.55702764	0.42139015	-4.847042	0.84697497	0.6427009	5.3159432	1.1920929e-07	174.18414	94.323135	386.66443	3.4216957	229.08328	127.61722	519.5572	3.4216957	236.51141	126.65385	446.33423	8.183178	7.428135	63.577244	154.32271	-204.9166	45.32648	45.19683	204.9166	0.022815283	0.11821062	0.44955006	5.4247036	-0.48121288	4097.243	6593.8706	41990.812	0.00052053714	16.731543	29.417088	303.56076	2.2139463e-06
9	9999	2418.3147258758545	470.7981	73.5463	613.308	380.1156	95.4	495.0039	0.0	495.0039	495.0039	93.0	228.80742	124.73818	443.33713	-4.023734	61.51593	-4.7955	5.1688533	27.506535	-23.557537	-240.58612	0.36519542	0.031091759	0.42126545	0.31388554	-6.8699465	0.8347416	0.6382423	5.7280407	3.7252903e-08	176.5213	88.12816	350.06842	3.488656	231.24953	118.816216	467.89438	3.488656	223.13547	113.847206	385.63788	2.7908633	-8.11405	35.09918	72.27967	-117.00311	27.424185	23.360313	117.00311	0.03126298	-0.0022177333	0.25352925	2.306388	-0.7342008	1297.7902	2093.2695	13689.729	0.0009773739	5.442431	7.115013	53.194252	6.489724e-06
10	10999	2888.7650895118713	480.62296	84.36711	704.5878	412.25668	92.27273	516.6375	0.0	516.6375	516.6375	101.0	210.2588	112.51743	384.7782	-2.661138	44.67178	-4.227525	5.4055157	28.49056	-25.34961	-219.83983	0.27326906	0.021998024	0.31379408	0.23744945	-8.074073	0.8396232	0.6440111	5.8318553	4.4703484e-07	201.9664	94.44547	367.19928	4.254253	252.60573	121.92932	460.66257	4.254253	234.13951	112.85291	361.83566	6.344465	-18.466236	45.596287	86.432045	-128.94115	38.387386	30.764126	128.94115	0.0026110855	-0.05417991	0.23093821	1.7220123	-0.6999067	2420.023	3306.0623	16625.818	6.817768e-06	9.207086	12.681746	87.329926	5.242875e-07
11	11999	3360.4384586811066	482.46198	83.23493	674.3368	381.59863	96.6	429.95636	0.0	429.95636	429.95636	79.0	202.37613	109.323685	362.84726	-3.722505	40.308846	-3.0087473	5.945252	35.657463	-19.875648	-210.84207	0.20967661	0.015171326	0.23738645	0.18478324	-7.813457	0.8584034	0.66218406	5.909509	3.2782555e-07	190.35219	94.622475	356.84702	3.4413292	234.28395	122.00705	452.90912	3.4413292	205.35428	107.338936	347.78027	0.9610525	-28.929682	37.3819	71.010025	-119.12799	37.008816	29.405443	119.12799	0.109049074	-0.12776601	0.1721099	0.69526565	-0.8748185	2234.3328	2936.3547	14191.479	0.0118917	7.8194065	8.4069605	41.75985	5.448269e-05
12	12999	3832.18159866333	495.49603	102.52777	739.1067	379.7594	97.5	397.91617	0.0	397.91617	397.91617	74.0	195.26471	106.495735	349.5892	-4.7899046	36.67801	-1.6498299	6.6473927	39.960373	-21.405397	-202.9361	0.16537091	0.010510864	0.1847382	0.14829999	-6.5485864	0.8857736	0.68602705	6.5426226	1.4901161e-08	184.94044	95.0193	371.43066	3.20139	213.85841	118.39684	463.41766	3.20139	213.34512	110.61207	344.72827	2.700864	-0.51331323	44.986004	118.607185	-135.42346	33.12812	30.438982	135.42346	0.025735473	0.029962247	0.23838146	1.6504343	-0.39267278	2024.0043	3087.8652	18339.516	0.00066231453	8.095573	10.891507	76.13013	2.408636e-06
13	13999	4301.540800571442	501.04102	99.18533	708.0077	404.8155	99.09091	487.0856	0.0	487.0856	487.0856	90.0	193.88725	105.15543	347.39502	-3.417936	35.029125	-0.34799176	7.065736	40.551723	-22.611404	-200.98875	0.1352464	0.007290812	0.14827272	0.12319251	-4.6878176	0.9109113	0.70479465	7.0178266	2.0861626e-07	203.34157	97.97126	383.15924	3.5191767	238.5469	118.648964	452.16577	3.5191767	200.37315	101.85877	343.0238	1.1494286	-38.173733	41.8573	50.221394	-186.86366	42.036785	37.975998	186.86366	0.054950476	-0.137495	0.22230917	1.5637293	-0.7254325	3209.2678	5296.898	34918.027	0.0030195548	11.317944	15.65401	99.12436	3.2571348e-05
14	14999	4773.290386676788	496.646	90.25808	650.2168	353.8892	96.8	665.6508	0.0	665.6508	665.6508	144.0	189.2372	101.9375	342.12387	-2.933096	32.445183	0.4182648	7.4822664	44.486237	-20.809364	-195.74722	0.11284972	0.0055470727	0.12317099	0.10408038	-3.4383152	0.9181183	0.7165784	7.3132715	4.172325e-07	191.54564	97.65528	380.04498	3.5615392	213.83513	116.48806	451.04828	3.5615392	193.18277	106.68641	336.75537	5.2610064	-20.65239	34.86663	67.941345	-122.06746	30.723059	26.42531	122.06746	0.00685467	-0.06854125	0.23877206	1.7364568	-0.6061355	1642.2032	2663.003	14900.465	4.69865e-05	6.6025157	7.838637	45.70007	1.6403717e-07
15	15999	5242.915528297424	545.45074	100.55657	657.31396	333.04913	109.333336	495.9757	0.0	495.9757	495.9757	92.0	187.96338	100.24158	337.62546	-4.421408	30.939175	1.1125605	7.659722	46.986526	-20.999802	-194.0084	0.097452015	0.003913831	0.10406184	0.0907571	-2.065177	0.9255859	0.72591263	6.951991	2.9802322e-08	203.32468	107.4631	415.82776	3.1831353	226.73843	131.91383	490.28632	1.8152889	190.63759	99.468834	329.72165	6.5839767	-36.100845	55.40157	60.205734	-178.57364	45.31643	48.156265	178.57364	0.078544214	-0.04625114	0.3516526	2.2880764	-0.4309912	4372.6045	8010.5693	31888.547	0.006169194	12.927769	18.290867	75.918945	9.3724026e-05
16	16999	5713.424842596054	519.7481	84.87367	731.9012	409.15286	103.8	563.3316	0.0	563.3316	563.3316	107.0	184.55194	97.742615	331.54276	-5.9245024	29.469526	1.675418	7.760236	48.471798	-24.985085	-190.17873	0.08690741	0.0019258476	0.09074622	0.084481925	-0.7893971	0.9364605	0.7344565	7.6930017	1.4901161e-07	209.28711	105.66008	403.12433	3.2594876	220.45264	117.43632	444.74323	3.2594876	187.50452	97.97794	323.305	7.405987	-32.948116	43.874844	67.02756	-136.81825	42.415066	34.80722	136.81825	0.032652795	-0.105785616	0.2297403	2.2569344	-0.6689819	3010.5806	4074.5598	18719.234	0.0010662051	10.891298	12.89379	80.265305	7.2582734e-06
17	17999	6183.44485449791	526.96545	114.63055	750.57184	390.23657	104.666664	508.66336	0.0	508.66336	508.66336	96.0	185.77151	98.46437	330.4556	-4.6066785	28.317972	1.973653	7.851744	54.797356	-21.463264	-191.1836	0.08379498	0.00042824892	0.08468777	0.083026595	-0.06504755	0.947518	0.7381193	7.914956	1.9073486e-06	205.26282	96.117966	365.21024	3.8954237	221.18376	111.41967	409.44	3.8954237	199.94202	95.57315	329.19135	10.140496	-21.241734	31.941927	62.7966	-90.01502	30.89599	22.736221	90.01502	0.014811963	-0.013566261	0.34103468	3.1522994	-0.41759327	1471.498	1708.2561	8102.7046	0.00021939425	7.1459284	9.501417	99.36992	9.849847e-07
18	18999	6654.137115716934	534.5064	169.42636	856.93787	339.61203	105.6	520.4306	0.0	520.4306	520.4306	103.0	189.33322	100.81603	342.02945	-4.846607	28.80043	2.089813	7.9823494	50.11917	-21.138046	-194.76234	0.08539987	0.0008369425	0.08738069	0.08417002	0.2207739	0.95255935	0.74127287	7.391412	3.091991e-07	178.89603	104.83378	429.0937	3.1537056	189.83202	119.98617	484.94815	2.486765	180.00461	111.55578	342.51135	0.8730013	-9.827386	56.095123	127.15546	-180.09534	40.262314	40.27638	180.09534	0.042595163	-0.005577464	0.28943574	1.942893	-0.7481272	3243.2407	5632.464	32434.33	0.001814348	11.669158	15.454968	81.85889	1.1993961e-05
19	19999	7124.00431394577	524.131	134.83366	818.6161	331.59927	103.888885	400.81348	0.0	400.81348	400.81348	86.0	190.57225	103.01871	345.05563	-5.608019	31.388784	2.0439298	8.043072	51.230125	-23.086498	-196.00462	0.08828364	0.0004987258	0.08939515	0.08738784	0.106738746	0.9491792	0.73957086	9.244062	2.5331974e-07	218.56035	103.435844	401.20096	3.2751138	239.32321	120.62643	452.89435	3.2751138	212.54187	102.55608	342.425	6.992742	-26.78134	44.323452	77.870285	-119.294304	40.96864	31.676163	119.294304	0.03308661	-0.06116585	0.227984	1.6506383	-0.4908984	2681.8083	3514.9487	14231.131	0.0010947237	9.021237	9.373862	39.504303	1.5643865e-05
20	20999	7593.90324139595	593.4262	235.86975	1009.1474	315.62885	119.111115	666.04175	0.0	666.04175	666.04175	124.0	194.36336	105.1171	351.75748	-3.08235	32.321007	2.0707927	8.07	49.558743	-19.659708	-199.8525	0.090916686	0.0012357441	0.09276956	0.089017235	0.16989362	0.95627904	0.7371353	7.5944166	1.1920929e-07	201.44392	98.79131	358.3382	3.2820544	222.8258	113.09094	403.26712	3.2820544	210.02548	111.80374	349.46313	8.845478	-12.800323	32.548496	139.90956	-82.20211	26.5138	22.809458	139.90956	0.079066396	-0.043938875	0.24785459	2.3736444	-0.52705264	1223.2529	2355.7593	19574.686	0.006251495	6.421541	12.132217	100.94182	1.891523e-05
21	21999	8064.915385484695	531.33093	63.47121	640.3777	428.7969	110.44444	477.74167	0.0	477.74167	477.74167	91.0	195.57109	105.96872	351.58322	-3.5584729	32.997696	1.9728454	7.8416624	51.12228	-18.980703	-200.93115	0.09160768	0.00061442173	0.09278056	0.09081561	-0.064698644	0.94743234	0.7304259	7.2582393	2.682209e-06	219.11	106.75015	433.84946	4.147328	237.74702	122.23207	497.28552	4.147328	207.29695	99.566185	351.7511	5.7735825	-30.450085	62.036224	96.64198	-204.05016	46.464687	51.154022	204.05016	0.049423374	-0.06321265	0.25488967	1.10936	-0.62504625	4775.701	9004.936	41636.47	0.00244267	14.549882	23.498064	122.179306	3.0913572e-05
22	22999	8536.094729185104	555.2727	96.31068	713.1922	398.54865	113.77778	625.89996	0.0	625.89996	625.89996	116.0	195.4163	106.2082	351.25345	-4.832512	32.669716	1.9387529	7.8369365	55.21654	-18.8517	-200.62538	0.0891891	0.0009435494	0.09131045	0.087905526	-0.14753503	0.94083536	0.7249033	7.157659	4.4703484e-07	249.06557	117.33035	445.45648	3.8011334	263.4214	138.72055	516.85547	3.8011334	205.62337	97.09634	348.84637	0.48286256	-57.79802	73.78271	113.58153	-218.11436	72.76719	59.07143	218.11436	0.1024553	-0.15512079	0.27785757	1.1399827	-0.9294264	8784.499	12272.216	47573.88	0.0104970895	25.116314	28.007849	107.916626	9.5807656e-05
