Epoch	TotalEnvInteracts	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	TestEpLen	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	LossQ1	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	AverageAlpha	StdAlpha	MaxAlpha	MinAlpha	LossAlpha	AveragePreTanh	StdPreTanh	MaxPreTanh	MinPreTanh	AverageMCDisRet	StdMCDisRet	MaxMCDisRet	MinMCDisRet	AverageMCDisRetEnt	StdMCDisRetEnt	MaxMCDisRetEnt	MinMCDisRetEnt	AverageQPred	StdQPred	MaxQPred	MinQPred	AverageQBias	StdQBias	MaxQBias	MinQBias	AverageQBiasAbs	StdQBiasAbs	MaxQBiasAbs	MinQBiasAbs	AverageNormQBias	StdNormQBias	MaxNormQBias	MinNormQBias	AverageQBiasSqr	StdQBiasSqr	MaxQBiasSqr	MinQBiasSqr	AverageNormQBiasSqr	StdNormQBiasSqr	MaxNormQBiasSqr	MinNormQBiasSqr
0	999	5.759539604187012	1.0747212	5.7600102	18.986414	-7.0221887	19.431372	-2.2483742	0.0	-2.2483742	-2.2483742	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-2.0689306	3.0240288	9.623209	-9.949541	-16.754602	9.472982	1.1528026	-38.128765	0.03377736	0.24608351	1.066302	-0.5546012	16.788382	9.529832	38.32825	-1.4237661	16.805494	9.499621	38.32825	0.022644792	0.8580535	0.29742974	1.0552568	-0.14237662	372.66745	341.02753	1469.0548	0.00051278656	16.482483	10.025776	38.53255	5.1278657e-05
1	1999	7.153254270553589	1.0942866	5.904872	24.766956	-7.2205453	19.62745	-2.2483742	0.0	-2.2483742	-2.2483742	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-2.0689306	3.0240288	9.623209	-9.949541	-16.754602	9.472982	1.1528026	-38.128765	0.03377736	0.24608351	1.066302	-0.5546012	16.788382	9.529832	38.32825	-1.4237661	16.805494	9.499621	38.32825	0.022644792	0.8580535	0.29742974	1.0552568	-0.14237662	372.66745	341.02753	1469.0548	0.00051278656	16.482483	10.025776	38.53255	5.1278657e-05
2	2999	8.608810424804688	3.1628726	6.1479716	23.34993	-6.1885276	22.066668	-1.7566769	0.0	-1.7566769	-1.7566769	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-2.3324313	3.0509214	8.68414	-11.590904	-15.696437	9.973946	0.977803	-50.6593	0.034552034	0.25251096	1.1065165	-0.47946778	15.730987	10.034402	50.632095	-0.95651394	15.749558	10.005229	50.632095	0.010256302	0.8380148	0.31254816	1.0719441	-0.095651396	348.15317	411.99182	2563.6091	0.00010519171	15.378491	10.522127	50.604904	1.0519171e-05
3	3999	9.998139381408691	1.7894425	6.4324756	23.535067	-8.250434	20.469387	-2.2719178	0.0	-2.2719178	-2.2719178	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-2.3700352	3.275255	8.838656	-13.280411	-18.641794	13.81384	2.6584308	-68.006134	0.033983868	0.2566534	1.0909941	-0.5269067	18.675777	13.875963	68.66352	-2.737555	18.713192	13.825463	68.66352	0.0014210745	0.8450362	0.30884045	1.0604186	-0.2737555	541.327	775.405	4714.679	2.0194527e-06	18.35292	14.302201	69.66626	2.0194527e-07
4	4999	11.44989800453186	1.9083222	4.7744718	16.023567	-6.594816	22.977272	-1.7019083	0.0	-1.7019083	-1.7019083	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-2.4759924	3.1378465	9.8743515	-10.03651	-17.038267	9.661676	0.54194075	-49.898487	0.05979248	0.25450888	1.0339183	-0.52193946	17.098057	9.72574	50.006264	-0.9433119	17.108921	9.706616	50.006264	0.010552834	0.86730623	0.29076624	1.0742877	-0.0943312	386.93356	371.199	2500.6265	0.0001113623	16.833004	10.219343	50.114277	1.113623e-05
5	5999	513.436740398407	49.833557	101.96577	225.33101	-26.34518	155.0	437.26044	0.0	437.26044	437.26044	320.0	111.784706	64.90645	235.69429	-42.081562	22.735348	-1.552403	2.730724	32.003082	-12.5658245	-121.8801	0.8767526	0.06787124	1.0011066	0.76170516	-0.58419627	0.8777677	0.6599134	21.292175	3.144145e-06	59.610077	54.076134	147.68942	-22.44194	88.3646	62.19367	178.00868	-11.208309	197.41943	28.661268	261.59836	82.911644	109.054825	51.79198	238.95859	7.220236	109.054825	51.79198	238.95859	7.220236	4.2198415	5.690444	23.309834	0.040726855	14575.365	11655.863	57101.203	52.131805	666.0701	1013.9622	5433.4834	0.29405752
6	6999	989.1514616012573	95.419785	143.98982	420.89368	-1.7843553	159.71428	72.33564	0.0	72.33564	72.33564	216.0	171.06094	51.256096	257.92154	-84.19789	35.20807	-1.2723844	3.0793505	18.368263	-12.497296	-182.45648	0.66067487	0.055263884	0.7614873	0.57000065	-1.7770526	0.8257763	0.6152615	4.899202	3.3155084e-07	66.328445	60.421085	150.31938	-39.516697	94.91414	67.87896	189.10452	-26.669708	181.31505	49.426117	263.842	-166.54633	86.4009	53.540203	208.65479	-164.7857	87.65128	51.46767	208.65479	0.54164904	2.827155	4.48002	20.669739	-16.47857	10331.668	9737.874	43536.82	0.29338372	411.60416	710.459	4272.3813	0.0016189278
7	7999	1470.9885959625244	95.11655	57.444458	175.86067	21.811266	190.83333	86.35475	0.0	86.35475	86.35475	196.0	142.0903	51.66495	274.61084	-63.452312	32.14965	-0.9307218	3.209028	22.171707	-12.7383175	-151.2345	0.49661642	0.04040058	0.5698406	0.4300092	-2.7569137	0.80463845	0.61355335	5.164175	4.172325e-07	70.75263	48.637196	160.8408	-17.42965	96.53127	49.678204	171.44789	-8.203363	131.2799	44.07059	251.6763	-57.908016	34.748642	48.54088	229.18019	-91.0524	45.929867	38.133095	229.18019	0.24750054	1.0947515	2.4848785	22.918018	-5.711017	3563.6855	6368.9346	52523.56	0.061256513	116.70022	371.6665	5252.356	0.00039285864
8	8999	1958.458791255951	298.8407	80.91565	398.18002	199.9797	192.33333	886.8781	0.0	886.8781	886.8781	1000.0	112.420364	43.770878	275.70706	-54.000595	24.172749	-0.5208628	3.3235059	24.629238	-12.222186	-119.48628	0.37700787	0.029584313	0.42989382	0.3269763	-3.4463058	0.8185955	0.6314123	6.230593	4.4703484e-08	13.262255	37.628223	79.11802	-59.69557	27.128815	47.22569	105.78696	-57.6662	95.104324	43.91924	165.22612	-48.07968	67.97552	49.300423	167.03033	-42.533978	69.8529	46.602306	167.03033	0.14570825	3.4020264	4.157284	16.46852	-4.2533975	7051.2017	7036.1396	27899.133	0.021230895	389.48947	554.26025	2712.1213	0.00023840232
9	9999	2453.0189468860626	290.16483	213.67618	608.71454	66.52504	327.75	122.4608	0.0	122.4608	122.4608	320.0	92.95825	34.883106	193.6922	-50.169456	15.890989	-0.39115247	3.3741412	27.494244	-13.82654	-98.34016	0.2850287	0.023089027	0.32688245	0.24680209	-4.2626305	0.8224458	0.63784564	7.013118	3.5762787e-07	54.347176	49.910206	137.69514	-23.187134	64.57893	53.974087	155.79736	-22.548807	92.15582	35.294117	152.18338	-49.28728	27.576889	38.214657	115.666794	-51.42728	40.40649	24.252018	115.666794	0.23811637	1.6062596	2.3347692	10.797042	-4.7387834	2220.8447	2184.783	13378.807	0.056699403	108.54263	169.86539	1195.0901	0.0004590865
