Epoch	TotalEnvInteracts	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	TestEpLen	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	LossQ1	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	AverageAlpha	StdAlpha	MaxAlpha	MinAlpha	LossAlpha	AveragePreTanh	StdPreTanh	MaxPreTanh	MinPreTanh	AverageMCDisRet	StdMCDisRet	MaxMCDisRet	MinMCDisRet	AverageMCDisRetEnt	StdMCDisRetEnt	MaxMCDisRetEnt	MinMCDisRetEnt	AverageQPred	StdQPred	MaxQPred	MinQPred	AverageQBias	StdQBias	MaxQBias	MinQBias	AverageQBiasAbs	StdQBiasAbs	MaxQBiasAbs	MinQBiasAbs	AverageNormQBias	StdNormQBias	MaxNormQBias	MinNormQBias	AverageQBiasSqr	StdQBiasSqr	MaxQBiasSqr	MinQBiasSqr	AverageNormQBiasSqr	StdNormQBiasSqr	MaxNormQBiasSqr	MinNormQBiasSqr
0	999	4.243025302886963	22.293045	23.317293	132.62253	5.2394886	24.625	60.34344	0.0	60.34344	60.34344	53.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.096712	5.535892	27.360485	-2.5761926	10.059441	7.585509	36.065235	-0.9156942	0.00019120747	0.04641653	0.14701943	-0.1744623	-10.059249	7.601613	0.8541804	-36.066376	10.070301	7.5869656	36.066376	0.032801367	-0.6911387	0.3524381	0.08541804	-1.013478	158.973	207.51642	1300.7833	0.0010759296	9.169527	8.269762	36.067513	0.00010759297
1	1999	5.880571126937866	20.814556	20.167421	124.153015	5.428253	23.5	60.34344	0.0	60.34344	60.34344	53.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.096712	5.535892	27.360485	-2.5761926	10.059441	7.585509	36.065235	-0.9156942	0.00019120747	0.04641653	0.14701943	-0.1744623	-10.059249	7.601613	0.8541804	-36.066376	10.070301	7.5869656	36.066376	0.032801367	-0.6911387	0.3524381	0.08541804	-1.013478	158.973	207.51642	1300.7833	0.0010759296	9.169527	8.269762	36.067513	0.00010759297
2	2999	7.682731628417969	17.460537	16.582548	105.42657	5.3510084	20.979591	59.399616	0.0	59.399616	59.399616	53.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.233373	8.929823	41.937675	-3.47486	11.577597	11.154159	53.84074	-1.2010777	-0.0064440235	0.0468294	0.1649284	-0.19004168	-11.584041	11.1661625	1.1428806	-53.845547	11.603886	11.145538	53.845547	0.0026515198	-0.67772067	0.36472672	0.11428806	-1.0127316	258.8732	481.7752	2899.343	7.0305573e-06	10.73446	11.729387	53.850357	7.030557e-07
3	3999	9.393053531646729	17.077888	8.235182	38.263966	5.8786683	22.044445	59.796833	0.0	59.796833	59.796833	53.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.046069	10.344884	58.180862	-0.5064567	12.620604	12.953299	71.834915	-0.72630024	-0.005953491	0.047276206	0.19414265	-0.18380027	-12.626558	12.963253	0.8290137	-71.848015	12.631676	12.958266	71.848015	0.01398768	-0.6985208	0.35238665	0.08290137	-1.0159568	327.47586	734.363	5162.137	0.0001956552	11.766223	13.522319	71.86112	1.956552e-05
4	4999	11.181912660598755	22.184013	22.71988	109.465385	6.3513336	23.47619	60.312557	0.0	60.312557	60.312557	54.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.693829	9.1059	39.994812	-2.6318586	13.355648	11.939544	52.037384	-1.4091913	-0.00485045	0.048493277	0.16609204	-0.19987617	-13.360498	11.95228	1.3603591	-52.062874	13.386344	11.9233265	52.062874	0.0075428407	-0.71839136	0.35470018	0.13603592	-1.0122936	321.35992	511.5308	2710.5427	5.6894445e-05	12.600016	12.533471	52.088375	5.689444e-06
5	5999	603.0532462596893	129.69406	63.77475	219.28488	43.768513	65.333336	242.9978	0.0	242.9978	242.9978	156.0	111.307686	70.97904	271.8919	-48.24317	58.464325	0.08659066	2.334339	16.533997	-10.916566	-119.5113	0.91492593	0.03610495	0.99970007	0.86630535	-0.05367164	1.0416698	0.710991	5.301382	4.4107437e-06	73.10418	34.731537	124.14622	1.7665844	84.36385	40.151676	142.84833	1.7665844	225.70187	33.650276	270.89	83.14303	141.33801	25.934525	211.55995	80.93929	141.33801	25.934525	211.55995	80.93929	2.985588	3.7193048	21.063948	0.64067894	20649.033	7709.233	44757.613	6551.169	473.73373	699.82135	4436.899	58.573505
6	6999	1207.21919131279	153.95532	118.288124	340.96033	12.716524	120.42857	481.5054	0.0	481.5054	481.5054	289.0	247.27786	81.39349	399.33105	-60.547	139.0033	0.9898925	2.7816246	19.797178	-11.145709	-262.10245	0.8607163	0.003742745	0.866412	0.85218203	-0.0013937575	1.2013607	0.8264134	7.847738	4.053116e-06	123.50313	35.962868	178.89478	2.994517	118.19977	37.003654	159.62115	2.994517	296.97015	62.10869	391.0835	12.334487	178.77037	39.788406	262.76828	9.065364	178.77037	39.788406	262.76828	9.065364	1.7596463	0.97803664	8.86792	0.7681827	33541.965	12658.087	69047.17	82.180824	315.4035	174.09734	834.40704	8.218082
7	7999	1760.3541224002838	583.82245	185.50246	831.31433	384.72693	389.66666	8.998253	0.0	8.998253	8.998253	40.0	279.5567	90.51733	401.95248	-82.17168	128.30792	0.8476171	2.7851145	20.758804	-10.6463	-294.18274	0.8644157	0.037987523	0.9134683	0.7860977	-0.029203225	1.1780236	0.8411817	7.363431	4.23193e-06	1.9254462	4.8006377	23.323767	-4.5601845	1.7879795	6.791125	32.541946	-8.586725	286.48596	16.185358	314.6802	191.67908	284.69803	15.811734	318.66223	192.1066	284.69803	15.811734	318.66223	192.1066	27.519672	3.8378775	31.866224	7.9930277	81302.97	8583.53	101545.625	36904.94	7867.246	1334.2622	10154.5625	2079.056
8	8999	2323.758711576462	194.31723	325.65173	841.88245	9.480076	191.4	228.68161	0.0	228.68161	228.68161	108.0	237.5066	72.58344	343.17038	-88.898315	96.281944	0.61614615	2.7071943	17.90869	-12.427321	-248.61238	0.695324	0.050757717	0.78596234	0.6169944	-0.13821334	1.1202991	0.812676	7.9260473	3.874302e-06	94.14011	39.102417	144.25546	2.5901887	98.61235	40.922173	150.59364	2.5901887	254.83755	67.012794	332.06927	-3.6578934	156.2252	41.617874	229.7572	-9.419655	156.25974	41.488014	229.7572	0.50404227	2.080278	1.4597791	9.876319	-0.94196546	26138.361	11744.893	52788.37	0.25405863	314.73245	172.92213	975.41675	0.014405382
9	9999	2868.527422428131	296.5623	99.85761	516.73694	231.79326	128.16667	340.90173	0.0	340.90173	340.90173	162.0	224.17375	69.65565	340.88425	-95.93449	71.84687	0.7384886	2.6875315	22.79086	-11.079227	-233.88266	0.5695625	0.03119596	0.61683	0.5050798	-0.15193796	1.1069261	0.8146552	10.564353	2.9802322e-07	116.81144	35.193047	166.50693	2.785302	130.9502	40.326065	185.64622	2.785302	179.1	79.18081	267.08655	-24.198187	48.1498	43.766617	111.95476	-88.67686	60.993935	22.664072	111.95476	1.8676288	0.22777745	0.59683937	0.7753635	-3.2336323	4233.9204	2554.8342	12533.868	3.4880373	33.60254	19.249804	104.563774	0.034386646
