Epoch	TotalEnvInteracts	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	TestEpLen	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	LossQ1	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	AverageAlpha	StdAlpha	MaxAlpha	MinAlpha	LossAlpha	AveragePreTanh	StdPreTanh	MaxPreTanh	MinPreTanh	AverageMCDisRet	StdMCDisRet	MaxMCDisRet	MinMCDisRet	AverageMCDisRetEnt	StdMCDisRetEnt	MaxMCDisRetEnt	MinMCDisRetEnt	AverageQPred	StdQPred	MaxQPred	MinQPred	AverageQBias	StdQBias	MaxQBias	MinQBias	AverageQBiasAbs	StdQBiasAbs	MaxQBiasAbs	MinQBiasAbs	AverageNormQBias	StdNormQBias	MaxNormQBias	MinNormQBias	AverageQBiasSqr	StdQBiasSqr	MaxQBiasSqr	MinQBiasSqr	AverageNormQBiasSqr	StdNormQBiasSqr	MaxNormQBiasSqr	MinNormQBiasSqr
0	999	7.904852628707886	22.293045	23.317293	132.62253	5.2394886	24.625	60.34344	0.0	60.34344	60.34344	53.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.096712	5.535892	27.360485	-2.5761926	10.059441	7.585509	36.065235	-0.9156942	-0.0747276	0.063183315	0.15353017	-0.30319443	-10.134169	7.564905	0.7768333	-36.092495	10.141967	7.554446	36.092495	0.034777768	-0.6980643	0.34731692	0.07768333	-1.0166988	159.92915	208.01137	1302.6681	0.0012094933	9.24126	8.274536	36.119774	0.00012094932
1	1999	10.143856525421143	20.814556	20.167421	124.153015	5.428253	23.5	60.34344	0.0	60.34344	60.34344	53.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.096712	5.535892	27.360485	-2.5761926	10.059441	7.585509	36.065235	-0.9156942	-0.0747276	0.063183315	0.15353017	-0.30319443	-10.134169	7.564905	0.7768333	-36.092495	10.141967	7.554446	36.092495	0.034777768	-0.6980643	0.34731692	0.07768333	-1.0166988	159.92915	208.01137	1302.6681	0.0012094933	9.24126	8.274536	36.119774	0.00012094932
2	2999	12.448954820632935	17.460537	16.582548	105.42657	5.3510084	20.979591	59.399616	0.0	59.399616	59.399616	53.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.233373	8.929823	41.937675	-3.47486	11.577597	11.154159	53.84074	-1.2010777	-0.077268735	0.06568207	0.16455407	-0.30520153	-11.654865	11.138743	1.0667568	-53.862137	11.668747	11.124201	53.862137	0.004323096	-0.6841661	0.35992175	0.106675684	-1.0190625	259.9075	482.7772	2901.13	1.8689158e-05	10.8001995	11.738397	53.88355	1.8689158e-06
3	3999	14.614968538284302	17.077888	8.235182	38.263966	5.8786683	22.044445	59.796833	0.0	59.796833	59.796833	53.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.046069	10.344884	58.180862	-0.5064567	12.620604	12.953299	71.834915	-0.72630024	-0.07845924	0.071593374	0.22800267	-0.30312753	-12.699063	12.935801	0.58159876	-71.88662	12.70052	12.934372	71.88662	0.0078225015	-0.70511425	0.34784612	0.058159877	-1.0261916	328.6012	735.21533	5167.6855	6.119153e-05	11.840158	13.523802	71.93836	6.1191527e-06
4	4999	17.04494547843933	22.184013	22.71988	109.465385	6.3513336	23.47619	60.312557	0.0	60.312557	60.312557	54.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.693829	9.1059	39.994812	-2.6318586	13.355648	11.939544	52.037384	-1.4091913	-0.07667764	0.06744161	0.09925501	-0.30516708	-13.432325	11.920088	1.3036335	-52.036907	13.452692	11.897098	52.036907	0.001794205	-0.7247905	0.34951058	0.13036335	-1.0178337	322.51587	512.2675	2707.8396	3.2191715e-06	12.671535	12.535307	52.03643	3.2191716e-07
5	5999	209.5679428577423	152.86702	74.33145	226.96184	47.84558	72.85714	226.01222	0.0	226.01222	226.01222	100.0	112.1239	69.11652	262.1984	-55.337334	29.876457	-0.08936785	2.1057117	13.356829	-10.469767	-120.34481	0.90747243	0.043370545	0.99970007	0.83962816	-0.07817183	0.9555675	0.66672546	5.441103	2.4437904e-06	95.54813	39.934093	138.75256	2.558708	103.59634	44.088516	153.50568	2.558708	177.13892	63.718422	243.68105	-32.479156	73.54258	23.360987	101.47409	-35.54334	74.34475	20.666548	101.47409	0.28769702	0.7649861	0.555465	3.1581316	-3.554334	5954.2476	2356.4177	10296.991	0.08276957	60.118683	26.344273	161.3549	0.0068510277
6	6999	404.328494310379	343.73764	106.11513	552.3409	265.13193	192.4	213.57596	0.0	213.57596	213.57596	98.0	221.23492	64.44086	357.04468	-97.49796	44.1537	0.6109133	2.4618714	14.9886265	-10.579596	-234.14525	0.7840285	0.03330487	0.8395061	0.7340594	-0.09218581	1.0492418	0.7391533	5.5955806	8.34465e-07	89.491615	38.502018	139.3804	2.528585	91.88224	40.812576	144.88951	2.528585	302.97366	11.671008	343.56018	268.35638	211.09142	48.37969	321.9668	136.06467	211.09142	48.37969	321.9668	136.06467	4.546955	6.4379888	31.567768	0.94523174	46900.18	21929.986	103662.61	18513.594	1192.0286	1950.4977	9965.239	128.61264
7	7999	597.9807391166687	265.06732	71.281586	369.6187	191.39351	138.42857	184.0714	0.0	184.0714	184.0714	85.0	240.13832	66.885185	326.44513	-109.25933	42.299225	0.46513042	2.6129563	18.103432	-12.192985	-252.11331	0.6611068	0.05346846	0.73403394	0.5727784	-0.23156157	1.0089371	0.7525661	6.443135	1.1622906e-06	87.06717	37.686073	149.08253	2.4721797	90.34006	40.504528	156.871	2.4721797	182.86021	96.72912	273.2754	-376.51987	92.52016	66.19741	168.54216	-379.17554	105.00056	43.78312	379.17554	0.014225197	0.92986053	2.6880124	14.222709	-37.917553	12942.076	9431.015	143774.1	0.00020235624	197.85803	566.26373	14377.408	2.0235624e-05
8	8999	793.6126735210419	280.68903	81.44502	406.9356	174.96953	138.0	374.42422	0.0	374.42422	374.42422	216.0	200.34479	63.434673	277.45203	-124.96691	24.871637	0.49776345	2.5476756	21.795647	-10.979632	-209.65565	0.50575244	0.03645094	0.57265204	0.44907686	-0.3397614	1.0034401	0.74807966	7.5766745	4.6761706e-06	112.238014	35.65507	145.35884	2.0333483	124.77504	41.151516	163.30627	2.0333483	217.60922	37.691452	268.31836	38.51803	92.83419	36.098984	173.95526	-32.02437	92.98388	35.711628	173.95526	0.065842405	1.1135759	1.1703025	5.9591994	-0.19819924	9921.323	7505.3467	30260.436	0.0043352223	122.08194	142.89166	626.33453	2.6854612e-05
9	9999	987.8359248638153	368.96313	93.81013	528.06335	260.145	199.4	292.68707	0.0	292.68707	292.68707	121.0	186.79196	54.923542	275.39316	-97.21312	20.968668	0.58398485	2.6046028	29.047295	-10.517641	-194.82959	0.4019741	0.027590357	0.44896385	0.35452056	-0.38116074	1.0278746	0.7770395	7.0071435	1.1920929e-07	113.18072	47.446983	168.83609	2.2552948	115.32124	48.35001	175.30537	2.2552948	145.8232	76.79121	232.21576	-15.420593	30.501955	31.339468	86.57773	-40.118935	39.280605	19.224089	86.57773	0.033515472	0.10244527	0.47466007	0.70065475	-2.4099243	1912.5315	1557.5922	7495.7036	0.0011232869	16.070562	11.006634	58.07735	1.6185239e-05
10	10999	1182.0306613445282	300.962	64.08218	367.8546	192.2545	137.5	332.04477	0.0	332.04477	332.04477	159.0	162.05429	53.682922	249.91202	-100.98798	11.922632	0.40525168	2.536568	27.64978	-10.43141	-168.25668	0.3054428	0.030719066	0.354469	0.25777808	-0.7142755	0.966403	0.753695	7.7141347	3.33786e-06	116.66736	46.393333	165.91528	2.1841254	123.602356	50.89013	178.25938	2.1841254	136.94843	49.612885	183.53964	-6.5065827	13.346051	12.600794	43.282963	-15.867907	14.254895	11.562657	43.282963	0.012586673	0.115951166	0.22636162	0.70428175	-1.1008824	336.89706	442.91623	1873.4148	0.00015842433	4.019451	5.9018464	30.304796	8.9002447e-07
11	11999	1376.8603188991547	385.4408	67.63809	509.86816	304.82144	178.0	322.6232	0.0	322.6232	322.6232	133.0	142.63776	39.19626	192.20592	-97.61644	7.01424	0.49477717	2.5158103	28.280476	-10.707258	-147.49979	0.22694096	0.017149124	0.25772008	0.19819048	-0.75031257	0.96664983	0.74213254	6.958197	5.662441e-07	123.17214	52.377888	176.9882	2.2573867	127.98212	54.748997	189.19704	2.2573867	131.96501	51.3886	179.42178	-15.246122	3.9828985	15.780866	41.76219	-27.476084	13.672143	8.830159	41.76219	0.056564163	0.04086469	0.2407434	1.1205528	-1.7910581	264.8992	303.88956	1744.0808	0.0031995047	2.7068048	4.1343594	36.29851	2.2057562e-05
12	12999	1570.4129841327667	292.86716	49.213337	339.67896	191.20563	127.0	193.89572	0.0	193.89572	193.89572	102.0	144.02684	40.914806	200.18915	-84.69258	7.750012	0.9496285	2.713625	28.785774	-11.7663965	-148.75464	0.18876645	0.0031942502	0.19814327	0.18564798	-0.082222074	1.070211	0.8057574	7.723872	1.3113022e-06	76.556206	37.92699	138.18715	1.5576934	79.45861	42.35834	150.4809	1.5576934	164.83604	20.270792	189.81453	-53.990986	85.37744	40.67284	168.27257	-55.84197	85.645676	40.104935	168.27257	0.35378358	2.6793265	3.9120808	15.990013	-5.584197	8943.586	7737.4785	28315.654	0.12516282	350.54715	597.36566	2556.805	0.0125162825
