Epoch	TotalEnvInteracts	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	TestEpLen	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	LossQ1	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	AverageAlpha	StdAlpha	MaxAlpha	MinAlpha	LossAlpha	AveragePreTanh	StdPreTanh	MaxPreTanh	MinPreTanh	AverageMCDisRet	StdMCDisRet	MaxMCDisRet	MinMCDisRet	AverageMCDisRetEnt	StdMCDisRetEnt	MaxMCDisRetEnt	MinMCDisRetEnt	AverageQPred	StdQPred	MaxQPred	MinQPred	AverageQBias	StdQBias	MaxQBias	MinQBias	AverageQBiasAbs	StdQBiasAbs	MaxQBiasAbs	MinQBiasAbs	AverageNormQBias	StdNormQBias	MaxNormQBias	MinNormQBias	AverageQBiasSqr	StdQBiasSqr	MaxQBiasSqr	MinQBiasSqr	AverageNormQBiasSqr	StdNormQBiasSqr	MaxNormQBiasSqr	MinNormQBiasSqr
0	999	8.63913607597351	120.9081	32.29719	216.34543	83.19537	24.170732	107.70396	0.0	107.70396	107.70396	22.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	75.58841	42.927334	211.46869	3.7759414	-461.67886	290.13565	6.1919827	-1306.7687	-0.8772401	2.9662344	7.946304	-10.686367	460.8016	290.1109	1307.4916	-13.722989	461.18448	289.5019	1307.4916	0.21426512	0.9456936	0.2879769	1.2905192	-1.3722988	296502.47	310040.44	1709534.2	0.045909543	460.32605	289.50702	1308.65	0.004590954
1	1999	11.630899906158447	119.15225	31.674957	216.05151	78.76896	24.02381	107.70396	0.0	107.70396	107.70396	22.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	75.58841	42.927334	211.46869	3.7759414	-461.67886	290.13565	6.1919827	-1306.7687	-0.8772401	2.9662344	7.946304	-10.686367	460.8016	290.1109	1307.4916	-13.722989	461.18448	289.5019	1307.4916	0.21426512	0.9456936	0.2879769	1.2905192	-1.3722988	296502.47	310040.44	1709534.2	0.045909543	460.32605	289.50702	1308.65	0.004590954
2	2999	14.447205543518066	118.352844	30.781944	223.01996	83.474915	23.619047	112.74596	0.0	112.74596	112.74596	23.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	74.96669	43.413193	197.28943	4.0184894	-468.3496	298.59723	5.8794103	-1339.8535	-0.7561745	3.0946593	6.97949	-10.790171	467.5934	298.67264	1340.1056	-14.962291	467.97418	298.07568	1340.1056	0.20577487	0.9453817	0.28930527	1.2791885	-1.4962292	307848.94	326981.28	1795883.0	0.0423433	467.2483	298.16614	1340.3578	0.00423433
3	3999	17.353780269622803	112.997536	29.20088	210.18936	83.286	22.522728	102.28285	0.0	102.28285	102.28285	21.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	77.04491	43.788708	192.95418	3.8221638	-481.0904	308.20996	6.1213126	-1281.7	-0.66833436	3.0556087	9.798087	-10.088489	480.42212	308.22934	1281.9288	-12.352348	480.75476	307.71027	1281.9288	0.0014791456	0.94964385	0.27450484	1.316842	-1.2352349	325810.72	343092.7	1643341.6	2.1878718e-06	480.09827	307.76968	1282.158	2.1878718e-07
4	4999	20.455153465270996	119.03293	33.708797	232.08597	83.30822	23.651163	112.48796	0.0	112.48796	112.48796	23.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	79.36693	45.43891	213.22894	4.1014323	-493.37683	306.42114	6.170279	-1268.0436	-0.6346283	3.1739364	8.429445	-10.032564	492.74222	306.54742	1268.274	-10.591543	493.13034	305.92267	1268.274	0.48035598	0.94868475	0.2853687	1.4076899	-1.0591544	336766.2	340893.1	1608519.1	0.23074187	492.52948	306.05872	1268.5046	0.023074187
5	5999	210.6677119731903	189.6056	120.637184	435.56696	77.829735	38.12	362.80933	0.0	362.80933	362.80933	67.0	245.01814	255.80905	914.32184	-206.74152	124.81911	-1.2658484	14.482777	206.76251	-20.874866	-265.77765	0.9677266	0.033525627	1.0139552	0.9166987	-0.17682038	1.0007999	1.1173084	44.551525	7.748604e-07	177.05063	90.18794	376.2043	4.9971447	195.28056	101.44153	419.05194	4.9971447	544.6966	218.17462	982.8308	-225.55951	349.41602	156.28505	692.8902	-230.55666	353.78986	146.11388	692.8902	1.4419222	2.3134818	3.4022348	43.623737	-23.055666	146516.56	100139.28	480096.84	2.0791397	966.98206	1341.3927	22243.033	0.045978386
6	6999	399.3135015964508	354.87262	85.09695	604.8794	231.8779	69.6	355.92154	0.0	355.92154	355.92154	67.0	498.60916	297.04538	1095.3416	-347.05307	238.60812	0.48185495	5.520734	30.454693	-21.398937	-539.3875	0.89709044	0.0151268	0.91664857	0.8607807	-0.17543879	1.0150985	0.73963284	8.298113	5.5134296e-07	161.10226	83.852	340.81647	4.19707	184.2216	96.76962	383.92722	4.19707	363.66772	186.68498	832.1218	-282.76022	179.4461	132.27774	615.42957	-287.6903	187.93292	119.91466	615.42957	0.26897824	1.3051683	2.3360205	16.809866	-28.769032	49698.3	57569.582	378753.53	0.07234929	361.4299	572.31635	8276.572	0.00076982233
7	7999	588.6081924438477	347.7009	66.01656	478.87045	224.76045	67.57143	313.93674	0.0	313.93674	313.93674	65.0	304.46027	193.74693	876.7606	-200.25774	230.09897	-1.5513053	4.9617515	22.590076	-24.00457	-330.65594	0.78419155	0.04868806	0.86065733	0.694348	-0.89842576	0.9381613	0.6851923	6.4658136	1.1920929e-07	149.27353	78.56121	307.21957	3.8940642	176.36249	93.298065	363.41782	3.8940642	270.50537	118.60685	523.63324	-58.619667	94.1429	72.50937	317.5197	-108.15229	100.779915	62.959526	317.5197	0.09793282	0.86681354	1.3664142	13.096171	-4.2521687	14120.494	15092.126	100818.76	0.009590837	120.55124	185.7798	1715.0969	0.00029768565
8	8999	779.4980595111847	337.06122	56.762814	468.4017	216.05812	65.9375	394.3116	0.0	394.3116	394.3116	72.0	226.03961	132.83319	617.4064	-125.05478	121.5475	-1.7634996	5.1908684	28.83548	-21.526163	-245.46188	0.6086722	0.046080377	0.6941528	0.53528947	-1.8520943	0.9075513	0.6700951	6.301732	2.30968e-07	153.61995	77.49319	303.22226	3.8650856	174.48633	88.91076	348.3134	3.8650856	232.8561	117.50332	478.68817	-124.01345	58.369747	64.12008	245.27132	-129.55496	69.288414	52.129917	245.27132	0.08898784	0.32538489	0.9035634	6.781033	-12.955496	7518.412	9910.483	60158.016	0.007918837	52.4918	83.97169	1678.4487	4.1330917e-05
9	9999	969.7147190570831	341.71503	79.59533	467.7311	202.9986	66.73333	392.62634	0.0	392.62634	392.62634	73.0	199.10213	116.224724	555.9401	-95.00842	94.573265	-0.72130585	5.465065	25.832554	-20.912342	-215.56824	0.4794728	0.031393312	0.535165	0.42683464	-1.997691	0.9273128	0.68514	5.823967	4.7683716e-07	154.22133	78.107445	302.71152	3.656075	168.35559	85.76917	328.17316	3.656075	211.75645	105.37454	442.64633	-95.12114	43.400864	61.47757	258.15326	-119.54403	58.22917	47.670643	258.15326	0.056579385	0.31352097	1.1230303	12.697057	-10.109732	5663.1265	8474.398	66643.11	0.0032012267	53.85112	116.32269	1612.1526	1.3325692e-05
