Epoch	TotalEnvInteracts	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	TestEpLen	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	LossQ1	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	AverageAlpha	StdAlpha	MaxAlpha	MinAlpha	LossAlpha	AveragePreTanh	StdPreTanh	MaxPreTanh	MinPreTanh	AverageMCDisRet	StdMCDisRet	MaxMCDisRet	MinMCDisRet	AverageMCDisRetEnt	StdMCDisRetEnt	MaxMCDisRetEnt	MinMCDisRetEnt	AverageQPred	StdQPred	MaxQPred	MinQPred	AverageQBias	StdQBias	MaxQBias	MinQBias	AverageQBiasAbs	StdQBiasAbs	MaxQBiasAbs	MinQBiasAbs	AverageNormQBias	StdNormQBias	MaxNormQBias	MinNormQBias	AverageQBiasSqr	StdQBiasSqr	MaxQBiasSqr	MinQBiasSqr	AverageNormQBiasSqr	StdNormQBiasSqr	MaxNormQBiasSqr	MinNormQBiasSqr
0	999	7.702897787094116	1.0747212	5.7600102	18.986414	-7.0221887	19.431372	-2.2483742	0.0	-2.2483742	-2.2483742	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-2.0689306	3.0240288	9.623209	-9.949541	-16.754602	9.472982	1.1528026	-38.128765	-0.13407567	0.3481918	1.3364856	-1.0190672	16.62053	9.533826	38.14618	-1.5438043	16.647434	9.486766	38.14618	0.02127031	0.8471709	0.29907885	1.0750765	-0.15438044	367.13583	339.11038	1455.131	0.00045242615	16.189669	9.975705	38.1636	4.5242614e-05
1	1999	9.575861692428589	1.0942866	5.904872	24.766956	-7.2205453	19.62745	-2.2483742	0.0	-2.2483742	-2.2483742	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-2.0689306	3.0240288	9.623209	-9.949541	-16.754602	9.472982	1.1528026	-38.128765	-0.13407567	0.3481918	1.3364856	-1.0190672	16.62053	9.533826	38.14618	-1.5438043	16.647434	9.486766	38.14618	0.02127031	0.8471709	0.29907885	1.0750765	-0.15438044	367.13583	339.11038	1455.131	0.00045242615	16.189669	9.975705	38.1636	4.5242614e-05
2	2999	11.571377038955688	3.1628726	6.1479716	23.34993	-6.1885276	22.066668	-1.7566769	0.0	-1.7566769	-1.7566769	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-2.3324313	3.0509214	8.68414	-11.590904	-15.696437	9.973946	0.977803	-50.6593	-0.090361156	0.37436754	1.4356165	-0.9850577	15.606075	10.035196	50.662403	-1.1632284	15.637417	9.986287	50.662403	0.027063187	0.82946587	0.31567293	1.1109277	-0.116322845	344.25473	409.09863	2566.679	0.0007324161	15.177587	10.466387	50.665504	7.324161e-05
3	3999	13.539341926574707	1.7894425	6.4324756	23.535067	-8.250434	20.469387	-2.2719178	0.0	-2.2719178	-2.2719178	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-2.3700352	3.275255	8.838656	-13.280411	-18.641794	13.81384	2.6584308	-68.006134	-0.09691192	0.38192308	1.4979866	-1.1102813	18.544882	13.894476	68.776184	-2.6149871	18.593765	13.828989	68.776184	0.0072925356	0.8362718	0.31157947	1.0868762	-0.26149872	536.9691	773.77246	4730.163	5.3181077e-05	18.137075	14.292585	70.018715	5.318108e-06
4	4999	15.385799169540405	1.9083222	4.7744718	16.023567	-6.594816	22.977272	-1.7019083	0.0	-1.7019083	-1.7019083	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-2.4759924	3.1378465	9.8743515	-10.03651	-17.038267	9.661676	0.54194075	-49.898487	-0.04944242	0.38194248	1.3962659	-0.92459464	16.988823	9.731827	50.29539	-1.2449552	17.00716	9.699745	50.29539	0.042471495	0.8603844	0.29247388	1.0908374	-0.12449552	383.32852	370.5037	2529.6265	0.0018038278	16.644365	10.193214	50.695454	0.00018038278
5	5999	209.06194829940796	34.069035	59.329033	147.9238	-38.742634	135.5	297.0557	0.0	297.0557	297.0557	198.0	108.92641	61.674786	213.95404	-55.953068	18.724588	-1.7675573	2.6494775	35.423527	-12.760665	-118.78924	0.8745166	0.06988308	1.0010908	0.75712913	-0.63303846	0.84288746	0.6474972	23.831434	4.4703484e-07	1.6615537	32.94489	115.21933	-43.680855	22.204727	36.734886	136.21655	-35.037987	154.94153	50.25035	262.65747	-70.134766	132.7368	40.29056	247.9896	-67.38324	133.24716	38.56915	247.9896	0.06921857	7.4592695	5.1616645	24.798958	-6.738324	19242.39	9025.594	61498.836	0.0047912104	1095.3541	892.69867	6149.8833	0.00047912105
6	6999	402.4846224784851	50.166355	37.870968	126.74009	11.978408	163.83333	232.94269	0.0	232.94269	232.94269	138.0	159.42986	50.357533	225.55333	-86.99521	16.971508	-1.154136	2.8939333	17.936394	-13.936009	-170.39677	0.66014344	0.052678317	0.7569113	0.57516056	-1.7168261	0.80445427	0.6048417	5.301192	8.940697e-07	61.050255	52.06707	154.81439	-29.020344	81.062515	56.849022	167.56096	-17.769367	198.03477	59.857807	339.3542	-90.19053	116.97227	58.91804	329.11285	-82.98928	117.314354	58.23392	329.11285	0.9406998	3.8273637	5.4581923	32.911285	-8.298928	17153.85	17995.93	108315.27	0.8849161	655.5206	1258.8534	10831.527	0.08849162
7	7999	596.8409140110016	62.319572	39.787403	113.48291	9.238142	132.0	503.39996	0.0	503.39996	503.39996	375.0	136.04565	50.770863	274.95786	-66.68966	16.30635	-0.73845077	3.116304	21.934998	-12.73444	-144.98528	0.50227094	0.04044311	0.5750133	0.437795	-2.5705388	0.79181314	0.6101319	5.352381	9.536743e-07	47.97181	51.0343	138.44675	-33.579185	67.76923	57.001488	158.02417	-27.702873	138.7176	59.032646	274.80383	-49.411423	70.94838	48.928898	269.83054	-47.478165	71.91173	47.501717	269.83054	0.272092	2.5656145	4.029061	26.983053	-4.7478166	7427.7095	9314.88	72808.52	0.074034065	326.48593	687.965	7280.852	0.0004905164
8	8999	790.5639362335205	144.26402	125.91854	371.66437	5.7746983	164.14285	241.97243	0.0	241.97243	241.97243	148.0	112.35062	45.487476	270.48413	-66.844284	13.735639	-0.27320126	3.3208065	23.477432	-14.856775	-119.67866	0.38420358	0.029604597	0.4376884	0.33581328	-3.129323	0.80852354	0.635712	6.395173	1.7881393e-07	79.58548	28.964487	117.234215	1.1788412	89.45454	36.423565	139.7921	0.1547194	145.27715	16.78679	183.95505	84.39514	55.822605	43.089912	159.51253	-17.164211	56.322086	42.434963	159.51253	0.1431118	1.5185325	2.7885468	15.951254	-0.12833515	4972.904	5941.209	25444.248	0.020480987	169.62625	378.00095	2544.4248	0.0001918307
9	9999	982.8765439987183	172.35326	131.53651	355.48563	33.073803	177.2	172.33472	0.0	172.33472	172.33472	126.0	99.32756	37.726025	205.93297	-87.40411	10.930504	0.30086726	3.327139	23.839485	-14.003785	-105.46373	0.2966386	0.021500763	0.3357217	0.2616407	-3.273326	0.82234496	0.64435434	6.678029	4.172325e-07	63.534622	45.622696	144.75185	-19.343214	60.32807	45.787632	141.7513	-32.70461	125.20128	31.871698	179.6672	-65.24899	64.8732	35.777622	164.27078	-63.520725	65.360245	34.87992	164.27078	0.059046898	2.4367523	3.0712311	15.025633	-6.3520727	5488.5713	4889.3125	26984.89	0.0034865362	234.97212	365.07343	2257.6963	2.560676e-05
