Epoch	TotalEnvInteracts	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	TestEpLen	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	LossQ1	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	AverageAlpha	StdAlpha	MaxAlpha	MinAlpha	LossAlpha	AveragePreTanh	StdPreTanh	MaxPreTanh	MinPreTanh	AverageMCDisRet	StdMCDisRet	MaxMCDisRet	MinMCDisRet	AverageMCDisRetEnt	StdMCDisRetEnt	MaxMCDisRetEnt	MinMCDisRetEnt	AverageQPred	StdQPred	MaxQPred	MinQPred	AverageQBias	StdQBias	MaxQBias	MinQBias	AverageQBiasAbs	StdQBiasAbs	MaxQBiasAbs	MinQBiasAbs	AverageNormQBias	StdNormQBias	MaxNormQBias	MinNormQBias	AverageQBiasSqr	StdQBiasSqr	MaxQBiasSqr	MinQBiasSqr	AverageNormQBiasSqr	StdNormQBiasSqr	MaxNormQBiasSqr	MinNormQBiasSqr
0	999	11.905850648880005	-380.24023	0.0	-380.24023	-380.24023	1000.0	940.92804	0.0	940.92804	940.92804	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-73.99476	37.35422	8.119592	-127.1103	-72.70882	36.723648	9.022185	-135.256	0.15255225	0.34817517	1.3192431	-0.8260262	72.86136	36.701496	135.30771	-8.626381	73.043465	36.337723	135.30771	0.09302475	0.9353035	0.26143834	1.0854274	-0.8626381	6655.7783	4280.8125	18308.176	0.008653605	73.04883	36.602993	135.35945	0.00086536055
1	1999	19.104869604110718	-358.08673	0.0	-358.08673	-358.08673	1000.0	940.92804	0.0	940.92804	940.92804	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-73.99476	37.35422	8.119592	-127.1103	-72.70882	36.723648	9.022185	-135.256	0.15255225	0.34817517	1.3192431	-0.8260262	72.86136	36.701496	135.30771	-8.626381	73.043465	36.337723	135.30771	0.09302475	0.9353035	0.26143834	1.0854274	-0.8626381	6655.7783	4280.8125	18308.176	0.008653605	73.04883	36.602993	135.35945	0.00086536055
2	2999	27.188300848007202	-14.571307	35.704567	23.749765	-108.24556	90.2	968.2182	0.0	968.2182	968.2182	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-81.04612	33.587357	4.804327	-130.44405	-79.555115	33.614456	4.900547	-133.28316	0.15250511	0.35274094	1.6381595	-1.0027447	79.70762	33.604042	133.40817	-5.5238347	79.754036	33.49374	133.40817	0.07090796	0.9586688	0.18192616	1.0910728	-0.5523834	7482.5356	4127.631	17797.742	0.005027938	79.760826	33.817516	133.53333	0.0005027938
3	3999	32.412622928619385	-21.863068	37.32198	4.467001	-85.877014	84.0	962.7255	0.0	962.7255	962.7255	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-30.47871	26.906551	6.0201364	-133.72806	-32.541027	30.021725	9.303277	-154.84312	0.15409417	0.35492882	1.5161047	-1.1703658	32.69512	30.032038	155.07056	-9.964043	32.81555	29.9004	155.07056	0.0064974274	0.86629814	0.31232584	1.0871997	-0.99640423	1970.8943	3956.608	24046.877	4.2216565e-05	32.594677	30.275343	155.29832	4.221656e-06
4	4999	39.0708532333374	-114.89539	140.84811	-5.842436	-354.56287	296.75	965.9754	0.0	965.9754	965.9754	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-53.87928	38.399048	5.9083953	-111.38064	-53.04386	36.507057	10.301419	-106.24153	0.14724147	0.3506574	1.4349337	-0.9676708	53.19111	36.515034	107.27889	-10.926818	53.642067	35.849274	107.27889	0.034065157	0.86955744	0.37055123	1.0972031	-1.0769835	4162.6416	3895.8193	11508.761	0.0011604349	53.531338	36.220108	108.326385	0.00011604349
5	5999	228.78335428237915	-106.836975	136.96379	-20.733267	-343.87372	273.25	546.4125	0.0	546.4125	546.4125	1000.0	136.61635	62.568394	240.37022	-9.671765	10.245034	-4.436734	1.6354773	17.43866	-13.359161	-142.22495	0.8646046	0.07244188	0.99970007	0.747609	-1.2175263	0.7464676	0.5743388	17.52535	1.4156103e-06	-45.471428	22.338266	4.189126	-92.70031	10.769863	15.85162	34.245678	-37.056526	216.36314	15.796459	247.08301	126.27699	205.59326	14.634735	248.7918	123.01477	205.59326	14.634735	248.7918	123.01477	13.402513	5.789579	24.816608	5.0569067	42482.766	5918.781	61897.36	15132.633	2773.9138	1266.0891	6158.6406	682.56775
6	6999	421.38574266433716	-469.55365	0.0	-469.55365	-469.55365	1000.0	539.5662	0.0	539.5662	539.5662	1000.0	225.92375	21.682852	263.4202	-6.501637	9.897113	-3.5463657	2.191887	16.05576	-13.763842	-231.2183	0.6516936	0.053354934	0.74740106	0.56272405	-3.2538614	0.7795883	0.59357566	5.5890136	2.30968e-06	-34.241146	16.553072	16.320442	-79.72337	27.093494	17.589066	67.464165	-54.701744	209.32478	14.419266	242.10416	65.14125	182.2313	18.510147	267.93723	66.82491	182.2313	18.510147	267.93723	66.82491	7.6754446	4.935806	21.505146	1.3049939	33550.87	6745.028	71790.36	4465.569	1446.4009	1040.4331	4624.713	113.64154
7	7999	609.7721576690674	-239.9471	243.81511	3.8680148	-483.7622	567.0	478.47565	0.0	478.47565	478.47565	1000.0	188.2798	23.616554	248.70457	-7.0019355	6.8916125	-3.6546454	2.096554	17.930613	-14.762606	-192.0336	0.48680016	0.041804716	0.56256026	0.4179807	-5.5363545	0.7434827	0.5671477	5.8424325	2.9802322e-07	-33.935886	19.384865	3.3884857	-80.33334	13.727308	19.451797	54.692955	-31.5849	152.91763	11.646273	176.75024	73.817825	139.19032	20.04466	184.7461	68.27413	139.19032	20.04466	184.7461	68.27413	9.717252	5.3233576	17.833838	1.7492114	19775.736	5533.408	34131.117	4661.3574	1434.6644	886.8209	3180.4578	123.76501
8	8999	799.6342248916626	-117.671394	176.36902	15.273776	-366.9095	410.0	625.8514	0.0	625.8514	625.8514	1000.0	134.62114	20.124647	183.66725	-3.8477833	4.819436	-3.7062292	2.0319102	15.148767	-13.568743	-137.29947	0.3609883	0.03130662	0.4178557	0.30954537	-7.8786864	0.7177294	0.5478561	4.89451	5.9604645e-08	-25.229534	24.907259	20.244196	-116.65208	21.733149	26.953337	62.815796	-56.11007	104.50023	11.1979475	129.1845	38.312424	82.76709	24.18849	160.64867	37.05182	82.76709	24.18849	160.64867	37.05182	4.7131267	3.6399612	11.6657	0.5955222	7435.473	4470.387	25807.992	1372.8374	443.70374	386.9737	1381.4788	22.14996
9	9999	984.9854238033295	-27.32846	13.425172	-13.903289	-40.75363	130.5	499.51105	0.0	499.51105	499.51105	1000.0	89.913994	15.572681	131.19632	-9.777032	4.2509584	-3.635279	1.9694434	15.336255	-13.885233	-91.87591	0.2676367	0.023007702	0.3094531	0.22967915	-10.090418	0.6912049	0.527961	5.2044916	2.9802322e-07	-22.876575	19.80149	14.492907	-73.58926	16.920544	25.838549	68.94096	-40.703815	67.69938	8.1495495	83.663925	16.333622	50.77883	25.81435	117.31041	-14.733546	50.91583	25.543072	117.31041	0.08220691	2.7661982	2.247463	8.435619	-0.21622403	3244.8704	3084.5835	13761.731	0.0067579765	178.91467	177.76459	711.59674	0.0001027027
