Epoch	TotalEnvInteracts	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	TestEpLen	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	LossQ1	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	AverageAlpha	StdAlpha	MaxAlpha	MinAlpha	LossAlpha	AveragePreTanh	StdPreTanh	MaxPreTanh	MinPreTanh	AverageMCDisRet	StdMCDisRet	MaxMCDisRet	MinMCDisRet	AverageMCDisRetEnt	StdMCDisRetEnt	MaxMCDisRetEnt	MinMCDisRetEnt	AverageQPred	StdQPred	MaxQPred	MinQPred	AverageQBias	StdQBias	MaxQBias	MinQBias	AverageQBiasAbs	StdQBiasAbs	MaxQBiasAbs	MinQBiasAbs	AverageNormQBias	StdNormQBias	MaxNormQBias	MinNormQBias	AverageQBiasSqr	StdQBiasSqr	MaxQBiasSqr	MinQBiasSqr	AverageNormQBiasSqr	StdNormQBiasSqr	MaxNormQBiasSqr	MinNormQBiasSqr
0	999	22.669333457946777	-380.24023	0.0	-380.24023	-380.24023	1000.0	940.92804	0.0	940.92804	940.92804	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-73.99476	37.35422	8.119592	-127.1103	-72.70882	36.723648	9.022185	-135.256	0.15255225	0.34817517	1.3192431	-0.8260262	72.86136	36.701496	135.30771	-8.626381	73.043465	36.337723	135.30771	0.09302475	0.9353035	0.26143834	1.0854274	-0.8626381	6655.7783	4280.8125	18308.176	0.008653605	73.04883	36.602993	135.35945	0.00086536055
1	1999	38.27129936218262	-358.08673	0.0	-358.08673	-358.08673	1000.0	940.92804	0.0	940.92804	940.92804	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-73.99476	37.35422	8.119592	-127.1103	-72.70882	36.723648	9.022185	-135.256	0.15255225	0.34817517	1.3192431	-0.8260262	72.86136	36.701496	135.30771	-8.626381	73.043465	36.337723	135.30771	0.09302475	0.9353035	0.26143834	1.0854274	-0.8626381	6655.7783	4280.8125	18308.176	0.008653605	73.04883	36.602993	135.35945	0.00086536055
2	2999	52.605104207992554	-14.571307	35.704567	23.749765	-108.24556	90.2	968.2182	0.0	968.2182	968.2182	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-81.04612	33.587357	4.804327	-130.44405	-79.555115	33.614456	4.900547	-133.28316	0.15250511	0.35274094	1.6381595	-1.0027447	79.70762	33.604042	133.40817	-5.5238347	79.754036	33.49374	133.40817	0.07090796	0.9586688	0.18192616	1.0910728	-0.5523834	7482.5356	4127.631	17797.742	0.005027938	79.760826	33.817516	133.53333	0.0005027938
3	3999	60.49416637420654	-21.863068	37.32198	4.467001	-85.877014	84.0	962.7255	0.0	962.7255	962.7255	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-30.47871	26.906551	6.0201364	-133.72806	-32.541027	30.021725	9.303277	-154.84312	0.15409417	0.35492882	1.5161047	-1.1703658	32.69512	30.032038	155.07056	-9.964043	32.81555	29.9004	155.07056	0.0064974274	0.86629814	0.31232584	1.0871997	-0.99640423	1970.8943	3956.608	24046.877	4.2216565e-05	32.594677	30.275343	155.29832	4.221656e-06
4	4999	74.28973960876465	-114.89539	140.84811	-5.842436	-354.56287	296.75	965.9754	0.0	965.9754	965.9754	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-53.87928	38.399048	5.9083953	-111.38064	-53.04386	36.507057	10.301419	-106.24153	0.14724147	0.3506574	1.4349337	-0.9676708	53.19111	36.515034	107.27889	-10.926818	53.642067	35.849274	107.27889	0.034065157	0.86955744	0.37055123	1.0972031	-1.0769835	4162.6416	3895.8193	11508.761	0.0011604349	53.531338	36.220108	108.326385	0.00011604349
5	5999	392.7971532344818	-162.31114	143.22835	-23.704254	-359.53113	371.33334	236.22629	0.0	236.22629	236.22629	1000.0	129.64078	58.557465	228.16774	-8.21946	9.122839	-4.1802535	1.9275792	17.43866	-13.296473	-135.63802	0.8657808	0.071407415	0.99970007	0.7512498	-1.153613	0.7938395	0.6099615	17.52535	1.0281801e-06	-41.70897	23.895111	7.6025133	-81.473946	-4.37143	13.923121	35.01612	-48.674824	203.69032	14.528746	230.73473	43.41642	208.06174	18.893688	258.0219	41.896526	208.06174	18.893688	258.0219	41.896526	17.15314	5.040602	23.107845	4.1896524	43646.664	7403.492	66575.31	1755.3187	3557.3003	1062.6432	5339.725	175.53188
6	6999	711.6695899963379	-295.96896	233.56898	-49.97447	-609.87646	467.33334	8.846463	0.0	8.846463	8.846463	19.0	210.30156	21.737963	259.87	-8.465684	13.24385	-2.8255348	2.553404	16.713879	-13.952421	-216.41481	0.65821266	0.051721763	0.7510504	0.57206094	-2.863436	0.83433145	0.6322162	5.9957433	1.7881393e-07	-48.063942	24.013147	6.1787496	-109.78327	-6.0806026	16.015314	18.557018	-54.076065	191.12433	14.493281	228.47238	97.955154	197.20493	19.093758	261.47998	101.58984	197.20493	19.093758	261.47998	101.58984	15.693729	5.030661	22.410736	4.1570077	39254.355	7536.3667	68371.78	10320.496	3060.037	985.5867	5177.1914	822.56757
7	7999	1039.1881847381592	-37.01595	19.524132	-16.143234	-69.23353	72.85714	167.13118	0.0	167.13118	167.13118	1000.0	172.41899	29.149008	240.9914	-23.291828	13.366601	-2.3556054	2.5714	19.155336	-13.407159	-177.52618	0.49932843	0.03987868	0.5719028	0.43342254	-4.4187713	0.7814325	0.59405226	6.126936	1.0728836e-06	-30.948126	21.434229	15.762665	-57.353737	5.0933456	18.24712	63.35691	-38.317455	147.22847	21.923426	201.40985	56.060917	142.13512	27.024792	204.51886	66.83709	142.13512	27.024792	204.51886	66.83709	11.332744	5.0689273	20.451887	1.0767362	20932.732	7521.1445	41827.965	4467.197	1708.7319	952.40265	4182.7964	73.1088
8	8999	1370.361358165741	-160.99466	233.68394	22.720125	-490.75735	376.0	205.31274	0.0	205.31274	205.31274	1000.0	125.31676	23.025013	198.72592	-32.303883	7.8069115	-2.2814736	2.5212598	17.058725	-14.337273	-129.30255	0.3765956	0.0316166	0.43330055	0.32393545	-6.1608667	0.73487425	0.560645	5.2023835	1.6391277e-07	-21.043999	15.942449	7.675692	-60.520927	7.8065987	19.57241	43.51208	-39.061893	95.7487	10.642125	122.83769	6.619185	87.94211	21.764933	138.65335	7.906784	87.94211	21.764933	138.65335	7.906784	6.076762	3.3531375	12.534578	0.7906784	8207.527	3956.0134	19224.752	62.517235	579.5084	383.97415	1571.1565	6.2517233
9	9999	1701.0199761390686	-191.9761	91.06329	-100.91281	-283.0394	706.0	403.88223	0.0	403.88223	403.88223	949.0	80.121506	15.924444	126.26067	-26.799173	4.1351085	-2.3775403	2.3560677	17.690804	-16.350412	-82.98206	0.27990648	0.024119524	0.32383794	0.24028647	-8.139663	0.6795031	0.5204132	4.9644103	1.7881393e-07	-10.394386	17.984766	26.789442	-60.460705	2.4072356	17.057487	40.91799	-39.050133	65.78172	7.595902	85.063095	26.250652	63.37449	17.164438	111.962845	15.824609	63.37449	17.164438	111.962845	15.824609	4.8210487	2.0800922	9.040734	0.48705077	4310.9434	2202.8813	12535.679	250.41824	324.09796	168.98442	832.0179	7.707388
