Epoch	TotalEnvInteracts	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	TestEpLen	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	LossQ1	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	AverageAlpha	StdAlpha	MaxAlpha	MinAlpha	LossAlpha	AveragePreTanh	StdPreTanh	MaxPreTanh	MinPreTanh	AverageMCDisRet	StdMCDisRet	MaxMCDisRet	MinMCDisRet	AverageMCDisRetEnt	StdMCDisRetEnt	MaxMCDisRetEnt	MinMCDisRetEnt	AverageQPred	StdQPred	MaxQPred	MinQPred	AverageQBias	StdQBias	MaxQBias	MinQBias	AverageQBiasAbs	StdQBiasAbs	MaxQBiasAbs	MinQBiasAbs	AverageNormQBias	StdNormQBias	MaxNormQBias	MinNormQBias	AverageQBiasSqr	StdQBiasSqr	MaxQBiasSqr	MinQBiasSqr	AverageNormQBiasSqr	StdNormQBiasSqr	MaxNormQBiasSqr	MinNormQBiasSqr
0	999	6.427653074264526	120.9081	32.29719	216.34543	83.19537	24.170732	107.70396	0.0	107.70396	107.70396	22.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	75.58841	42.927334	211.46869	3.7759414	-461.67886	290.13565	6.1919827	-1306.7687	-0.8772401	2.9662344	7.946304	-10.686367	460.8016	290.1109	1307.4916	-13.722989	461.18448	289.5019	1307.4916	0.21426512	0.9456936	0.2879769	1.2905192	-1.3722988	296502.47	310040.44	1709534.2	0.045909543	460.32605	289.50702	1308.65	0.004590954
1	1999	8.51528024673462	119.15225	31.674957	216.05151	78.76896	24.02381	107.70396	0.0	107.70396	107.70396	22.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	75.58841	42.927334	211.46869	3.7759414	-461.67886	290.13565	6.1919827	-1306.7687	-0.8772401	2.9662344	7.946304	-10.686367	460.8016	290.1109	1307.4916	-13.722989	461.18448	289.5019	1307.4916	0.21426512	0.9456936	0.2879769	1.2905192	-1.3722988	296502.47	310040.44	1709534.2	0.045909543	460.32605	289.50702	1308.65	0.004590954
2	2999	10.470448017120361	118.352844	30.781944	223.01996	83.474915	23.619047	112.74596	0.0	112.74596	112.74596	23.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	74.96669	43.413193	197.28943	4.0184894	-468.3496	298.59723	5.8794103	-1339.8535	-0.7561745	3.0946593	6.97949	-10.790171	467.5934	298.67264	1340.1056	-14.962291	467.97418	298.07568	1340.1056	0.20577487	0.9453817	0.28930527	1.2791885	-1.4962292	307848.94	326981.28	1795883.0	0.0423433	467.2483	298.16614	1340.3578	0.00423433
3	3999	12.52925419807434	112.997536	29.20088	210.18936	83.286	22.522728	102.28285	0.0	102.28285	102.28285	21.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	77.04491	43.788708	192.95418	3.8221638	-481.0904	308.20996	6.1213126	-1281.7	-0.66833436	3.0556087	9.798087	-10.088489	480.42212	308.22934	1281.9288	-12.352348	480.75476	307.71027	1281.9288	0.0014791456	0.94964385	0.27450484	1.316842	-1.2352349	325810.72	343092.7	1643341.6	2.1878718e-06	480.09827	307.76968	1282.158	2.1878718e-07
4	4999	14.720393419265747	119.03293	33.708797	232.08597	83.30822	23.651163	112.48796	0.0	112.48796	112.48796	23.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	79.36693	45.43891	213.22894	4.1014323	-493.37683	306.42114	6.170279	-1268.0436	-0.6346283	3.1739364	8.429445	-10.032564	492.74222	306.54742	1268.274	-10.591543	493.13034	305.92267	1268.274	0.48035598	0.94868475	0.2853687	1.4076899	-1.0591544	336766.2	340893.1	1608519.1	0.23074187	492.52948	306.05872	1268.5046	0.023074187
5	5999	149.5834047794342	197.88991	116.441696	361.5997	73.12361	37.68	369.57114	0.0	369.57114	369.57114	75.0	243.72054	247.47925	808.493	-208.4151	110.00102	-1.278458	14.609251	206.76251	-21.512228	-263.62756	0.96815306	0.033207286	1.0139151	0.915861	-0.17913611	0.9988022	1.1155193	44.551506	1.4901161e-07	147.68872	76.28895	349.20712	4.8794208	174.2817	92.20553	420.70023	4.8794208	460.7414	234.45274	830.13403	-218.30664	286.45975	161.53957	617.0449	-231.41489	295.2131	144.92558	617.0449	3.3518698	1.5132238	2.133343	10.379145	-18.294828	108154.2	82029.195	380744.47	11.235032	598.9677	417.8226	4085.4304	0.38195294
6	6999	283.2194001674652	365.09622	72.88851	549.26495	272.56592	72.35714	434.11612	0.0	434.11612	434.11612	85.0	461.2788	254.80142	893.6036	-218.28098	103.523315	-1.0420166	5.9543443	30.411339	-23.515621	-495.29788	0.8711532	0.028284602	0.9157789	0.8152955	-0.42808965	0.97820705	0.7117417	6.1638947	4.4703484e-07	157.35153	83.80667	327.25912	3.3218136	190.77052	101.769745	396.4366	3.3218136	423.107	169.064	807.9622	-100.978165	232.3365	126.754456	549.0827	-107.21997	234.79985	122.130936	549.0827	0.56282115	2.2521312	3.916052	34.077297	-10.721996	70046.95	59414.273	301491.8	0.31676763	690.174	1246.0571	13355.963	0.0046867025
7	7999	418.69577622413635	339.97064	67.22601	489.78494	175.76999	67.46667	426.8127	0.0	426.8127	426.8127	90.0	331.27402	196.12257	828.2306	-159.36845	116.17014	-1.8327104	4.9422965	22.314837	-20.957981	-356.33688	0.73826087	0.045633	0.8151504	0.6579416	-1.1757388	0.94675875	0.6896387	6.0281734	1.2516975e-06	147.04688	78.79468	316.2942	3.5644717	175.47034	94.447105	375.81793	3.5644717	325.70963	114.64107	577.94446	-76.63669	150.23932	81.7272	368.3486	-93.380646	152.05957	78.288414	368.3486	0.013809542	1.7090673	2.7785678	22.476242	-8.317101	29251.191	24766.709	135680.7	0.00019070345	332.3164	588.8744	6283.4146	1.9284596e-06
8	8999	554.2308185100555	348.86548	48.39174	435.91507	252.24377	70.85714	388.64096	0.0	388.64096	388.64096	82.0	256.59174	147.83698	633.03577	-133.05797	88.75344	-1.7470917	5.2763987	22.088215	-20.931274	-275.67886	0.5813142	0.0424806	0.6577663	0.511416	-2.0294402	0.9316977	0.6801325	6.094372	7.1525574e-07	144.1773	75.86588	287.59732	3.4998324	164.37973	88.32691	331.3112	3.4998324	244.04837	105.09638	499.31424	-91.29155	79.668625	68.968864	286.5692	-139.6543	88.36267	57.409344	286.5692	0.1487678	0.97772926	1.8443902	20.573166	-5.260169	11103.794	12432.07	82121.91	0.02213186	135.88571	293.06082	4232.552	0.00013578666
9	9999	687.9273273944855	392.65964	146.63054	832.1838	214.37033	76.15385	434.51898	0.0	434.51898	434.51898	92.0	222.26637	125.79762	556.5929	-80.503685	71.6233	-0.7366902	5.5119843	23.892437	-21.099838	-238.51382	0.4571994	0.029181916	0.51127845	0.4103206	-2.125128	0.9344374	0.68963295	5.7932005	3.1292439e-07	163.29372	84.16164	338.15094	3.4458966	172.65956	92.287674	369.93704	3.4458966	236.664	99.5572	443.4662	-94.11337	64.004425	69.489265	275.1338	-105.85795	74.617134	57.94487	275.1338	0.07386337	0.7101051	1.5766203	13.633698	-10.018639	8925.324	12518.502	75698.6	0.005455798	104.95761	224.11679	2243.297	1.6963533e-05
