Epoch	TotalEnvInteracts	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	TestEpLen	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	LossQ1	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	AverageAlpha	StdAlpha	MaxAlpha	MinAlpha	LossAlpha	AveragePreTanh	StdPreTanh	MaxPreTanh	MinPreTanh	AverageMCDisRet	StdMCDisRet	MaxMCDisRet	MinMCDisRet	AverageMCDisRetEnt	StdMCDisRetEnt	MaxMCDisRetEnt	MinMCDisRetEnt	AverageQPred	StdQPred	MaxQPred	MinQPred	AverageQBias	StdQBias	MaxQBias	MinQBias	AverageQBiasAbs	StdQBiasAbs	MaxQBiasAbs	MinQBiasAbs	AverageNormQBias	StdNormQBias	MaxNormQBias	MinNormQBias	AverageQBiasSqr	StdQBiasSqr	MaxQBiasSqr	MinQBiasSqr	AverageNormQBiasSqr	StdNormQBiasSqr	MaxNormQBiasSqr	MinNormQBiasSqr
0	999	13.422606945037842	1.0747212	5.7600102	18.986414	-7.0221887	19.431372	-2.2483742	0.0	-2.2483742	-2.2483742	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-2.0689306	3.0240288	9.623209	-9.949541	-16.754602	9.472982	1.1528026	-38.128765	-0.13407567	0.3481918	1.3364856	-1.0190672	16.62053	9.533826	38.14618	-1.5438043	16.647434	9.486766	38.14618	0.02127031	0.8471709	0.29907885	1.0750765	-0.15438044	367.13583	339.11038	1455.131	0.00045242615	16.189669	9.975705	38.1636	4.5242614e-05
1	1999	16.627485752105713	1.0942866	5.904872	24.766956	-7.2205453	19.62745	-2.2483742	0.0	-2.2483742	-2.2483742	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-2.0689306	3.0240288	9.623209	-9.949541	-16.754602	9.472982	1.1528026	-38.128765	-0.13407567	0.3481918	1.3364856	-1.0190672	16.62053	9.533826	38.14618	-1.5438043	16.647434	9.486766	38.14618	0.02127031	0.8471709	0.29907885	1.0750765	-0.15438044	367.13583	339.11038	1455.131	0.00045242615	16.189669	9.975705	38.1636	4.5242614e-05
2	2999	21.216875076293945	3.1628726	6.1479716	23.34993	-6.1885276	22.066668	-1.7566769	0.0	-1.7566769	-1.7566769	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-2.3324313	3.0509214	8.68414	-11.590904	-15.696437	9.973946	0.977803	-50.6593	-0.090361156	0.37436754	1.4356165	-0.9850577	15.606075	10.035196	50.662403	-1.1632284	15.637417	9.986287	50.662403	0.027063187	0.82946587	0.31567293	1.1109277	-0.116322845	344.25473	409.09863	2566.679	0.0007324161	15.177587	10.466387	50.665504	7.324161e-05
3	3999	27.414274215698242	1.7894425	6.4324756	23.535067	-8.250434	20.469387	-2.2719178	0.0	-2.2719178	-2.2719178	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-2.3700352	3.275255	8.838656	-13.280411	-18.641794	13.81384	2.6584308	-68.006134	-0.09691192	0.38192308	1.4979866	-1.1102813	18.544882	13.894476	68.776184	-2.6149871	18.593765	13.828989	68.776184	0.0072925356	0.8362718	0.31157947	1.0868762	-0.26149872	536.9691	773.77246	4730.163	5.3181077e-05	18.137075	14.292585	70.018715	5.318108e-06
4	4999	30.62483811378479	1.9083222	4.7744718	16.023567	-6.594816	22.977272	-1.7019083	0.0	-1.7019083	-1.7019083	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-2.4759924	3.1378465	9.8743515	-10.03651	-17.038267	9.661676	0.54194075	-49.898487	-0.04944242	0.38194248	1.3962659	-0.92459464	16.988823	9.731827	50.29539	-1.2449552	17.00716	9.699745	50.29539	0.042471495	0.8603844	0.29247388	1.0908374	-0.12449552	383.32852	370.5037	2529.6265	0.0018038278	16.644365	10.193214	50.695454	0.00018038278
5	5999	359.4838008880615	49.606335	117.868904	353.73767	-20.006683	118.875	234.65701	0.0	234.65701	234.65701	134.0	113.884544	65.250534	241.10489	-63.284187	21.056278	-1.6611401	2.7286384	35.423527	-12.782964	-124.09546	0.8755084	0.069212906	1.0010908	0.7595686	-0.60849607	0.8570006	0.6535381	23.831406	6.556511e-07	54.238754	49.29359	150.57784	-34.64077	73.31483	54.91083	177.23383	-28.841465	197.28656	24.297382	243.59091	73.67214	123.971725	44.607395	232.41345	23.276543	123.971725	44.607395	232.41345	23.276543	4.9352283	5.9755697	22.154911	0.13593684	17358.809	11502.881	54016.01	541.7975	810.8012	1099.2421	4908.401	3.214308
6	6999	694.7503960132599	87.62645	105.99254	287.12558	-27.966284	118.625	393.25473	0.0	393.25473	393.25473	261.0	169.17337	49.435947	253.94691	-80.26505	22.328949	-1.0769023	3.1034403	18.550789	-11.8836975	-180.72269	0.66318434	0.053436186	0.75936145	0.5749811	-1.6799421	0.8307753	0.6241967	5.775772	1.1920929e-07	50.108315	49.848866	144.44162	-25.819777	69.08312	55.670315	169.46394	-24.601702	168.67471	46.430264	227.26297	-76.77673	99.59158	40.83982	196.7514	-75.54268	100.221054	39.269764	196.7514	1.8798066	3.7157917	4.3413115	19.67514	-7.554268	11586.373	7373.14	38711.113	3.5336728	476.71283	613.75616	3871.1113	0.24782735
7	7999	1024.4023387432098	95.66059	98.05237	312.7296	14.084963	137.25	270.26575	0.0	270.26575	270.26575	185.0	138.23674	48.918377	256.21326	-127.73866	18.722227	-0.53111	3.1549377	20.659313	-12.71077	-147.45312	0.5042999	0.03886079	0.57482255	0.44070885	-2.4142292	0.825774	0.6305663	5.5718174	5.5879354e-07	44.639885	45.45785	137.86299	-32.642857	42.181442	46.11776	133.15288	-41.48195	169.57884	41.61075	294.15143	25.529003	127.397385	49.567867	270.74692	17.478956	127.397385	49.567867	270.74692	17.478956	6.6137834	5.882804	24.468822	0.13621211	18687.068	12968.716	73303.89	305.5139	1015.3722	1057.6599	5987.2334	2.3808455
8	8999	1356.1349444389343	189.92351	134.68658	418.8634	17.075186	151.83333	98.83607	0.0	98.83607	98.83607	246.0	121.295525	43.311695	252.93234	-63.546394	17.932678	0.4426705	3.4203115	27.672508	-13.54147	-129.412	0.3947197	0.025551906	0.44060242	0.35038912	-2.3777094	0.8729756	0.6653187	5.8906984	1.9073486e-06	64.27225	48.747967	151.05182	-14.335946	60.127308	47.914486	147.08887	-18.907263	140.87396	40.07758	221.87186	-28.874659	80.74664	40.332672	172.68198	-26.774109	81.07206	39.674503	172.68198	0.48392203	3.189641	3.6851053	15.673241	-2.6774108	8146.745	6677.3955	29819.064	0.23418054	354.19125	483.08237	2456.5046	0.0017330841
9	9999	1695.2536346912384	145.38356	99.24706	363.43555	22.57169	113.888885	299.149	0.0	299.149	299.149	276.0	115.161674	42.27639	220.66292	-59.281807	16.631863	1.1227356	3.5116627	31.896011	-12.500738	-122.483734	0.3146841	0.018186102	0.35029766	0.2847981	-2.154192	0.8736895	0.67350954	5.8909454	1.8924475e-06	59.724445	41.50093	112.90086	-36.676434	49.43143	43.18854	114.6666	-43.01852	122.73603	33.525127	182.12093	-33.492752	73.30461	39.9828	200.27106	-25.493086	73.5031	39.616726	200.27106	0.48198768	2.7425942	3.5676172	17.067589	-2.5493085	6972.19	7400.274	40108.5	0.23231213	310.50143	498.85733	2913.026	0.0032406435
