Epoch	TotalEnvInteracts	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	TestEpLen	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	LossQ1	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	AverageAlpha	StdAlpha	MaxAlpha	MinAlpha	LossAlpha	AveragePreTanh	StdPreTanh	MaxPreTanh	MinPreTanh	AverageMCDisRet	StdMCDisRet	MaxMCDisRet	MinMCDisRet	AverageMCDisRetEnt	StdMCDisRetEnt	MaxMCDisRetEnt	MinMCDisRetEnt	AverageQPred	StdQPred	MaxQPred	MinQPred	AverageQBias	StdQBias	MaxQBias	MinQBias	AverageQBiasAbs	StdQBiasAbs	MaxQBiasAbs	MinQBiasAbs	AverageNormQBias	StdNormQBias	MaxNormQBias	MinNormQBias	AverageQBiasSqr	StdQBiasSqr	MaxQBiasSqr	MinQBiasSqr	AverageNormQBiasSqr	StdNormQBiasSqr	MaxNormQBiasSqr	MinNormQBiasSqr
0	999	5.604027986526489	-367.68796	0.0	-367.68796	-367.68796	1000.0	941.8482	0.0	941.8482	941.8482	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-75.86022	40.14643	8.119592	-127.698494	-73.27689	38.40701	9.022185	-134.51399	0.371847	0.15787259	1.0350503	0.023105009	73.648735	38.393948	134.57178	-8.640869	73.82848	38.04717	134.57178	0.020143807	0.93533844	0.2686298	1.0805436	-0.8640869	6898.232	4584.066	18109.562	0.00040577294	74.03568	38.343338	134.62958	4.057729e-05
1	1999	8.6145179271698	-356.03918	0.0	-356.03918	-356.03918	1000.0	941.8482	0.0	941.8482	941.8482	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-75.86022	40.14643	8.119592	-127.698494	-73.27689	38.40701	9.022185	-134.51399	0.371847	0.15787259	1.0350503	0.023105009	73.648735	38.393948	134.57178	-8.640869	73.82848	38.04717	134.57178	0.020143807	0.93533844	0.2686298	1.0805436	-0.8640869	6898.232	4584.066	18109.562	0.00040577294	74.03568	38.343338	134.62958	4.057729e-05
2	2999	11.571170806884766	-38.261307	35.421967	-0.37277994	-90.91909	122.75	968.2182	0.0	968.2182	968.2182	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-75.14271	37.724712	5.7071486	-137.1442	-73.23783	33.76632	7.1080203	-130.58472	0.36792567	0.16236739	0.88573074	-0.032320585	73.60576	33.761986	130.6879	-6.6247387	73.716286	33.51998	130.6879	0.033630002	0.9490935	0.23076062	1.066626	-0.66247386	6557.6797	4022.565	17079.328	0.0011309771	73.93696	33.82861	131.1178	0.0001130977
3	3999	13.445255517959595	-113.20493	136.01933	-10.052993	-345.55807	329.5	962.5341	0.0	962.5341	962.5341	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-30.481293	26.90954	6.0201645	-133.74387	-32.544094	30.025263	9.303277	-154.86172	0.38328657	0.17349014	1.0852046	-0.047215015	32.927376	30.027615	155.29478	-9.170631	33.03153	29.91301	155.29478	0.0077104894	0.878151	0.30479556	1.0687276	-0.9170631	1985.8699	3969.97	24116.469	5.945165e-05	32.979725	30.340368	155.72905	5.945165e-06
4	4999	15.924644470214844	-63.423237	84.381355	-0.89888966	-208.02568	115.0	965.55054	0.0	965.55054	965.55054	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-48.999466	36.889336	5.9083953	-108.095024	-48.81266	35.50248	10.462867	-106.77315	0.36660638	0.1737821	1.0881706	-0.057276454	49.179264	35.49217	107.165375	-10.072606	49.630947	34.85776	107.165375	0.018131666	0.88123226	0.3673857	1.0653304	-0.9777882	3678.2944	3739.0444	11484.417	0.00032875733	49.708908	35.2283	107.559044	3.2875734e-05
5	5999	237.37021565437317	-343.17996	0.0	-343.17996	-343.17996	1000.0	345.75122	0.0	345.75122	345.75122	1000.0	129.0234	56.36049	219.78523	-4.8678684	9.668832	-4.486599	1.6444737	16.660046	-12.329736	-134.51004	0.8642909	0.07282403	0.99970007	0.745946	-1.2365042	0.79385805	0.6095928	16.446432	8.2328916e-07	-46.501705	22.1435	4.665258	-86.18648	8.622144	20.884243	65.62785	-48.603703	188.40915	13.50989	224.34529	141.41287	179.787	25.334259	247.7358	103.17236	179.787	25.334259	247.7358	103.17236	11.490172	5.923358	21.49094	1.6556251	32965.188	9044.657	61373.023	10644.536	2141.0244	1217.0338	4618.605	173.82008
6	6999	460.1162705421448	-595.66656	0.0	-595.66656	-595.66656	1000.0	657.6114	0.0	657.6114	657.6114	1000.0	187.67789	18.82922	231.4947	-6.333001	12.232229	-4.147284	1.857587	13.865439	-12.535236	-192.14578	0.6465659	0.055188384	0.74573267	0.55491364	-3.5885847	0.80175394	0.60673785	5.384096	4.4703484e-08	-40.110813	32.754932	10.455078	-103.11257	13.210975	24.983007	65.008575	-39.80938	165.77641	7.6755137	186.42558	134.64014	152.56543	25.461336	216.29901	86.623955	152.56543	25.461336	216.29901	86.623955	10.006418	5.6933517	18.865492	1.4380589	23924.492	7627.377	46785.26	7503.709	1631.9713	1018.4973	3559.0676	124.57034
7	7999	683.1747436523438	-285.3965	276.3911	-9.005395	-561.78766	527.5	319.85773	0.0	319.85773	319.85773	1000.0	140.3511	19.0221	188.38403	-11.975733	6.9931397	-4.3947973	1.6009641	16.532045	-13.359795	-143.45741	0.47849917	0.04192336	0.554746	0.40962717	-6.2197824	0.7340703	0.55708724	5.236796	2.9802322e-08	-20.602024	15.094081	13.257346	-48.00088	42.190945	22.297039	81.76938	-20.591663	109.54164	7.8293033	136.2305	73.62192	67.3507	24.143589	134.91759	19.691187	67.3507	24.143589	134.91759	19.691187	2.8339677	3.2484496	12.52435	0.28224573	5119.0293	3549.3225	18202.756	387.74283	258.26376	366.86746	1568.5935	5.557753
8	8999	907.2904303073883	-410.30508	0.0	-410.30508	-410.30508	1000.0	881.37854	0.0	881.37854	881.37854	1000.0	94.79094	13.182241	135.2246	-8.062004	3.6152034	-4.4385176	1.4314713	12.732288	-13.049664	-97.05344	0.35340148	0.030791052	0.40950334	0.30288228	-8.805316	0.6655896	0.5062518	4.691777	1.1920929e-07	-18.842876	12.97063	22.836714	-52.787357	55.90798	21.923115	89.28462	-10.569063	75.65093	6.1538405	90.94596	47.835	19.742949	19.533	84.19749	-24.338251	21.30857	17.811993	84.19749	0.05136901	0.8853902	1.7440188	8.419748	-0.27549624	771.32214	1278.968	7089.217	0.0026387752	47.179806	120.094536	708.9217	3.5027064e-05
9	9999	1129.8031330108643	-74.56095	114.55082	16.696943	-268.2673	401.0	818.3914	0.0	818.3914	818.3914	1000.0	64.202225	9.4156475	97.36791	-5.9208136	2.2260044	-4.219786	1.4160553	10.712768	-14.346479	-65.94604	0.26200572	0.02234489	0.30279163	0.22547574	-11.026264	0.5953248	0.45481333	4.3436265	8.046627e-07	-0.860657	12.380001	25.785759	-27.673609	62.41584	29.186728	105.68022	-4.1106043	50.55435	5.992359	69.510765	19.544092	-11.861494	28.224775	54.814785	-50.700253	28.381496	11.481454	54.814785	1.2147259	0.28071293	1.2868907	5.4814787	-0.5786906	937.33307	656.82947	3004.6606	1.4755589	27.14268	49.00515	300.46606	0.034646176
