Epoch	TotalEnvInteracts	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	TestEpLen	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	LossQ1	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	AverageAlpha	StdAlpha	MaxAlpha	MinAlpha	LossAlpha	AveragePreTanh	StdPreTanh	MaxPreTanh	MinPreTanh	AverageMCDisRet	StdMCDisRet	MaxMCDisRet	MinMCDisRet	AverageMCDisRetEnt	StdMCDisRetEnt	MaxMCDisRetEnt	MinMCDisRetEnt	AverageQPred	StdQPred	MaxQPred	MinQPred	AverageQBias	StdQBias	MaxQBias	MinQBias	AverageQBiasAbs	StdQBiasAbs	MaxQBiasAbs	MinQBiasAbs	AverageNormQBias	StdNormQBias	MaxNormQBias	MinNormQBias	AverageQBiasSqr	StdQBiasSqr	MaxQBiasSqr	MinQBiasSqr	AverageNormQBiasSqr	StdNormQBiasSqr	MaxNormQBiasSqr	MinNormQBiasSqr
0	999	5.769368648529053	1.0747212	5.7600102	18.986414	-7.0221887	19.431372	-2.2483742	0.0	-2.2483742	-2.2483742	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-2.0689306	3.0240288	9.623209	-9.949541	-16.754602	9.472982	1.1528026	-38.128765	-0.09229891	0.32701308	1.2605422	-0.8700165	16.662304	9.532533	38.206978	-1.4128553	16.683353	9.495646	38.206978	0.009472745	0.8498859	0.2980398	1.0794313	-0.14128552	368.5016	339.8106	1459.7732	8.973288e-05	16.258667	9.995366	38.302334	8.9732885e-06
1	1999	7.226215600967407	1.0942866	5.904872	24.766956	-7.2205453	19.62745	-2.2483742	0.0	-2.2483742	-2.2483742	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-2.0689306	3.0240288	9.623209	-9.949541	-16.754602	9.472982	1.1528026	-38.128765	-0.09229891	0.32701308	1.2605422	-0.8700165	16.662304	9.532533	38.206978	-1.4128553	16.683353	9.495646	38.206978	0.009472745	0.8498859	0.2980398	1.0794313	-0.14128552	368.5016	339.8106	1459.7732	8.973288e-05	16.258667	9.995366	38.302334	8.9732885e-06
2	2999	8.665574789047241	3.1628726	6.1479716	23.34993	-6.1885276	22.066668	-1.7566769	0.0	-1.7566769	-1.7566769	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-2.3324313	3.0509214	8.68414	-11.590904	-15.696437	9.973946	0.977803	-50.6593	-0.054528937	0.34870175	1.0219187	-0.8334861	15.641907	10.032389	50.604202	-1.2727891	15.666193	9.994419	50.604202	0.00020730124	0.8319064	0.31412148	1.081634	-0.12727891	345.31808	409.72324	2560.7854	4.2973806e-08	15.231223	10.485755	50.549168	4.2973802e-09
3	3999	10.133299112319946	1.7894425	6.4324756	23.535067	-8.250434	20.469387	-2.2719178	0.0	-2.2719178	-2.2719178	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-2.3700352	3.275255	8.838656	-13.280411	-18.641794	13.81384	2.6584308	-68.006134	-0.06312311	0.34015077	1.0745368	-0.9300769	18.57867	13.892696	68.45472	-2.730014	18.619617	13.837766	68.45472	0.0067851325	0.8384816	0.31030753	1.0694984	-0.2730014	538.17395	774.6388	4686.0483	4.603802e-05	18.189297	14.305694	69.3657	4.603802e-06
4	4999	11.513832092285156	1.9083222	4.7744718	16.023567	-6.594816	22.977272	-1.7019083	0.0	-1.7019083	-1.7019083	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-2.4759924	3.1378465	9.8743515	-10.03651	-17.038267	9.661676	0.54194075	-49.898487	-0.02232254	0.3404221	1.0228914	-0.7969574	17.015942	9.736273	50.403606	-0.9731071	17.027859	9.715416	50.403606	0.0017391811	0.862025	0.29142386	1.0676801	-0.09731071	384.33728	371.69025	2540.5234	3.0247509e-06	16.687675	10.217514	50.913837	3.024751e-07
5	5999	211.22845149040222	-6.176996	21.760954	26.40421	-43.39728	102.888885	344.02554	0.0	344.02554	344.02554	218.0	108.26646	63.00339	199.95276	-19.715267	18.743004	-2.2258017	2.6179059	33.008232	-14.8757105	-117.4427	0.87133497	0.070892364	1.0010809	0.75437295	-0.7124275	0.8030111	0.6249268	24.637417	1.6391277e-07	-8.906891	17.902885	47.740147	-34.823853	18.517607	30.364233	101.908424	-19.964722	138.94003	73.45725	200.20218	-13.835854	120.42243	58.594803	191.3981	-12.286997	120.86811	57.669846	191.3981	0.02365195	7.1351023	6.1388607	19.13981	-1.2286997	17934.91	11081.555	36633.23	0.00055941474	1096.6152	1097.5863	3663.3232	4.804838e-05
6	6999	409.8800778388977	39.744457	45.741333	103.201385	-27.326706	160.83333	276.5691	0.0	276.5691	276.5691	153.0	177.37148	61.69714	216.62953	-25.1563	30.205727	-1.506631	3.3837376	28.35624	-12.580464	-188.82448	0.6582162	0.052095592	0.7541626	0.5739374	-1.8748556	0.8111984	0.6181335	5.917872	1.2516975e-06	59.093246	46.30179	122.40936	-18.462688	92.5259	53.795273	166.39938	-8.862387	193.14801	40.337204	213.00574	-11.040789	100.622116	44.82441	205.64282	-5.7956963	100.66468	44.728733	205.64282	0.42960617	2.8456807	4.5091457	20.564281	-0.57956964	12134.037	9533.771	42288.97	0.18456145	421.5345	788.9316	4228.897	0.018456146
7	7999	598.3590395450592	232.48608	148.10437	474.72443	44.276432	204.2	452.75906	0.0	452.75906	452.75906	264.0	162.97586	59.556133	213.258	-26.570848	18.653261	-0.74443716	3.707239	30.597427	-12.975967	-172.69029	0.5048757	0.037425157	0.57378346	0.44338813	-2.5500035	0.8134122	0.6317019	6.435693	3.874302e-07	96.56887	47.577137	159.6944	-12.462823	124.901184	58.6086	190.90878	-8.355775	193.72565	25.580816	211.18643	-9.66995	68.82448	52.079487	196.39563	-2.357074	68.82967	52.07262	196.39563	0.2563365	1.9712889	4.0276933	19.639563	-0.2357074	7449.0806	9772.317	38571.242	0.06570841	291.53842	685.9984	3857.1243	0.006570841
8	8999	784.1875290870667	320.49756	116.07672	463.59787	144.82964	234.5	137.89522	0.0	137.89522	137.89522	189.0	163.77151	50.971336	284.87863	-27.280174	14.45533	-0.07182961	3.639607	34.84149	-12.782261	-172.5754	0.39258623	0.028331399	0.44327667	0.34615475	-2.868398	0.84304494	0.6511493	7.9521093	2.9802322e-08	80.67648	46.944782	138.81674	-16.68807	98.18463	54.37328	159.14601	-27.520077	195.94589	34.03988	287.9684	38.082447	97.76128	56.113823	284.18857	4.147909	97.76128	56.113823	284.18857	4.147909	2.7947817	4.661155	28.418858	0.027384631	12706.028	14316.1045	80763.15	17.205153	456.26138	967.78094	8076.3145	0.11358897
9	9999	968.6137158870697	311.91962	80.03082	406.68127	173.9358	212.0	427.61737	0.0	427.61737	427.61737	235.0	172.7035	52.69453	385.9707	-39.291824	23.949066	0.4463125	4.267432	38.241795	-12.918533	-181.00424	0.30683178	0.02183054	0.34607112	0.27168193	-3.009691	0.8632494	0.69465685	8.383747	7.1525574e-07	92.515434	42.19341	160.69566	1.4129103	68.65412	42.48347	145.36438	-9.053401	232.08734	66.24736	358.2583	-16.721975	163.43323	81.87471	344.39642	-15.3259115	163.47974	81.7818	344.39642	4.204348	5.3555894	7.1182694	34.439644	-1.5325911	33413.887	31586.72	118608.91	17.676542	1268.4486	2167.3318	11860.891	1.7676542
