Epoch	TotalEnvInteracts	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	TestEpLen	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	LossQ1	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	AverageAlpha	StdAlpha	MaxAlpha	MinAlpha	LossAlpha	AveragePreTanh	StdPreTanh	MaxPreTanh	MinPreTanh	AverageMCDisRet	StdMCDisRet	MaxMCDisRet	MinMCDisRet	AverageMCDisRetEnt	StdMCDisRetEnt	MaxMCDisRetEnt	MinMCDisRetEnt	AverageQPred	StdQPred	MaxQPred	MinQPred	AverageQBias	StdQBias	MaxQBias	MinQBias	AverageQBiasAbs	StdQBiasAbs	MaxQBiasAbs	MinQBiasAbs	AverageNormQBias	StdNormQBias	MaxNormQBias	MinNormQBias	AverageQBiasSqr	StdQBiasSqr	MaxQBiasSqr	MinQBiasSqr	AverageNormQBiasSqr	StdNormQBiasSqr	MaxNormQBiasSqr	MinNormQBiasSqr
0	999	29.413005113601685	-380.24023	0.0	-380.24023	-380.24023	1000.0	940.92804	0.0	940.92804	940.92804	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-73.99476	37.35422	8.119592	-127.1103	-72.70882	36.723648	9.022185	-135.256	-0.079578675	0.23721078	0.52787995	-1.1102213	72.629234	36.722073	135.23235	-9.163639	72.824646	36.333	135.23235	0.06371801	0.9287404	0.26763597	1.0374571	-0.9163639	6623.5166	4265.3945	18287.79	0.004059985	72.62538	36.561638	135.20871	0.0004059985
1	1999	49.92739152908325	-358.08673	0.0	-358.08673	-358.08673	1000.0	940.92804	0.0	940.92804	940.92804	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-73.99476	37.35422	8.119592	-127.1103	-72.70882	36.723648	9.022185	-135.256	-0.079512246	0.23676193	0.5268135	-1.1081171	72.62931	36.72208	135.23238	-9.163482	72.824715	36.333008	135.23238	0.0638919	0.9287421	0.2676335	1.037384	-0.9163482	6623.5264	4265.401	18287.797	0.004082175	72.625496	36.561672	135.20877	0.0004082175
2	2999	72.35675930976868	-14.571307	35.704567	23.749765	-108.24556	90.2	968.2182	0.0	968.2182	968.2182	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-81.04612	33.587357	4.804327	-130.44405	-79.555115	33.614456	4.900547	-133.28316	-0.07178569	0.24046296	0.6944462	-1.0163271	79.48332	33.61599	133.30765	-4.509948	79.5324	33.499706	133.30765	0.10992614	0.95354235	0.18581617	1.0293584	-0.4509948	7447.634	4113.63	17770.928	0.012083757	79.33014	33.796257	133.33214	0.0012083757
3	3999	85.58568263053894	-21.863068	37.32198	4.467001	-85.877014	84.0	962.7255	0.0	962.7255	962.7255	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-30.47871	26.906551	6.0201364	-133.72806	-32.541027	30.021725	9.303277	-154.84312	-0.08690636	0.23931098	0.70991	-1.1785127	32.454124	30.023739	154.78311	-9.046653	32.588882	29.87741	154.78311	0.0057438198	0.85458463	0.3155322	1.0386744	-0.90466523	1954.695	3944.6245	23957.81	3.2991466e-05	32.164227	30.202688	155.0782	3.2991466e-06
4	4999	102.33606028556824	-114.89539	140.84811	-5.842436	-354.56287	296.75	965.9754	0.0	965.9754	965.9754	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-53.87928	38.399048	5.9083953	-111.38064	-53.04386	36.507057	10.301419	-106.24153	-0.0841518	0.2358654	0.6406144	-1.1863691	52.959713	36.50682	105.88285	-10.374968	53.42854	35.817184	105.88285	0.03645577	0.86158043	0.37356302	1.0312514	-1.0181234	4137.4795	3879.3997	11211.179	0.001329023	53.111324	36.141403	105.931854	0.0001329023
5	5999	481.17903423309326	-372.96393	0.0	-372.96393	-372.96393	1000.0	45.79077	0.0	45.79077	45.79077	99.0	152.26659	69.62694	255.1251	-6.6689262	16.229013	-4.3539305	1.6846731	17.43866	-13.424677	-157.80788	0.86476386	0.07262632	0.99970007	0.7469708	-1.208634	0.7628586	0.58435535	17.52535	5.9604645e-07	-49.528004	21.000534	3.642951	-82.84235	5.603355	15.917644	36.773315	-35.116882	235.03528	10.170631	257.6878	151.95676	229.43193	19.82472	279.64154	156.25392	229.43193	19.82472	279.64154	156.25392	16.834593	6.425211	26.31163	5.0103593	53032.03	9031.543	78199.38	24415.291	3925.3608	1618.8982	6923.019	820.0824
6	6999	866.3150341510773	-210.84187	218.08638	2.7474253	-565.193	382.75	441.1845	0.0	441.1845	441.1845	1000.0	223.20566	18.356756	259.59216	-8.444368	8.19409	-3.695837	2.141477	19.35773	-13.467198	-228.34103	0.6493686	0.05413923	0.74675983	0.55980134	-3.3451285	0.7599009	0.57863224	5.405118	2.0861626e-06	-33.157333	13.646313	-0.87406176	-64.63196	24.43244	14.393591	59.083153	-15.849396	203.03279	14.485156	231.50215	127.921844	178.60037	15.360454	216.88751	107.45803	178.60037	15.360454	216.88751	107.45803	9.12257	5.2472568	21.688751	2.30897	32134.031	5273.946	47040.19	11547.229	1666.7019	1024.678	4704.019	250.40004
7	7999	1259.7521827220917	-39.802216	33.040443	-1.9524361	-92.86379	109.75	381.40393	0.0	381.40393	381.40393	1000.0	179.80908	21.030699	226.56294	-8.239979	9.016102	-3.101385	2.2298012	16.903996	-15.876725	-184.13362	0.4875696	0.03938351	0.55963993	0.42291656	-5.102938	0.698837	0.53464586	4.8250017	3.5762787e-07	-31.799168	14.031903	0.007029891	-75.083984	14.759908	17.844099	52.35535	-17.287582	155.36705	10.049915	176.43463	91.51332	140.60715	16.179827	178.25005	92.21189	140.60715	16.179827	178.25005	92.21189	9.86436	5.2803845	17.331293	2.1342404	20032.156	4538.6577	31773.078	8503.032	1457.0027	870.402	3003.7373	226.53238
8	8999	1640.7191307544708	-87.89286	142.03053	20.533558	-368.4367	292.2	79.98476	0.0	79.98476	79.98476	399.0	140.96399	17.378033	178.6199	-7.153851	5.1165934	-2.7896464	2.2474074	18.152393	-14.5788	-144.45413	0.3680566	0.030444315	0.4227982	0.31779075	-6.8048954	0.65416956	0.5037637	4.723029	1.4156103e-07	-13.040101	14.37	17.281403	-50.05872	14.700179	13.053333	41.877117	-15.083581	117.017555	8.165828	131.15918	17.017296	102.317375	13.811194	141.19434	17.496181	102.317375	13.811194	141.19434	17.496181	7.3865204	3.7097847	13.220314	1.6794534	10659.595	2789.0918	19935.842	306.11636	800.5247	470.2778	1782.4255	30.611635
9	9999	2034.8063414096832	-23.5163	47.983154	29.46269	-99.62822	201.8	661.21686	0.0	661.21686	661.21686	1000.0	101.715034	15.725219	140.44495	-7.4188323	4.3536773	-2.1682615	2.2683635	17.918465	-17.624134	-104.67086	0.27734718	0.02201515	0.31770095	0.24138238	-7.9067364	0.6049711	0.46754065	4.506622	6.92904e-07	-1.3127372	7.362302	20.130589	-31.174456	33.752106	19.15039	60.42986	-10.551377	92.26422	8.90887	109.009155	-5.0403576	58.512115	18.102802	109.39271	-3.2669792	58.51702	18.08695	109.39271	3.2669792	2.9097135	2.9915056	10.900739	-0.32669792	3751.3796	2315.9385	11966.764	10.673153	219.15712	281.44	1188.261	1.0673153
