Epoch	TotalEnvInteracts	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	TestEpLen	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	LossQ1	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	AverageAlpha	StdAlpha	MaxAlpha	MinAlpha	LossAlpha	AveragePreTanh	StdPreTanh	MaxPreTanh	MinPreTanh	AverageMCDisRet	StdMCDisRet	MaxMCDisRet	MinMCDisRet	AverageMCDisRetEnt	StdMCDisRetEnt	MaxMCDisRetEnt	MinMCDisRetEnt	AverageQPred	StdQPred	MaxQPred	MinQPred	AverageQBias	StdQBias	MaxQBias	MinQBias	AverageQBiasAbs	StdQBiasAbs	MaxQBiasAbs	MinQBiasAbs	AverageNormQBias	StdNormQBias	MaxNormQBias	MinNormQBias	AverageQBiasSqr	StdQBiasSqr	MaxQBiasSqr	MinQBiasSqr	AverageNormQBiasSqr	StdNormQBiasSqr	MaxNormQBiasSqr	MinNormQBiasSqr
0	999	15.39592170715332	22.293045	23.317293	132.62253	5.2394886	24.625	60.34344	0.0	60.34344	60.34344	53.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.096712	5.535892	27.360485	-2.5761926	10.059441	7.585509	36.065235	-0.9156942	0.009748735	0.035171185	0.099477746	-0.12866113	-10.049692	7.5858088	1.002498	-36.069637	10.061951	7.56954	36.069637	0.014999996	-0.69061977	0.35094285	0.100249805	-1.0071068	158.54079	207.09332	1301.0189	0.0002249999	9.143098	8.244936	36.074043	2.249999e-05
1	1999	22.03499746322632	20.814556	20.167421	124.153015	5.428253	23.5	60.34344	0.0	60.34344	60.34344	53.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.096712	5.535892	27.360485	-2.5761926	10.059441	7.585509	36.065235	-0.9156942	0.009780718	0.03514755	0.0994506	-0.12853196	-10.04966	7.585814	1.0024629	-36.069603	10.06192	7.5695443	36.069603	0.01501014	-0.690617	0.3509439	0.10024628	-1.0070965	158.54024	207.09299	1301.0162	0.0002253043	9.143059	8.244923	36.07397	2.253043e-05
2	2999	28.576454877853394	17.460537	16.582548	105.42657	5.3510084	20.979591	59.399616	0.0	59.399616	59.399616	53.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.233373	8.929823	41.937675	-3.47486	11.577597	11.154159	53.84074	-1.2010777	0.008586171	0.036366098	0.11322056	-0.15377514	-11.569011	11.157715	1.2397009	-53.869762	11.590458	11.135435	53.869762	0.0017163542	-0.676717	0.3640336	0.12397009	-1.0067596	258.3366	481.35855	2901.9514	2.9458718e-06	10.705821	11.711615	53.898804	2.9458718e-07
3	3999	35.05570316314697	17.077888	8.235182	38.263966	5.8786683	22.044445	59.796833	0.0	59.796833	59.796833	53.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.046069	10.344884	58.180862	-0.5064567	12.620604	12.953299	71.834915	-0.72630024	0.010119505	0.036470752	0.123780385	-0.1340792	-12.610485	12.9557085	0.6779802	-71.85502	12.615066	12.951248	71.85502	0.02414786	-0.69742775	0.35136372	0.06779802	-1.0063032	326.87473	733.9819	5163.144	0.00058311917	11.733473	13.508446	71.87514	5.8311914e-05
4	4999	41.57323241233826	22.184013	22.71988	109.465385	6.3513336	23.47619	60.312557	0.0	60.312557	60.312557	54.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.693829	9.1059	39.994812	-2.6318586	13.355648	11.939544	52.037384	-1.4091913	0.009107904	0.03490857	0.11266193	-0.12024984	-13.34654	11.939049	1.45722	-51.990433	13.37435	11.907887	51.990433	0.00056620815	-0.7176459	0.35354063	0.14572199	-1.0065048	320.671	510.72592	2703.0051	3.2059168e-07	12.568083	12.511234	51.943527	3.2059166e-08
5	5999	446.6940088272095	132.75497	90.033485	317.73242	45.465137	69.21429	233.06415	0.0	233.06415	233.06415	101.0	116.304596	69.94244	248.68208	-90.06164	117.53339	0.030346597	2.3573203	14.545119	-10.978166	-124.15529	0.9153155	0.03796289	0.99970007	0.8534929	-0.061527316	1.021517	0.6865246	5.5511584	2.9802322e-07	100.81812	41.330982	148.18109	2.585609	109.54089	45.391205	164.44507	2.585609	199.42064	34.104984	250.42365	105.40413	89.87976	25.039715	168.3534	30.905275	89.87976	25.039715	168.3534	30.905275	1.5867788	2.438678	15.811339	0.21054365	8705.358	4987.1436	28342.865	955.1361	179.9706	328.65634	2499.9846	6.5069094
6	6999	844.7243413925171	251.31569	27.451385	297.98193	212.31638	120.625	323.14	0.0	323.14	323.14	172.0	228.47856	61.136612	286.1828	-99.00473	236.99759	0.29056907	2.8783758	17.59438	-10.113119	-240.06529	0.7680538	0.054040138	0.8533437	0.67115796	-0.19528595	1.0352467	0.7486777	6.0308304	2.026558e-06	101.446396	35.853336	143.0169	2.2103052	112.5485	41.193657	160.7935	2.2103052	234.65752	50.552498	281.37036	20.670006	122.109	26.94426	176.08943	18.459702	122.109	26.94426	176.08943	18.459702	1.4403999	1.1654906	10.421821	0.4085022	15636.6045	6332.6494	31007.486	340.76056	174.80779	128.75586	1086.1434	24.261246
7	7999	1245.6816432476044	302.58792	24.397226	336.07043	254.4195	167.83333	287.0107	0.0	287.0107	287.0107	143.0	231.55872	68.411354	298.98795	-117.91753	145.13591	0.4602971	2.7940838	17.167908	-10.1107235	-242.28682	0.60471374	0.034234658	0.67097425	0.5416324	-0.27048853	1.0159097	0.7526395	6.4206276	4.5895576e-06	103.97982	41.49133	156.9661	1.9419308	110.36124	44.89896	165.6386	1.9419308	210.17758	74.09989	281.40204	-98.48419	99.81634	37.430676	152.21587	-107.412	103.25918	26.49338	152.21587	3.1409574	1.083866	1.2414639	8.003433	-10.7412	11364.357	4705.0254	23169.672	9.865614	119.123535	84.410835	1153.7339	0.12451687
8	8999	1647.8169956207275	292.85306	47.52786	349.73807	204.21301	159.16667	375.29077	0.0	375.29077	375.29077	186.0	202.01822	67.58616	282.54904	-99.278	75.60627	0.21116601	2.6919696	20.245697	-10.111309	-210.50012	0.4613574	0.044202723	0.54147613	0.39225873	-0.6134963	0.90630984	0.7274499	6.6567802	7.1525574e-07	119.92749	45.251003	164.99202	1.1696599	119.07348	45.29199	169.40305	1.1696599	150.07053	76.24297	239.95343	-80.56527	30.997053	55.014145	217.7986	-90.85039	46.017338	43.240932	217.7986	0.008682181	0.5035142	2.9462533	21.77986	-8.506221	3987.3738	8254.308	47436.227	7.538027e-05	134.36458	585.53784	4743.6226	7.4809054e-07
9	9999	2043.511800289154	340.82697	136.46175	541.51135	166.67139	250.0	382.2255	0.0	382.2255	382.2255	209.0	181.55937	52.311554	241.3376	-56.015736	41.053196	0.5288403	2.6507325	21.183321	-11.33922	-188.85304	0.3564261	0.020441901	0.39215952	0.3176455	-0.4889132	0.91390204	0.7253822	6.8062387	2.3841858e-07	113.65844	36.950356	157.84735	2.867521	119.99584	40.20094	167.0684	2.867521	183.93393	32.172752	217.5038	23.173456	63.938095	23.239033	121.902176	20.305935	63.938095	23.239033	121.902176	20.305935	0.78684	0.81268466	6.154641	0.1324356	4628.1323	3424.5554	14860.141	412.331	59.200867	68.90977	378.79605	2.8120582
