Epoch	TotalEnvInteracts	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	TestEpLen	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	LossQ1	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	AverageAlpha	StdAlpha	MaxAlpha	MinAlpha	LossAlpha	AveragePreTanh	StdPreTanh	MaxPreTanh	MinPreTanh	AverageMCDisRet	StdMCDisRet	MaxMCDisRet	MinMCDisRet	AverageMCDisRetEnt	StdMCDisRetEnt	MaxMCDisRetEnt	MinMCDisRetEnt	AverageQPred	StdQPred	MaxQPred	MinQPred	AverageQBias	StdQBias	MaxQBias	MinQBias	AverageQBiasAbs	StdQBiasAbs	MaxQBiasAbs	MinQBiasAbs	AverageNormQBias	StdNormQBias	MaxNormQBias	MinNormQBias	AverageQBiasSqr	StdQBiasSqr	MaxQBiasSqr	MinQBiasSqr	AverageNormQBiasSqr	StdNormQBiasSqr	MaxNormQBiasSqr	MinNormQBiasSqr
0	999	17.333000659942627	120.9081	32.29719	216.34543	83.19537	24.170732	107.70396	0.0	107.70396	107.70396	22.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	75.58841	42.927334	211.46869	3.7759414	-461.67886	290.13565	6.1919827	-1306.7687	-3.3398793	2.978259	3.6671987	-10.455489	458.339	290.67114	1306.4701	-14.743212	458.9272	289.74158	1306.4701	3.5171692	0.9215209	0.33995306	1.0580727	-1.4743211	294564.38	308934.38	1706864.1	12.370479	455.8038	290.03235	1306.1716	1.2370479
1	1999	24.828392267227173	119.15225	31.674957	216.05151	78.76896	24.02381	107.70396	0.0	107.70396	107.70396	22.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	75.58841	42.927334	211.46869	3.7759414	-461.67886	290.13565	6.1919827	-1306.7687	-3.3349724	2.9740005	3.6624393	-10.440551	458.34387	290.67035	1306.4706	-14.729868	458.93173	289.74133	1306.4706	3.518862	0.9215633	0.33984503	1.058005	-1.4729867	294568.38	308936.66	1706865.2	12.382389	455.81256	290.03207	1306.1725	1.2382389
2	2999	32.6389377117157	118.352844	30.781944	223.01996	83.474915	23.619047	112.74596	0.0	112.74596	112.74596	23.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	74.96669	43.413193	197.28943	4.0184894	-468.3496	298.59723	5.8794103	-1339.8535	-3.517538	3.029837	3.4506247	-10.364048	464.83206	298.96442	1339.5475	-14.629012	465.43295	298.02805	1339.5475	2.7488413	0.9193101	0.34420842	1.0457263	-1.4629012	305448.53	325120.25	1794387.5	7.5561285	462.1626	298.11053	1339.2416	0.75561285
3	3999	40.11091113090515	112.997536	29.20088	210.18936	83.286	22.522728	102.28285	0.0	102.28285	102.28285	21.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	77.04491	43.788708	192.95418	3.8221638	-481.0904	308.20996	6.1213126	-1281.7	-3.4657395	3.0183775	5.5152864	-10.436105	477.6247	308.6307	1281.3918	-12.918112	478.2168	307.71246	1281.3918	4.4588923	0.9205831	0.34057507	1.0253363	-1.2918111	323378.28	341462.5	1641965.2	19.881721	475.00275	307.8382	1281.084	1.988172
4	4999	47.43113994598389	119.03293	33.708797	232.08597	83.30822	23.651163	112.48796	0.0	112.48796	112.48796	23.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	79.36693	45.43891	213.22894	4.1014323	-493.37683	306.42114	6.170279	-1268.0436	-3.6830814	2.999569	3.9061942	-10.393618	489.69376	306.7694	1267.7432	-12.82319	490.2185	305.93015	1267.7432	4.25524	0.92716676	0.32197285	1.0562422	-1.282319	333907.44	339159.97	1607172.9	18.107065	486.7247	306.07697	1267.443	1.8107065
5	5999	432.26367688179016	190.65823	117.75634	372.1723	77.773834	36.185184	324.87772	0.0	324.87772	324.87772	59.0	235.1286	234.13326	633.38715	-230.86201	165.78488	-2.113236	14.455992	206.76251	-20.660135	-253.34465	0.96652967	0.036418002	1.0135868	0.89655566	-0.26331913	0.9840702	1.1051844	44.544	2.682209e-07	140.34572	70.52094	283.3528	5.225771	182.40358	94.11435	378.79483	5.225771	406.4075	167.94978	642.0009	-138.73448	224.00392	93.15854	390.33304	-150.75706	226.46266	87.01107	390.33304	1.6715633	1.5167804	1.9095744	20.307308	-14.531501	58856.26	36101.863	152359.89	2.7941236	374.6334	358.74084	4123.8677	0.051149383
6	6999	820.053432226181	328.5169	80.170746	485.73154	200.3453	63.6875	301.81256	0.0	301.81256	301.81256	57.0	367.4053	182.95119	628.5923	-130.0681	45.832832	-4.6201797	4.808644	20.226406	-22.563986	-392.8712	0.81111497	0.049567103	0.89638835	0.7255942	-1.3843443	0.8846941	0.66563684	5.357691	2.9802322e-07	161.13129	82.82494	344.42834	4.1312714	205.55568	108.368126	445.5481	4.1312714	362.72064	147.2717	605.0077	-174.58774	157.16498	89.81849	458.70245	-180.31718	160.02419	84.61944	458.70245	0.073829785	1.3151459	3.2974315	45.870247	-18.03172	32768.188	29838.174	210407.94	0.005450837	343.1777	1149.3949	21040.795	5.4363427e-05
7	7999	1202.3371000289917	441.1744	68.84354	549.996	340.97058	86.545456	366.0566	0.0	366.0566	366.0566	68.0	330.09634	168.54291	599.2966	-100.58814	36.21612	-3.9989495	4.902887	20.995216	-20.634998	-351.2035	0.64494914	0.045578327	0.72543097	0.5683303	-2.6341188	0.89836	0.67215985	5.804376	1.1920929e-07	176.83157	91.24299	361.07153	3.7896576	219.00465	117.61417	461.7655	3.7896576	334.09232	140.42719	554.8872	-102.465294	115.08766	73.256676	329.58508	-108.29552	117.94475	68.562004	329.58508	0.19409965	0.8653436	2.0490296	21.597395	-10.829552	18611.709	19683.162	108626.336	0.037674673	161.20724	389.99072	4664.4746	0.0006882834
8	8999	1581.5712571144104	413.1305	116.68035	757.1641	281.48166	80.84615	494.7328	0.0	494.7328	494.7328	94.0	291.80066	151.95811	563.2582	-106.31834	32.65767	-3.1412601	5.1804705	23.810066	-21.70667	-308.66913	0.50323355	0.03578799	0.5681847	0.4438112	-3.5228086	0.91758525	0.6817307	5.4564238	1.1920929e-07	162.33511	84.56669	368.2021	3.897319	192.31291	104.63362	459.45877	3.897319	281.40427	117.976715	487.74982	-65.458435	89.09137	64.68899	250.65063	-110.64963	96.108025	53.71392	250.65063	0.713544	0.79123825	1.4863608	18.172762	-6.9758844	12121.937	11428.449	62825.74	0.509145	106.79235	228.81313	3302.4927	0.0016197128
9	9999	1964.0684633255005	383.44797	103.23186	667.0127	265.21613	74.92308	262.44568	0.0	262.44568	262.44568	52.0	253.97722	132.36444	499.45346	-68.258	28.01554	-2.3669517	5.2541814	25.419489	-20.883015	-267.7216	0.39338103	0.028021496	0.4436982	0.34635448	-4.0742	0.93386185	0.6947018	5.519861	0.0	139.09967	71.335526	278.67365	3.5796876	153.54982	85.662254	327.32376	3.3048513	238.51843	118.673965	435.75586	-91.34027	84.96862	51.327496	248.24763	-97.356285	88.59973	44.76904	248.24763	0.61527175	0.74618703	1.4389975	10.927432	-9.735629	9854.178	8863.903	61626.887	0.37855932	91.13772	146.65051	1194.0876	0.0035762233
