Epoch	TotalEnvInteracts	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	TestEpLen	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	LossQ1	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	AverageAlpha	StdAlpha	MaxAlpha	MinAlpha	LossAlpha	AveragePreTanh	StdPreTanh	MaxPreTanh	MinPreTanh	AverageMCDisRet	StdMCDisRet	MaxMCDisRet	MinMCDisRet	AverageMCDisRetEnt	StdMCDisRetEnt	MaxMCDisRetEnt	MinMCDisRetEnt	AverageQPred	StdQPred	MaxQPred	MinQPred	AverageQBias	StdQBias	MaxQBias	MinQBias	AverageQBiasAbs	StdQBiasAbs	MaxQBiasAbs	MinQBiasAbs	AverageNormQBias	StdNormQBias	MaxNormQBias	MinNormQBias	AverageQBiasSqr	StdQBiasSqr	MaxQBiasSqr	MinQBiasSqr	AverageNormQBiasSqr	StdNormQBiasSqr	MaxNormQBiasSqr	MinNormQBiasSqr
0	999	15.559719800949097	1.0747212	5.7600102	18.986414	-7.0221887	19.431372	-2.2483742	0.0	-2.2483742	-2.2483742	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-2.0689306	3.0240288	9.623209	-9.949541	-16.754602	9.472982	1.1528026	-38.128765	0.060510132	0.20993961	0.83678627	-0.74808156	16.815115	9.478579	38.310745	-0.82692903	16.82277	9.464988	38.310745	0.017278459	0.861037	0.29286286	1.0550271	-0.082692906	372.59152	339.84338	1467.7134	0.00029854517	16.500237	9.974969	38.68216	2.9854516e-05
1	1999	22.369067668914795	1.0942866	5.904872	24.766956	-7.2205453	19.62745	-2.2483742	0.0	-2.2483742	-2.2483742	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-2.0689306	3.0240288	9.623209	-9.949541	-16.754602	9.472982	1.1528026	-38.128765	0.06041687	0.20958959	0.8353982	-0.7469001	16.815022	9.478571	38.31019	-0.82748675	16.822674	9.464979	38.31019	0.016905304	0.8610312	0.29286292	1.0549312	-0.082748674	372.58826	339.84192	1467.6705	0.0002857893	16.500061	9.974908	38.681034	2.8578932e-05
2	2999	28.88503360748291	3.1628726	6.1479716	23.34993	-6.1885276	22.066668	-1.7566769	0.0	-1.7566769	-1.7566769	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-2.3324313	3.0509214	8.68414	-11.590904	-15.696437	9.973946	0.977803	-50.6593	0.022396596	0.2069835	0.70411265	-0.6566801	15.718832	9.98649	50.714447	-0.667581	15.726574	9.974295	50.714447	0.0040669725	0.83849126	0.30798227	1.0504946	-0.0667581	346.8117	411.04926	2571.9553	1.6540265e-05	15.323794	10.461405	50.769653	1.6540265e-06
3	3999	35.13083791732788	1.7894425	6.4324756	23.535067	-8.250434	20.469387	-2.2719178	0.0	-2.2719178	-2.2719178	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-2.3700352	3.275255	8.838656	-13.280411	-18.641794	13.81384	2.6584308	-68.006134	0.026843898	0.2104271	0.8056762	-0.7187816	18.668636	13.812237	68.188774	-2.6842709	18.69331	13.778826	68.188774	0.03652328	0.8466359	0.30384272	1.0472567	-0.26842707	539.29584	771.9275	4649.7085	0.0013339499	18.302479	14.21064	68.371895	0.00013339498
4	4999	41.73327112197876	1.9083222	4.7744718	16.023567	-6.594816	22.977272	-1.7019083	0.0	-1.7019083	-1.7019083	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-2.4759924	3.1378465	9.8743515	-10.03651	-17.038267	9.661676	0.54194075	-49.898487	0.0106488215	0.1971247	0.7568878	-0.6859294	17.048916	9.682338	50.00371	-0.35716632	17.051779	9.677292	50.00371	0.042505577	0.86545163	0.28706685	1.039028	-0.03571663	384.4131	369.91565	2500.371	0.001806724	16.717602	10.150951	50.109158	0.0001806724
5	5999	447.3988060951233	16.267384	55.679585	136.61623	-34.542038	124.25	95.19788	0.0	95.19788	95.19788	112.0	141.79654	88.88014	323.7963	-93.32464	146.74303	-1.2373055	2.957525	35.423527	-12.92016	-153.64601	0.8798275	0.06447006	1.0010887	0.7740636	-0.50291026	0.9034831	0.6817714	23.83996	1.5795231e-06	34.75991	31.80161	100.71665	-14.17097	46.438896	36.47699	124.137695	-18.007833	284.71603	25.30003	344.9874	165.64326	238.27716	32.914124	321.06223	154.78802	238.27716	32.914124	321.06223	154.78802	9.985272	8.666933	31.472588	1.2560458	57859.344	15608.194	103080.96	23959.332	2545.4163	2371.6775	9905.237	194.42084
6	6999	851.2345089912415	71.1143	118.18115	355.12958	-29.226759	91.7	-3.6480176	0.0	-3.6480176	-3.6480176	117.0	254.10231	73.36357	384.41483	-99.37474	171.6051	-0.013659306	3.4365196	27.091114	-11.731251	-270.31036	0.68500084	0.0468312	0.7738605	0.6080385	-1.1211038	0.8473301	0.647214	5.5846767	2.9802322e-07	6.168847	15.488296	49.5061	-28.450176	12.257144	19.517838	67.3923	-29.13255	238.17966	50.61644	313.3688	-18.950981	225.92252	42.12266	295.9189	-17.626862	225.95653	41.939743	295.9189	3.2708476	15.597492	7.5041957	29.591892	-1.7626861	52815.3	15196.497	87568.01	10.698444	3633.2026	1978.6442	8756.801	1.0698444
7	7999	1254.6324095726013	118.39242	117.1719	317.59085	16.109138	224.25	-4.9055605	0.0	-4.9055605	-4.9055605	135.0	203.46858	60.061646	312.7239	-68.02082	35.202545	0.06936015	3.495939	27.70047	-13.383829	-215.73354	0.53189945	0.042429015	0.6078703	0.4604993	-1.8599279	0.7895379	0.62302047	5.692397	1.8924475e-06	-9.70542	12.727805	26.925714	-39.85663	-1.9509587	16.9208	40.860508	-38.355736	163.52975	44.89156	221.89465	-5.440352	165.48071	42.21384	240.55785	-3.7951257	165.48796	42.18544	240.55785	3.7951257	12.066643	5.190428	22.070112	-0.37951258	29165.875	11698.251	57868.082	14.40298	2103.776	1136.0452	4870.899	1.440298
8	8999	1662.1731419563293	99.41812	132.3316	350.81912	-15.472037	164.0	545.6462	0.0	545.6462	545.6462	360.0	147.85043	43.645412	250.55196	-86.23539	14.964191	0.031393424	3.419284	27.067581	-13.280377	-156.281	0.39884388	0.03380938	0.46036226	0.3437977	-2.7338915	0.773851	0.6170189	7.1082916	1.065433e-06	64.01259	52.964394	140.46101	-30.644743	69.72265	51.78749	146.76291	-23.215979	142.41122	30.929514	195.56763	-19.30265	72.68858	42.897358	168.57933	-15.68662	72.797066	42.712997	168.57933	0.55769527	2.9247124	3.8833206	15.961831	-1.5686619	7123.8135	6753.7495	28418.988	0.31102398	343.80063	528.49536	2547.8005	0.0021855491
9	9999	2063.8284928798676	400.824	109.03337	588.36975	274.26416	248.4	16.167755	0.0	16.167755	16.167755	163.0	118.549355	30.733917	192.43686	-83.58853	9.628215	0.23582087	3.4934685	30.584538	-13.5998955	-124.93716	0.29903767	0.024529245	0.34370023	0.25917223	-3.3379495	0.78466886	0.6361436	7.416519	7.7299774e-07	51.846165	70.32451	179.41133	-35.577156	49.721714	68.31527	179.05226	-38.83664	121.01877	23.843122	161.80377	-6.533881	71.29706	57.692772	157.61436	-49.45608	79.42841	45.856888	157.61436	2.5928528	3.7164552	3.987306	14.666043	-0.3000833	8411.727	7248.8794	24842.29	6.722886	439.48523	506.91486	2150.9282	0.04543253
