Epoch	TotalEnvInteracts	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	TestEpLen	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	LossQ1	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	AverageAlpha	StdAlpha	MaxAlpha	MinAlpha	LossAlpha	AveragePreTanh	StdPreTanh	MaxPreTanh	MinPreTanh	AverageMCDisRet	StdMCDisRet	MaxMCDisRet	MinMCDisRet	AverageMCDisRetEnt	StdMCDisRetEnt	MaxMCDisRetEnt	MinMCDisRetEnt	AverageQPred	StdQPred	MaxQPred	MinQPred	AverageQBias	StdQBias	MaxQBias	MinQBias	AverageQBiasAbs	StdQBiasAbs	MaxQBiasAbs	MinQBiasAbs	AverageNormQBias	StdNormQBias	MaxNormQBias	MinNormQBias	AverageQBiasSqr	StdQBiasSqr	MaxQBiasSqr	MinQBiasSqr	AverageNormQBiasSqr	StdNormQBiasSqr	MaxNormQBiasSqr	MinNormQBiasSqr
0	999	19.173919200897217	22.293045	23.317293	132.62253	5.2394886	24.625	60.34344	0.0	60.34344	60.34344	53.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.096712	5.535892	27.360485	-2.5761926	10.059441	7.585509	36.065235	-0.9156942	-0.3273593	0.26958668	0.7346482	-1.2754921	-10.3868	7.5669665	0.38017857	-36.30272	10.388305	7.5648985	36.30272	0.039283186	-0.7193396	0.34354064	0.038017858	-1.0814811	165.14459	212.14156	1317.8873	0.0015431687	9.597892	8.431567	36.541763	0.00015431686
1	1999	31.326387643814087	20.814556	20.167421	124.153015	5.428253	23.5	60.34344	0.0	60.34344	60.34344	53.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.096712	5.535892	27.360485	-2.5761926	10.059441	7.585509	36.065235	-0.9156942	-0.3273593	0.26958668	0.7346482	-1.2754921	-10.3868	7.5669665	0.38017857	-36.30272	10.388305	7.5648985	36.30272	0.039283186	-0.7193396	0.34354064	0.038017858	-1.0814811	165.14459	212.14156	1317.8873	0.0015431687	9.597892	8.431567	36.541763	0.00015431686
2	2999	43.461118936538696	17.460537	16.582548	105.42657	5.3510084	20.979591	59.399616	0.0	59.399616	59.399616	53.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.233373	8.929823	41.937675	-3.47486	11.577597	11.154159	53.84074	-1.2010777	-0.32523465	0.26309136	0.6864884	-1.0610514	-11.902831	11.145243	0.84305984	-54.076874	11.911729	11.135734	54.076874	0.003833838	-0.7043571	0.35602036	0.08430598	-1.0746115	265.89383	488.51843	2924.308	1.4698313e-05	11.146119	11.879275	54.31404	1.4698313e-06
3	3999	55.48411560058594	17.077888	8.235182	38.263966	5.8786683	22.044445	59.796833	0.0	59.796833	59.796833	53.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.046069	10.344884	58.180862	-0.5064567	12.620604	12.953299	71.834915	-0.72630024	-0.33050227	0.28862903	0.7194003	-1.1560658	-12.951105	12.923758	0.45437774	-72.316574	12.952015	12.922848	72.316574	0.014520665	-0.72594476	0.3448411	0.04543777	-1.098727	334.7547	740.4994	5229.687	0.0002108497	12.206325	13.614042	72.80147	2.108497e-05
4	4999	67.66343426704407	22.184013	22.71988	109.465385	6.3513336	23.47619	60.312557	0.0	60.312557	60.312557	54.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.693829	9.1059	39.994812	-2.6318586	13.355648	11.939544	52.037384	-1.4091913	-0.32369235	0.27499777	0.7424532	-1.0491071	-13.67934	11.910446	1.0460782	-51.95801	13.689196	11.899117	51.95801	0.012705353	-0.74423367	0.34400266	0.10460782	-1.0841523	328.9831	517.65784	2699.635	0.00016142598	13.025732	12.652193	51.87876	1.6142598e-05
5	5999	578.7923448085785	162.94719	74.01783	272.4537	47.693935	78.666664	199.0196	0.0	199.0196	199.0196	89.0	95.52723	54.937412	189.36382	-31.032413	7.60283	-0.7344342	1.9202121	14.87144	-8.972963	-101.88861	0.8829002	0.06300682	0.99970007	0.77844995	-0.19754286	0.8395662	0.6140877	4.8874655	5.841255e-06	84.92379	36.850155	129.71896	1.8715662	89.27235	40.38013	140.80319	1.8715662	164.35056	47.44609	190.41055	-0.7559995	75.0782	31.968065	173.94519	-6.5636053	75.14474	31.81135	173.94519	0.10735609	1.183164	1.5256681	17.39452	-0.6563605	6658.694	5143.721	30256.932	0.011525329	117.49677	253.41217	3025.693	0.001152533
6	6999	1097.1259651184082	185.08107	42.476223	222.5963	53.728645	87.5	214.83476	0.0	214.83476	214.83476	105.0	188.93044	53.52827	231.45262	-50.65636	17.953978	-0.31145218	2.3908758	18.89022	-10.40637	-198.5715	0.6870243	0.05155468	0.778257	0.60270244	-0.4917361	0.89845806	0.66924536	5.7865233	4.7683716e-07	88.530304	37.497307	134.30832	2.398278	95.3159	42.112965	149.87738	2.398278	175.46783	65.22203	231.29831	1.1166149	80.15195	30.482595	144.46686	-2.90964	80.17763	30.414965	144.46686	0.17733324	0.9328963	0.59579796	5.7202353	-0.28575808	7353.5225	3912.8804	20870.672	0.031447075	80.986115	67.25091	539.1417	0.001785126
7	7999	1613.6163749694824	283.1419	35.59788	331.25388	236.81424	128.125	330.4268	0.0	330.4268	330.4268	155.0	197.38928	60.915745	235.33533	-35.337753	11.252154	-0.06862185	2.5258625	19.28872	-9.342215	-206.25862	0.5344842	0.03822771	0.60256654	0.47155407	-0.66840094	0.9065868	0.69335467	6.3404074	1.1920929e-07	108.17704	44.728085	159.9429	1.6918802	115.89821	51.072838	179.17929	1.6918802	160.04039	76.3626	231.73224	-1.8063309	44.14217	34.04084	137.64902	-37.118702	47.7893	28.696575	137.64902	0.008107981	0.33048728	0.40926117	1.9474318	-0.9039563	3107.3103	3116.697	18947.252	6.5739354e-05	26.168982	34.23883	264.36676	7.1801276e-07
8	8999	2131.6812024116516	262.7505	46.308018	325.84378	196.63866	132.14285	340.62073	0.0	340.62073	340.62073	154.0	181.05045	60.081463	233.2323	-28.5291	7.769512	-0.08907414	2.4716365	20.041473	-10.223386	-188.45639	0.41071272	0.033353213	0.47144175	0.3570778	-0.9681046	0.8882969	0.6812639	5.791812	1.7881393e-07	117.725685	44.907715	165.22246	1.8972296	122.995674	50.624912	181.25648	1.8972296	142.55272	69.430435	209.90947	2.6782055	19.55706	23.375175	58.04139	-33.426033	27.865273	12.345196	58.04139	0.046824466	0.1358688	0.34192795	2.119334	-0.79524726	928.8774	680.3612	3368.803	0.0021925305	7.637153	5.708963	44.915768	2.4380914e-05
9	9999	2648.958731174469	289.3087	79.854095	344.8624	121.948616	135.14285	328.40677	0.0	328.40677	328.40677	151.0	171.58281	55.179714	211.72185	-29.586796	5.46854	0.12273272	2.4786077	21.047728	-11.182598	-178.10997	0.31821766	0.023633083	0.3570056	0.276967	-1.0128949	0.8812904	0.6802681	6.8590193	2.041459e-06	119.1089	46.285126	166.23819	1.9734337	126.125755	51.46952	182.85614	1.9734337	141.30553	66.72511	203.81674	-2.2323432	15.179782	18.172314	40.603966	-34.327385	21.482569	9.957811	40.603966	0.0080385115	0.051729735	0.22749415	0.44160903	-0.96051663	560.6587	387.24197	1648.6821	6.461766e-05	4.498582	3.74488	28.732014	4.2490515e-06
