Epoch	TotalEnvInteracts	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	TestEpLen	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	LossQ1	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	AverageAlpha	StdAlpha	MaxAlpha	MinAlpha	LossAlpha	AveragePreTanh	StdPreTanh	MaxPreTanh	MinPreTanh	AverageMCDisRet	StdMCDisRet	MaxMCDisRet	MinMCDisRet	AverageMCDisRetEnt	StdMCDisRetEnt	MaxMCDisRetEnt	MinMCDisRetEnt	AverageQPred	StdQPred	MaxQPred	MinQPred	AverageQBias	StdQBias	MaxQBias	MinQBias	AverageQBiasAbs	StdQBiasAbs	MaxQBiasAbs	MinQBiasAbs	AverageNormQBias	StdNormQBias	MaxNormQBias	MinNormQBias	AverageQBiasSqr	StdQBiasSqr	MaxQBiasSqr	MinQBiasSqr	AverageNormQBiasSqr	StdNormQBiasSqr	MaxNormQBiasSqr	MinNormQBiasSqr
0	999	1.5574092864990234	22.293045	23.317293	132.62253	5.2394886	24.625	60.343445	0.0	60.343445	60.343445	53.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.7291627	6.7094154	36.67838	-2.6259482	10.1052065	9.05973	48.583626	-1.3433344	-0.0061865896	0.047799826	0.16857298	-0.1625532	-10.111393	9.070131	1.3807237	-48.5789	10.145801	9.031626	48.5789	0.0015084833	-0.6607826	0.36803898	0.13807237	-1.0099081	184.50757	321.93192	2359.9097	2.2755219e-06	9.227102	9.629298	48.574173	2.2755219e-07
1	1999	2.152521848678589	20.814556	20.167421	124.153015	5.428253	23.5	60.343445	0.0	60.343445	60.343445	53.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.7483964	7.310343	39.080383	-2.80025	10.984582	9.529416	48.683903	-0.9443768	-0.003952305	0.046874445	0.18732025	-0.16224207	-10.988535	9.540508	0.90133077	-48.688946	11.003257	9.523523	48.688946	0.01013882	-0.68888617	0.35614827	0.09013308	-1.0123336	211.7692	347.30276	2370.6133	0.00010279567	10.116433	10.14891	48.693985	1.0279567e-05
2	2999	2.7569422721862793	17.460537	16.582548	105.42657	5.3510084	20.979591	59.399616	0.0	59.399616	59.399616	53.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.2427897	9.662742	58.478264	-4.99384	10.739811	12.036866	74.159966	-2.5599964	-0.008469307	0.043854173	0.14607236	-0.11622908	-10.74828	12.045053	2.502469	-74.17783	10.850834	11.952749	74.17783	0.0048406664	-0.64133024	0.3899804	0.2502469	-1.007716	260.6088	697.62683	5502.351	2.343205e-05	9.972205	12.455375	74.19571	2.343205e-06
3	3999	3.3255720138549805	17.077888	8.235182	38.263966	5.8786683	22.044445	59.796833	0.0	59.796833	59.796833	53.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.590205	5.223795	26.146914	-3.7620256	8.85311	7.346385	36.12098	-1.673687	-0.008424831	0.04649866	0.16572565	-0.15314361	-8.861535	7.3598332	1.6225319	-36.12196	8.906902	7.304865	36.12196	0.009623097	-0.6338095	0.3774763	0.1622532	-1.0088505	132.69395	191.04324	1304.7959	9.2603994e-05	7.968459	7.9119225	36.12294	9.2604e-06
4	4999	3.8926889896392822	22.184013	22.71988	109.465385	6.3513336	23.47619	60.312553	0.0	60.312553	60.312553	54.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.659572	6.1368732	31.83089	-0.9763317	9.697317	8.446302	43.746334	-0.7335528	-0.0038977338	0.04480517	0.14505145	-0.13319752	-9.701216	8.457614	0.67892385	-43.791626	9.705785	8.452368	43.791626	0.0013547433	-0.6547917	0.36147785	0.06789238	-1.0126789	165.6448	276.27402	1917.7067	1.8353294e-06	8.749803	9.069452	43.836967	1.8353293e-07
5	5999	245.4222276210785	167.88786	100.99	412.85028	23.942844	83.083336	334.1681	0.0	334.1681	334.1681	161.0	111.65591	70.24869	294.71524	-62.00435	33.556156	-0.095529646	2.1089113	15.075171	-10.754891	-119.974976	0.9067217	0.043565262	0.99970007	0.840082	-0.07871712	0.9600402	0.6714342	4.955393	8.940697e-07	116.4335	43.57969	161.67502	2.557863	125.25686	47.377117	176.53467	2.557863	236.39032	44.14396	312.79425	-16.575195	111.133446	44.090122	209.56221	-19.274155	111.17741	43.979156	209.56221	0.72363675	1.4043448	1.7659891	17.503141	-1.9274155	14294.583	10541.06	43916.32	0.52365017	194.66766	288.56525	3063.5994	0.05236502
6	6999	488.5898289680481	288.2874	45.16422	356.90234	232.60751	126.125	302.0531	0.0	302.0531	302.0531	127.0	245.10135	66.15728	334.7764	-153.06642	83.10706	0.444942	2.4334972	17.468756	-11.210642	-258.8139	0.7793599	0.04193998	0.8399647	0.69262373	-0.1476598	1.0296416	0.7323674	5.138318	5.9604645e-08	116.15017	49.303654	168.03659	2.2085633	126.3464	54.38066	183.99762	2.2085633	222.0956	76.87516	294.37363	-53.85489	95.749214	31.22815	143.27428	-56.107407	96.95851	27.242558	143.27428	0.6783241	0.8559855	0.8043257	5.633129	-5.6107407	10143.11	4280.5425	20527.518	0.4601236	90.98544	54.78928	317.3214	0.036856182
7	7999	737.3706045150757	331.06607	34.18983	404.21896	305.0133	158.0	286.6638	0.0	286.6638	286.6638	147.0	214.08829	69.157745	301.57343	-145.13075	58.02617	0.05900146	2.3757818	15.252476	-10.183652	-224.4673	0.5967456	0.057716064	0.692431	0.49583724	-0.5080583	0.96220386	0.70751166	5.85452	1.1920929e-06	120.661674	44.474598	178.74289	1.2879425	132.21776	50.291378	197.78784	1.2879425	168.81013	57.82574	228.66013	-52.998596	36.592377	21.98218	88.40063	-70.577866	38.342793	18.762957	88.40063	0.45143354	0.3894376	0.7915292	6.624171	-4.0148354	1822.2183	1583.1727	7814.6704	0.20379223	22.182789	43.652756	438.7964	0.0012310891
8	8999	994.5324447154999	457.30936	84.28865	601.95557	399.18973	255.0	207.9189	0.0	207.9189	207.9189	92.0	166.23763	54.94631	231.4426	-71.0566	31.862766	-0.048860054	2.2996676	15.420942	-13.169916	-173.46027	0.42273235	0.037436947	0.49565175	0.36325032	-0.90009224	0.93729913	0.69303286	5.5302896	1.3113022e-06	100.20832	42.188198	162.97934	2.1970358	109.17346	47.476345	178.18105	2.1970358	147.89534	52.458305	195.42755	-34.15267	38.72187	33.067764	142.81183	-36.64883	41.13159	30.01753	142.81183	0.023551611	0.57461834	1.2720603	13.469152	-3.664883	2592.8606	3238.1816	20395.22	0.00055467844	47.43735	154.51372	1814.1807	3.716855e-06
9	9999	1257.2760787010193	305.2182	39.037437	350.9958	212.49564	128.875	333.838	0.0	333.838	333.838	139.0	148.25465	49.063377	199.50192	-72.53526	23.210915	0.022523586	2.363875	16.584124	-9.381658	-154.12718	0.31524205	0.026820643	0.36313844	0.27141637	-1.132302	0.9534511	0.70284736	5.859589	7.5101852e-06	130.61575	50.972645	193.15387	3.0022914	135.84091	55.019497	203.451	3.0022914	129.39983	45.886894	178.26997	-18.73955	-6.4411	21.948141	55.128834	-51.871548	19.137362	12.528769	55.128834	0.028764863	0.036037896	0.51587105	5.512883	-2.2280118	523.2087	609.7262	3039.188	0.0008274173	7.3347344	20.458838	303.91882	4.959095e-06
