Epoch	TotalEnvInteracts	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	TestEpLen	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	LossQ1	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	AverageAlpha	StdAlpha	MaxAlpha	MinAlpha	LossAlpha	AveragePreTanh	StdPreTanh	MaxPreTanh	MinPreTanh	AverageMCDisRet	StdMCDisRet	MaxMCDisRet	MinMCDisRet	AverageMCDisRetEnt	StdMCDisRetEnt	MaxMCDisRetEnt	MinMCDisRetEnt	AverageQPred	StdQPred	MaxQPred	MinQPred	AverageQBias	StdQBias	MaxQBias	MinQBias	AverageQBiasAbs	StdQBiasAbs	MaxQBiasAbs	MinQBiasAbs	AverageNormQBias	StdNormQBias	MaxNormQBias	MinNormQBias	AverageQBiasSqr	StdQBiasSqr	MaxQBiasSqr	MinQBiasSqr	AverageNormQBiasSqr	StdNormQBiasSqr	MaxNormQBiasSqr	MinNormQBiasSqr
0	999	3.140329599380493	120.9081	32.29719	216.34543	83.19537	24.170732	107.70396	0.0	107.70396	107.70396	22.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	75.58841	42.927334	211.46869	3.7759414	-461.67886	290.13565	6.1919827	-1306.7687	-1.5797222	1.6242046	3.5832772	-5.752171	460.09915	290.18365	1306.6925	-10.114447	460.56555	289.44278	1306.6925	2.9010997	0.93764114	0.3058276	1.0823976	-1.0114447	295897.78	309763.2	1707445.2	8.41638	459.0163	289.46735	1306.6163	0.84163797
1	1999	4.490204334259033	119.15225	31.674957	216.05151	78.76896	24.02381	107.70396	0.0	107.70396	107.70396	22.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	75.58841	42.927334	211.46869	3.7759414	-461.67886	290.13565	6.1919827	-1306.7687	-1.5797222	1.6242046	3.5832772	-5.752171	460.09915	290.18365	1306.6925	-10.114447	460.56555	289.44278	1306.6925	2.9010997	0.93764114	0.3058276	1.0823976	-1.0114447	295897.78	309763.2	1707445.2	8.41638	459.0163	289.46735	1306.6163	0.84163797
2	2999	5.8011157512664795	118.352844	30.781944	223.01996	83.474915	23.619047	112.74596	0.0	112.74596	112.74596	23.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	74.96669	43.413193	197.28943	4.0184894	-468.3496	298.59723	5.8794103	-1339.8535	-1.418297	1.6812032	3.8167686	-5.655672	466.93127	298.67682	1339.7749	-10.19657	467.34637	298.0269	1339.7749	2.5632422	0.94019073	0.29222226	1.074989	-1.019657	307232.66	326635.94	1794996.9	6.57021	465.92926	298.12903	1339.6964	0.657021
3	3999	7.122352600097656	112.997536	29.20088	210.18936	83.286	22.522728	102.28285	0.0	102.28285	102.28285	21.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	77.04491	43.788708	192.95418	3.8221638	-481.0904	308.20996	6.1213126	-1281.7	-1.4976255	1.6847203	3.9831314	-5.6223197	479.5928	308.30185	1281.6134	-9.330943	479.99933	307.66858	1281.6134	2.8364856	0.94156307	0.28815788	1.0434572	-0.9330943	325059.3	342683.72	1642532.8	8.0456505	478.50818	307.7748	1281.5269	0.804565
4	4999	8.450013399124146	119.03293	33.708797	232.08597	83.30822	23.651163	112.48796	0.0	112.48796	112.48796	23.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	79.36693	45.43891	213.22894	4.1014323	-493.37683	306.42114	6.170279	-1268.0436	-1.4308708	1.722575	4.149353	-5.3327913	491.94598	306.4801	1267.9634	-10.946143	492.34787	305.83405	1267.9634	3.0821362	0.944034	0.28592202	1.0706835	-1.0946143	335940.88	340388.03	1607731.0	9.499563	490.92145	305.91077	1267.8832	0.94995636
5	5999	237.46741032600403	201.37097	153.059	582.101	77.65479	38.68	325.97986	0.0	325.97986	325.97986	61.0	238.33087	243.69696	817.058	-205.3303	129.64366	-1.5067378	14.382243	206.59135	-20.639194	-257.70007	0.96692234	0.034837976	1.0139363	0.91067207	-0.20038846	0.99467856	1.1107112	35.186153	2.9802322e-07	163.04329	81.70454	361.1777	5.2998033	196.68988	100.293526	438.7449	5.2998033	529.67975	200.8401	826.89844	-128.73091	332.98984	124.32716	555.1094	-135.1076	335.16412	118.34056	555.1094	4.1086636	2.0978725	2.169634	27.097857	-13.51076	126339.49	68732.81	308146.44	16.881117	727.4911	590.3199	7342.9385	0.41534513
6	6999	464.09397625923157	393.98044	82.80661	593.5138	247.8289	75.76923	367.84592	0.0	367.84592	367.84592	73.0	473.90182	260.56866	948.6859	-159.04025	184.87196	-1.496506	5.704761	27.263012	-23.331238	-508.52264	0.8618972	0.032606803	0.9105947	0.79770637	-0.53933793	0.96565235	0.7110664	6.3961973	4.172325e-07	136.0702	71.15033	280.10797	3.6716416	165.58908	88.07989	349.27374	3.6716416	495.68674	168.95341	770.63916	-178.32385	330.0977	111.2942	593.14624	-190.75668	331.65503	106.56358	593.14624	1.7826818	3.082727	3.5102837	32.167694	-15.952145	121350.87	64413.156	351822.47	3.1779542	1014.3983	1020.49133	12906.282	0.05599891
7	7999	691.5207116603851	368.42728	55.86789	444.171	254.80704	72.0	519.03656	0.0	519.03656	519.03656	95.0	330.7068	191.3588	820.7158	-111.65682	148.45032	-3.083527	4.9198575	19.0383	-20.971848	-353.40213	0.7094472	0.05340588	0.7975457	0.61552256	-1.7946235	0.9160722	0.67521435	6.2866554	2.30968e-07	172.96146	88.290375	383.36932	3.607303	215.85916	111.93078	478.70697	3.607303	263.0904	131.60391	509.62082	-92.121925	47.231216	71.430084	189.47917	-251.98349	72.64589	45.338943	251.98349	0.021616036	0.21307348	0.758952	2.8766782	-9.806896	7333.045	7968.463	63495.676	0.00046725303	37.606472	54.210567	961.7522	1.7467121e-06
8	8999	918.8259801864624	431.9696	97.27441	655.40125	302.42252	81.666664	448.30362	0.0	448.30362	448.30362	95.0	238.8777	129.41978	567.25085	-38.486313	80.90735	-3.927208	4.9713955	20.358854	-25.482117	-253.87025	0.52990574	0.047140528	0.61533797	0.45247847	-3.792092	0.87950057	0.6517526	5.2463145	1.3709068e-06	168.75359	83.47518	309.34973	3.3558657	213.04129	108.05518	397.62863	3.3558657	219.09335	99.87913	391.1365	-97.57277	6.052059	46.305595	190.37895	-128.3283	36.112846	29.609081	190.37895	0.024215901	0.07074066	0.8181695	5.489711	-10.1195345	2180.8354	3777.4517	36244.145	0.0005864099	22.565582	65.743286	1024.0499	3.1122975e-06
9	9999	1145.9108319282532	389.9498	74.95731	533.5406	205.7496	74.78571	490.82037	0.0	490.82037	490.82037	91.0	209.97713	107.52135	444.54297	-49.03116	52.562374	-3.3725429	5.385162	21.26873	-20.39376	-221.63109	0.39362195	0.031916283	0.45234054	0.34133506	-5.0093555	0.8828324	0.6536923	5.5027947	7.1525574e-07	172.93738	86.19129	346.9398	4.0884495	215.17383	109.24903	434.76697	4.0884495	206.22427	91.88915	360.1581	-34.39175	-8.949537	45.468464	117.151344	-143.75403	36.651215	28.357784	143.75403	0.025803505	0.03841492	0.59015095	5.4708886	-3.5555274	2147.4758	2917.645	20665.223	0.00066582084	14.511243	27.804049	299.3062	3.7992015e-06
10	10999	1374.1769151687622	410.71326	62.975037	535.14606	304.9874	78.083336	410.41925	0.0	410.41925	410.41925	76.0	192.69505	96.18654	397.16595	-36.227043	38.59883	-2.887021	5.9147124	23.08493	-22.159418	-202.04306	0.29832894	0.023795567	0.34124368	0.25920475	-5.916584	0.88794833	0.66041446	5.4100575	6.556511e-07	170.59294	81.74134	321.1949	4.87724	209.06026	102.0306	397.26855	4.87724	185.94714	83.93226	321.41672	-43.023445	-23.113111	33.81637	59.39287	-124.36216	31.639675	26.013334	124.36216	0.0005109587	-0.09306905	0.44044468	4.2611375	-4.967652	1677.7626	2499.2908	15465.946	2.610788e-07	8.598149	16.363548	246.77563	3.4032472e-09
