Epoch	TotalEnvInteracts	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	TestEpLen	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	LossQ1	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	AverageAlpha	StdAlpha	MaxAlpha	MinAlpha	LossAlpha	AveragePreTanh	StdPreTanh	MaxPreTanh	MinPreTanh	AverageMCDisRet	StdMCDisRet	MaxMCDisRet	MinMCDisRet	AverageMCDisRetEnt	StdMCDisRetEnt	MaxMCDisRetEnt	MinMCDisRetEnt	AverageQPred	StdQPred	MaxQPred	MinQPred	AverageQBias	StdQBias	MaxQBias	MinQBias	AverageQBiasAbs	StdQBiasAbs	MaxQBiasAbs	MinQBiasAbs	AverageNormQBias	StdNormQBias	MaxNormQBias	MinNormQBias	AverageQBiasSqr	StdQBiasSqr	MaxQBiasSqr	MinQBiasSqr	AverageNormQBiasSqr	StdNormQBiasSqr	MaxNormQBiasSqr	MinNormQBiasSqr
0	999	2.6218907833099365	1.0747212	5.7600102	18.986414	-7.0221887	19.431372	-2.2483742	0.0	-2.2483742	-2.2483742	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-2.0689306	3.0240288	9.623209	-9.949541	-16.754602	9.472982	1.1528026	-38.128765	0.03377736	0.24608353	1.066302	-0.55460125	16.788382	9.529832	38.32825	-1.4237664	16.805494	9.499621	38.32825	0.022644732	0.8580535	0.29742977	1.0552568	-0.14237663	372.66745	341.02753	1469.0548	0.0005127839	16.482483	10.025776	38.53255	5.1278384e-05
1	1999	3.469210147857666	1.0942866	5.904872	24.766956	-7.2205453	19.62745	-2.2483742	0.0	-2.2483742	-2.2483742	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-2.0689306	3.0240288	9.623209	-9.949541	-16.754602	9.472982	1.1528026	-38.128765	0.03377736	0.24608353	1.066302	-0.55460125	16.788382	9.529832	38.32825	-1.4237664	16.805494	9.499621	38.32825	0.022644732	0.8580535	0.29742977	1.0552568	-0.14237663	372.66745	341.02753	1469.0548	0.0005127839	16.482483	10.025776	38.53255	5.1278384e-05
2	2999	4.320681810379028	3.1628726	6.1479716	23.34993	-6.1885276	22.066668	-1.7566769	0.0	-1.7566769	-1.7566769	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-2.3324313	3.0509214	8.68414	-11.590904	-15.696437	9.973946	0.977803	-50.6593	0.034552038	0.25251096	1.1065164	-0.4794677	15.730987	10.034402	50.632095	-0.9565139	15.749558	10.005229	50.632095	0.010256257	0.83801484	0.31254816	1.0719441	-0.09565139	348.1532	411.99182	2563.6091	0.0001051908	15.378491	10.522127	50.604904	1.051908e-05
3	3999	5.16434645652771	1.7894425	6.4324756	23.535067	-8.250434	20.469387	-2.2719178	0.0	-2.2719178	-2.2719178	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-2.3700352	3.275255	8.838656	-13.280411	-18.641794	13.81384	2.6584308	-68.006134	0.033983868	0.2566534	1.090994	-0.5269069	18.675777	13.875963	68.66352	-2.737555	18.713192	13.825463	68.66352	0.0014212906	0.8450362	0.30884042	1.0604186	-0.2737555	541.327	775.405	4714.679	2.0200669e-06	18.35292	14.302201	69.66626	2.0200669e-07
4	4999	6.0126261711120605	1.9083222	4.7744718	16.023567	-6.594816	22.977272	-1.7019083	0.0	-1.7019083	-1.7019083	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-2.4759924	3.1378465	9.8743515	-10.03651	-17.038267	9.661676	0.54194075	-49.898487	0.059792485	0.25450888	1.0339183	-0.5219394	17.098057	9.725741	50.006264	-0.94331187	17.108921	9.706616	50.006264	0.0105529055	0.86730623	0.29076624	1.0742877	-0.09433119	386.93356	371.199	2500.6265	0.00011136381	16.833004	10.219343	50.114277	1.11363815e-05
5	5999	229.9639880657196	27.91958	49.415787	110.334175	-46.004833	121.625	103.126945	0.0	103.126945	103.126945	268.0	107.17678	61.73495	224.20352	-83.35303	24.174063	-1.6766095	2.6823485	32.003082	-13.069386	-116.99644	0.87517434	0.06919272	1.0011066	0.7593673	-0.61163247	0.8551754	0.65060467	21.292177	3.427267e-07	24.991373	34.549484	89.960785	-38.79269	60.33826	46.656788	141.7233	-23.328865	170.05064	42.93737	223.21251	-64.021805	109.71239	41.650032	197.66212	-62.328506	110.45503	39.638588	197.66212	4.2227182	3.9407122	4.6644907	18.915487	-6.2328506	13771.534	8490.321	39070.316	17.83135	558.5116	753.53516	3577.9565	1.3246295
6	6999	453.2686641216278	43.993114	35.03267	109.17901	13.111753	175.6	360.35364	0.0	360.35364	360.35364	206.0	149.78864	57.422337	241.57048	-97.470314	31.585073	-1.023902	2.9976676	17.360104	-12.189605	-160.78294	0.6640597	0.052989487	0.75916	0.57608294	-1.6539884	0.8154248	0.6118048	5.472232	4.172325e-07	5.8633814	35.866226	89.48736	-52.783993	24.143211	40.925	117.347496	-41.548534	134.50888	71.31143	247.2022	-110.227394	110.365685	56.253414	231.67026	-108.24747	113.47626	49.68067	231.67026	0.26279038	5.0770926	5.1007743	23.167027	-10.824746	15345.031	10698.275	53671.11	0.06905878	745.7189	871.3738	5367.111	0.006905878
7	7999	680.1811919212341	175.61943	157.24136	379.52005	-5.275937	188.0	52.314083	0.0	52.314083	52.314083	189.0	120.55683	54.821392	238.52643	-62.843258	27.102844	-0.8443396	2.966575	22.63242	-12.564688	-129.0238	0.5015955	0.041044515	0.57592183	0.43374985	-2.6598558	0.8000354	0.60723007	5.824293	8.34465e-07	8.344233	39.690723	120.85634	-43.197823	21.706648	45.52454	148.96786	-38.04173	92.091194	64.22953	202.16455	-95.49224	70.38455	45.442673	174.71465	-79.796	74.46437	38.393734	174.71465	0.42000228	3.3923657	3.8130133	17.471464	-7.3297715	7019.022	5670.552	30525.209	0.17640191	363.55756	452.91205	3052.521	0.0012104785
8	8999	901.1820306777954	112.43162	120.13625	348.40826	14.099806	182.8	168.13158	0.0	168.13158	168.13158	233.0	97.90828	47.888016	213.5074	-65.3301	21.151337	-0.6160278	3.0393546	27.02507	-13.284712	-104.479935	0.37806717	0.030855725	0.4336282	0.32684705	-3.5268865	0.7918004	0.60377455	6.431945	1.3411045e-07	54.830475	43.708843	122.95156	-11.734507	68.2203	48.323723	143.43253	-11.484842	102.01637	32.78386	165.77278	-26.776361	33.796074	37.508247	105.518555	-35.48447	41.32312	29.007633	105.518555	0.10846797	1.6253115	2.403368	10.551855	-2.7391136	2549.0432	2832.7917	11134.165	0.0117653	118.908615	198.48982	1113.4165	0.00076011795
9	9999	1123.8864238262177	248.93108	127.08405	356.071	19.064255	219.2	25.980858	0.0	25.980858	25.980858	121.0	74.6912	38.68357	160.6276	-55.539207	15.434311	-0.34739798	3.1224918	29.352104	-11.858302	-79.674034	0.28501543	0.022855435	0.3267535	0.24766248	-4.2014747	0.791719	0.61323875	6.190368	1.4901161e-06	40.549103	49.760567	117.431145	-32.550293	44.77002	56.776546	138.8194	-45.060127	94.27166	25.35474	133.27242	-16.399729	49.50163	50.365196	147.62833	-40.964733	57.242714	41.35621	147.62833	0.044882264	2.4849105	2.946501	14.086474	-1.541802	4987.0645	5734.6416	21794.121	0.0020144174	236.55042	324.35483	1987.1536	1.6683045e-05
