Epoch	TotalEnvInteracts	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	TestEpLen	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	LossQ1	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	AverageAlpha	StdAlpha	MaxAlpha	MinAlpha	LossAlpha	AveragePreTanh	StdPreTanh	MaxPreTanh	MinPreTanh	AverageMCDisRet	StdMCDisRet	MaxMCDisRet	MinMCDisRet	AverageMCDisRetEnt	StdMCDisRetEnt	MaxMCDisRetEnt	MinMCDisRetEnt	AverageQPred	StdQPred	MaxQPred	MinQPred	AverageQBias	StdQBias	MaxQBias	MinQBias	AverageQBiasAbs	StdQBiasAbs	MaxQBiasAbs	MinQBiasAbs	AverageNormQBias	StdNormQBias	MaxNormQBias	MinNormQBias	AverageQBiasSqr	StdQBiasSqr	MaxQBiasSqr	MinQBiasSqr	AverageNormQBiasSqr	StdNormQBiasSqr	MaxNormQBiasSqr	MinNormQBiasSqr
0	999	4.767159461975098	-367.68796	0.0	-367.68796	-367.68796	1000.0	941.8482	0.0	941.8482	941.8482	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-75.86022	40.14643	8.119592	-127.698494	-73.27689	38.40701	9.022185	-134.51399	0.15466341	0.34432986	1.3192433	-0.8944664	73.43155	38.384434	134.5657	-8.626381	73.62233	38.01724	134.5657	0.09584471	0.92972124	0.2726193	1.0854274	-0.8626381	6865.5576	4567.076	18107.93	0.009186207	73.6303	38.27133	134.61745	0.0009186208
1	1999	7.761765003204346	-356.03918	0.0	-356.03918	-356.03918	1000.0	941.8482	0.0	941.8482	941.8482	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-75.86022	40.14643	8.119592	-127.698494	-73.27689	38.40701	9.022185	-134.51399	0.15466341	0.34432986	1.3192433	-0.8944664	73.43155	38.384434	134.5657	-8.626381	73.62233	38.01724	134.5657	0.09584471	0.92972124	0.2726193	1.0854274	-0.8626381	6865.5576	4567.076	18107.93	0.009186207	73.6303	38.27133	134.61745	0.0009186208
2	2999	10.72930908203125	-38.261307	35.421967	-0.37277994	-90.91909	122.75	968.2182	0.0	968.2182	968.2182	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-75.14271	37.724712	5.7071486	-137.1442	-73.23783	33.76632	7.1080203	-130.58472	0.14750217	0.3470887	1.6381598	-1.1820925	73.38534	33.774952	130.66191	-6.752305	73.50972	33.503376	130.66191	0.010447606	0.94351375	0.23643649	1.1022853	-0.6752305	6526.1553	4008.8188	17072.537	0.00010915247	73.52839	33.787003	131.2577	1.0915247e-05
3	3999	12.60622501373291	-113.20493	136.01933	-10.052993	-345.55807	329.5	962.5341	0.0	962.5341	962.5341	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-30.481293	26.90954	6.0201645	-133.74387	-32.544094	30.025263	9.303277	-154.86172	0.15409657	0.35493073	1.5161045	-1.1703658	32.69819	30.035568	155.08916	-9.964042	32.81862	29.90393	155.08916	0.006704893	0.8663035	0.3123225	1.0871997	-0.99640423	1971.3066	3957.697	24052.648	4.495559e-05	32.597763	30.278843	155.31693	4.495559e-06
4	4999	15.094923496246338	-63.423237	84.381355	-0.89888966	-208.02568	115.0	965.55054	0.0	965.55054	965.55054	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-48.999466	36.889336	5.9083953	-108.095024	-48.81266	35.50248	10.462867	-106.77315	0.13168171	0.35514337	1.4349337	-0.98635435	48.944344	35.49308	107.10371	-10.311748	49.426456	34.81856	107.10371	0.034065068	0.8719549	0.37328053	1.0972031	-1.0108963	3655.3074	3721.956	11471.203	0.0011604289	49.305386	35.143227	107.43529	0.00011604288
5	5999	85.5510778427124	-195.08777	147.9358	-47.15196	-343.0236	519.5	-511.61734	0.0	-511.61734	-511.61734	1000.0	135.10042	62.16227	246.52846	-3.7579448	8.5442295	-4.1272163	1.9547106	19.689243	-16.306576	-141.1188	0.8660941	0.07111356	0.99970007	0.7518165	-1.141353	0.8003137	0.6141148	17.565454	1.1920929e-07	-52.29708	24.262758	4.2159486	-100.99145	-14.271667	14.250486	14.540406	-65.434616	200.87238	14.81814	243.34138	114.751434	215.14406	20.148169	294.57092	116.492096	215.14406	20.148169	294.57092	116.492096	15.085579	5.8520575	24.68869	3.9009986	46692.91	8788.05	86772.02	13570.409	3202.3801	1227.4264	6095.3145	963.76025
6	6999	155.62045526504517	-211.31975	255.82497	-5.627694	-571.9209	389.0	210.37701	0.0	210.37701	210.37701	1000.0	221.69145	23.826906	273.44986	-16.51234	14.76748	-2.7430859	2.5832777	18.117506	-14.109269	-227.8765	0.6588238	0.05148263	0.7516152	0.57319933	-2.818797	0.8391517	0.63622534	6.1449614	2.5629997e-06	-42.022564	19.982363	2.198968	-76.02368	-5.34049	10.434972	16.020782	-35.306866	188.10426	15.106368	234.24713	134.55182	193.44473	17.864183	237.32056	129.05719	193.44473	17.864183	237.32056	129.05719	16.647398	3.9353483	23.732056	5.807573	37740.0	6862.507	56321.05	16655.76	3217.1028	847.9838	5632.105	1176.2543
7	7999	227.04258394241333	-75.66912	161.61818	-2.3056824	-532.05505	164.44444	311.49118	0.0	311.49118	311.49118	1000.0	180.04051	28.872454	255.34842	-14.621452	11.28499	-2.538512	2.502113	18.472937	-17.882635	-184.83344	0.4990321	0.04123286	0.57304215	0.4306334	-4.565307	0.76728356	0.58589107	5.6472235	1.4901161e-07	-40.357796	12.071515	4.795687	-63.38758	9.662682	9.846175	30.213	-17.978838	139.93918	15.821095	186.9974	39.815018	130.27649	18.106827	174.84538	22.817596	130.27649	18.106827	174.84538	22.817596	10.522143	3.810777	17.484539	1.3424151	17299.818	4746.0625	30570.91	520.6427	1423.7471	650.2801	3057.0908	30.630686
8	8999	296.71841835975647	-32.581703	20.046686	-1.4857899	-54.52594	86.0	82.82273	0.0	82.82273	82.82273	189.0	120.20885	26.131441	184.61993	-20.372478	8.354569	-2.2945554	2.4424772	19.756763	-13.82997	-124.00734	0.3742903	0.030977452	0.4305086	0.3230648	-6.2002745	0.72305155	0.5551782	5.115036	1.1920929e-07	-20.62454	17.300772	14.939005	-50.715397	14.622932	12.845742	38.423447	-14.210259	92.9435	17.464073	127.49402	26.52772	78.32056	15.410781	125.85853	6.713577	78.32056	15.410781	125.85853	6.713577	5.1659164	2.5488915	12.585854	0.33882752	6371.6025	2289.944	15840.37	45.072113	424.37494	259.41788	1584.037	2.2747445
9	9999	368.50943183898926	-181.10782	180.08124	-1.0265758	-361.18906	507.5	690.6366	0.0	690.6366	690.6366	1000.0	77.662125	17.134647	128.68355	-13.83999	4.174533	-2.392205	2.314742	13.74832	-14.424166	-80.43222	0.27944216	0.024147937	0.32297134	0.23958638	-8.176767	0.6782759	0.52269745	5.210596	1.4901161e-08	-17.104557	16.553165	32.259876	-63.313766	23.958252	15.850327	47.242153	-15.921475	54.440536	6.8782454	74.85368	28.906984	30.482283	18.789246	88.2458	-1.4132587	30.486294	18.782736	88.2458	0.7430283	2.0608807	2.2308733	8.249072	-0.03289149	1282.2053	1479.2383	7787.3213	0.552091	102.800446	148.91212	680.4719	0.012612362
