Epoch	TotalEnvInteracts	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	TestEpLen	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	LossQ1	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	AverageAlpha	StdAlpha	MaxAlpha	MinAlpha	LossAlpha	AveragePreTanh	StdPreTanh	MaxPreTanh	MinPreTanh	AverageMCDisRet	StdMCDisRet	MaxMCDisRet	MinMCDisRet	AverageMCDisRetEnt	StdMCDisRetEnt	MaxMCDisRetEnt	MinMCDisRetEnt	AverageQPred	StdQPred	MaxQPred	MinQPred	AverageQBias	StdQBias	MaxQBias	MinQBias	AverageQBiasAbs	StdQBiasAbs	MaxQBiasAbs	MinQBiasAbs	AverageNormQBias	StdNormQBias	MaxNormQBias	MinNormQBias	AverageQBiasSqr	StdQBiasSqr	MaxQBiasSqr	MinQBiasSqr	AverageNormQBiasSqr	StdNormQBiasSqr	MaxNormQBiasSqr	MinNormQBiasSqr
0	999	1.6487104892730713	22.293045	23.317293	132.62253	5.2394886	24.625	60.343445	0.0	60.343445	60.343445	53.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.188051	6.3635793	33.084404	-1.539556	10.452011	8.449356	43.3776	-0.73033625	-0.07873011	0.061836783	0.12130771	-0.31568396	-10.530743	8.427921	0.45234486	-43.38335	10.534611	8.423085	43.38335	0.00047008958	-0.6962108	0.35458863	0.045234486	-1.0209751	181.92638	265.48135	1882.1152	2.2098422e-07	9.682069	9.078535	43.389103	2.209842e-08
1	1999	2.757038116455078	20.814556	20.167421	124.153015	5.428253	23.5	60.343445	0.0	60.343445	60.343445	53.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.7483964	7.310343	39.080383	-2.80025	10.984582	9.529416	48.683903	-0.9443768	-0.07283569	0.070968285	0.18557876	-0.31932127	-11.057419	9.514197	0.8060343	-48.715385	11.067854	9.502055	48.715385	0.020942304	-0.6950823	0.35201865	0.08060343	-1.0224708	212.78644	347.80576	2373.1887	0.00043858014	10.186824	10.158465	48.746887	4.3858014e-05
2	2999	3.385462760925293	17.460537	16.582548	105.42657	5.3510084	20.979591	59.399616	0.0	59.399616	59.399616	53.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.2427897	9.662742	58.478264	-4.99384	10.739811	12.036866	74.159966	-2.5599964	-0.08079672	0.06930073	0.1441488	-0.33619893	-10.820607	12.019961	2.455818	-74.18431	10.911698	11.93733	74.18431	0.020621672	-0.6480262	0.3856894	0.2455818	-1.0159966	261.565	698.61127	5503.312	0.00042525335	10.036023	12.463963	74.208664	4.2525335e-05
3	3999	4.055624723434448	17.077888	8.235182	38.263966	5.8786683	22.044445	59.796833	0.0	59.796833	59.796833	53.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.590205	5.223795	26.146914	-3.7620256	8.85311	7.346385	36.12098	-1.673687	-0.079476684	0.06842813	0.14901629	-0.35946873	-8.932589	7.3281846	1.5050085	-36.09666	8.969133	7.2834086	36.09666	0.009350639	-0.6403938	0.37297744	0.15050085	-1.0200486	133.4934	191.4439	1302.9689	8.743444e-05	8.029056	7.928087	36.072357	8.743444e-06
4	4999	4.76079249382019	22.184013	22.71988	109.465385	6.3513336	23.47619	60.312553	0.0	60.312553	60.312553	54.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.659572	6.1368732	31.83089	-0.9763317	9.697317	8.446302	43.746334	-0.7335528	-0.082781695	0.06699124	0.17120522	-0.35091975	-9.780099	8.42538	0.56479156	-43.82051	9.78199	8.423184	43.82051	0.013323686	-0.6620569	0.35625297	0.056479156	-1.0171323	166.63737	276.97147	1920.2373	0.0001775206	8.820469	9.083006	43.894814	1.7752061e-05
5	5999	79.3620982170105	160.44145	103.525894	320.57758	28.642603	77.166664	309.82925	0.0	309.82925	309.82925	132.0	113.22265	71.20429	322.4491	-61.32599	36.386837	-0.015747504	2.2404528	15.708534	-10.867443	-121.79431	0.9087203	0.042188346	0.99970007	0.8520297	-0.06720212	0.98060125	0.6800342	5.211183	8.34465e-07	115.08991	46.639187	163.57094	2.8365908	123.69255	51.061485	178.28589	2.8365908	258.0465	41.122986	309.14093	2.495732	134.35399	43.81226	230.28978	-0.48375335	134.35495	43.809345	230.28978	0.48375335	1.8303623	2.1498926	18.794565	-0.048375335	19970.508	12749.499	53033.38	0.23401731	286.0735	372.132	3532.357	0.023401732
6	6999	148.1942708492279	289.93478	33.859055	335.27713	234.1711	121.375	341.58017	0.0	341.58017	341.58017	157.0	281.4044	86.50075	453.86267	-388.33237	93.6965	1.0097116	2.5855198	19.09454	-11.381981	-298.7255	0.85189426	0.008957395	0.8654575	0.83867246	0.0015443129	1.0622516	0.7495069	5.8990126	2.3543835e-06	121.50444	47.493656	182.85141	2.9383204	125.15788	50.803993	187.10399	2.9383204	316.74127	72.05856	466.2135	34.73711	191.58342	48.80554	344.6339	31.79879	191.58342	48.80554	344.6339	31.79879	2.2784407	2.4882376	21.178555	0.56536627	39086.188	19922.508	118772.54	1011.163	451.46866	543.5877	4583.4697	43.98863
7	7999	214.8321487903595	331.81726	184.27347	563.7077	51.86289	189.6	983.23663	0.0	983.23663	983.23663	1000.0	279.58414	89.58275	401.77338	-385.33325	59.11708	0.5613841	2.5327182	18.984816	-10.3744545	-294.0241	0.78375554	0.055923663	0.8570712	0.6706671	-0.12155949	0.97930545	0.7409435	5.9002705	1.4305115e-06	29.89549	16.100636	61.029415	0.46431243	38.74592	20.733316	79.16444	0.46431243	289.38385	9.395742	306.5245	166.96591	250.63792	22.307686	300.34467	165.43315	250.63792	22.307686	300.34467	165.43315	9.942471	8.167203	30.034466	2.6155207	63317.008	11218.522	90206.914	27368.125	2642.4858	2393.4475	9020.691	541.39374
8	8999	283.77927803993225	253.30804	225.00261	715.89386	29.982304	190.0	291.25772	0.0	291.25772	291.25772	141.0	239.36343	76.88	434.65707	-424.42734	43.278614	0.7003068	2.562882	20.055174	-10.316665	-251.17195	0.6030626	0.022947308	0.6703623	0.5760094	-0.14208995	0.9836192	0.7612153	6.808917	2.1457672e-06	106.70489	44.33461	158.87344	2.0064006	115.26423	49.30403	175.09361	2.0064006	224.42783	95.833725	321.87097	-82.01453	109.16359	50.990498	171.75812	-84.02093	113.84523	39.445965	171.75812	0.43964526	0.7622498	1.1241541	2.1924405	-8.402093	14516.72	6844.6616	29500.852	0.19328795	124.633835	60.78626	705.9516	0.006234437
9	9999	352.3922493457794	258.22342	97.15162	379.23547	99.870285	125.375	347.58078	0.0	347.58078	347.58078	197.0	217.38564	68.175125	352.3429	-310.74258	27.05721	0.46159452	2.5753515	18.252396	-12.977983	-226.93506	0.49491546	0.038143445	0.5758049	0.4304058	-0.37564167	0.94060284	0.7459935	6.862748	9.4249845e-07	111.539986	37.599796	154.63504	2.8671215	124.39307	44.166187	173.57704	2.8671215	178.97624	60.38275	237.261	-42.831898	54.58317	22.48452	87.0971	-49.88486	56.56366	16.894634	87.0971	0.08511572	0.38212222	0.55012065	0.9388653	-4.8762445	3484.8765	1657.2019	7585.9043	0.007244686	30.051985	20.025919	237.77759	0.0007244686
