Epoch	TotalEnvInteracts	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	TestEpLen	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	LossQ1	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	AverageAlpha	StdAlpha	MaxAlpha	MinAlpha	LossAlpha	AveragePreTanh	StdPreTanh	MaxPreTanh	MinPreTanh	AverageMCDisRet	StdMCDisRet	MaxMCDisRet	MinMCDisRet	AverageMCDisRetEnt	StdMCDisRetEnt	MaxMCDisRetEnt	MinMCDisRetEnt	AverageQPred	StdQPred	MaxQPred	MinQPred	AverageQBias	StdQBias	MaxQBias	MinQBias	AverageQBiasAbs	StdQBiasAbs	MaxQBiasAbs	MinQBiasAbs	AverageNormQBias	StdNormQBias	MaxNormQBias	MinNormQBias	AverageQBiasSqr	StdQBiasSqr	MaxQBiasSqr	MinQBiasSqr	AverageNormQBiasSqr	StdNormQBiasSqr	MaxNormQBiasSqr	MinNormQBiasSqr
0	999	3.123279333114624	120.9081	32.29719	216.34543	83.19537	24.170732	107.70396	0.0	107.70396	107.70396	22.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	75.58841	42.927334	211.46869	3.7759414	-461.67886	290.13565	6.1919827	-1306.7687	-0.8772402	2.9662344	7.946302	-10.68637	460.8016	290.1109	1307.4916	-13.72299	461.18448	289.5019	1307.4916	0.21426655	0.9456936	0.2879769	1.2905191	-1.372299	296502.47	310040.44	1709534.2	0.045910157	460.32605	289.50702	1308.65	0.0045910156
1	1999	4.522186517715454	119.15225	31.674957	216.05151	78.76896	24.02381	107.70396	0.0	107.70396	107.70396	22.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	75.58841	42.927334	211.46869	3.7759414	-461.67886	290.13565	6.1919827	-1306.7687	-0.8772402	2.9662344	7.946302	-10.68637	460.8016	290.1109	1307.4916	-13.72299	461.18448	289.5019	1307.4916	0.21426655	0.9456936	0.2879769	1.2905191	-1.372299	296502.47	310040.44	1709534.2	0.045910157	460.32605	289.50702	1308.65	0.0045910156
2	2999	5.842118740081787	118.352844	30.781944	223.01996	83.474915	23.619047	112.74596	0.0	112.74596	112.74596	23.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	74.96669	43.413193	197.28943	4.0184894	-468.3496	298.59723	5.8794103	-1339.8535	-0.7561746	3.0946596	6.9794893	-10.790169	467.5934	298.67264	1340.1056	-14.962288	467.97418	298.07568	1340.1056	0.20577249	0.9453816	0.28930527	1.2791884	-1.4962288	307848.94	326981.28	1795883.0	0.042342316	467.2483	298.16614	1340.3578	0.0042342315
3	3999	7.179401874542236	112.997536	29.20088	210.18936	83.286	22.522728	102.28285	0.0	102.28285	102.28285	21.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	77.04491	43.788708	192.95418	3.8221638	-481.0904	308.20996	6.1213126	-1281.7	-0.6683343	3.0556087	9.798086	-10.088488	480.42212	308.22934	1281.9288	-12.35235	480.75476	307.71027	1281.9288	0.0014800993	0.94964385	0.27450484	1.3168418	-1.235235	325810.72	343092.7	1643341.6	2.190694e-06	480.09827	307.76968	1282.158	2.1906939e-07
4	4999	8.532843351364136	119.03293	33.708797	232.08597	83.30822	23.651163	112.48796	0.0	112.48796	112.48796	23.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	79.36693	45.43891	213.22894	4.1014323	-493.37683	306.42114	6.170279	-1268.0436	-0.63462836	3.1739364	8.429445	-10.032562	492.74222	306.54742	1268.274	-10.591544	493.13034	305.92267	1268.274	0.48035407	0.9486848	0.28536874	1.4076899	-1.0591544	336766.2	340893.1	1608519.1	0.23074004	492.52948	306.05872	1268.5046	0.023074005
5	5999	83.34164190292358	189.20956	121.296646	430.98035	77.34574	36.653847	361.83936	0.0	361.83936	361.83936	68.0	247.11627	255.50937	913.69336	-208.46921	121.03489	-1.3286698	14.532017	206.76253	-20.402523	-267.97244	0.9672542	0.03417637	1.0139213	0.91556567	-0.18227458	0.99596494	1.1201735	44.551605	2.30968e-07	149.73308	74.364555	293.41455	3.9849858	169.3187	86.30074	339.1682	3.9849858	544.5595	259.2701	994.65576	-317.76547	375.24078	184.59818	766.0593	-323.5631	382.29257	169.51256	766.0593	3.6607652	2.2182903	3.0100138	40.844048	-32.356308	174882.14	120437.336	586846.94	13.401201	1022.8166	859.41644	16682.361	0.4472393
6	6999	158.5443639755249	345.46298	69.936134	481.21863	232.89691	68.53333	188.29338	0.0	188.29338	188.29338	40.0	504.82727	301.97424	1089.748	-238.70876	223.58594	0.8002603	5.618878	31.023046	-22.070534	-545.97595	0.8987478	0.012074563	0.9155136	0.87190384	-0.13244456	1.0191284	0.74318165	6.4786067	5.066395e-07	112.20775	59.02267	234.19925	4.5712585	123.58159	65.91383	270.15176	4.5712585	355.07968	257.65726	846.63	-217.32008	231.49806	203.57428	649.0041	-246.1068	255.09775	173.08662	649.0041	0.036523033	1.3920052	2.9893992	24.496552	-22.294134	95033.84	101175.29	421206.28	0.001333932	677.899	635.6802	6127.051	5.4686632e-05
7	7999	234.1942708492279	374.09598	107.77958	602.3269	177.40016	72.21429	257.4881	0.0	257.4881	257.4881	57.0	321.27686	210.01678	994.0149	-206.01138	247.89667	-1.0887185	4.9801993	23.12947	-20.390171	-350.2485	0.8026433	0.044790484	0.87180156	0.7177771	-0.7089216	0.9426588	0.6949464	5.844788	2.5331974e-07	125.03582	65.70895	267.6137	4.547546	141.63441	75.03619	302.33426	4.547546	291.33398	132.70088	596.80554	-80.12433	149.69958	82.04247	381.02066	-97.764595	151.62035	78.43596	381.02066	0.2012577	1.497865	1.8571624	16.196083	-8.531232	29140.936	26883.924	145176.73	0.040504664	254.87279	306.53644	2949.5442	0.00086784066
8	8999	309.1470727920532	387.56506	77.5701	538.65375	262.60284	74.61539	404.7044	0.0	404.7044	404.7044	75.0	234.92	141.30359	706.83716	-139.79677	120.084625	-1.6219597	4.9337316	22.924782	-22.502338	-255.58002	0.6277392	0.049108848	0.71758425	0.5513606	-1.6709853	0.9038231	0.67249453	5.5252037	6.9104135e-07	153.27296	78.23251	317.17856	4.6241384	167.35968	85.43879	339.14423	4.6241384	227.6928	112.286385	509.64465	-61.471832	60.3331	70.826996	304.02255	-182.29788	73.933136	56.483963	304.02255	0.18972886	0.63722855	1.6745182	27.489334	-6.69682	8656.547	12064.84	92429.72	0.035997037	96.33049	327.04404	7556.635	0.00014740984
9	9999	384.40405774116516	374.61304	112.10666	692.37744	223.44077	72.64286	390.11807	0.0	390.11807	390.11807	84.0	217.73285	129.36354	572.793	-100.270035	95.8876	-0.30673674	5.2808967	27.492184	-20.917282	-236.0116	0.49655357	0.029091705	0.55122644	0.44991365	-1.5973101	0.9271153	0.6921211	8.884296	2.3841858e-07	185.18727	95.65023	379.68982	3.8183582	197.52866	101.95722	400.41147	3.8183582	198.3728	101.15825	498.55798	-131.08853	0.84415555	80.55458	239.2488	-248.6441	64.0735	48.829712	248.6441	0.10682212	0.12771946	1.0978607	9.652146	-14.104996	6489.7544	9013.854	61823.89	0.011410965	45.652565	111.20113	1989.5092	7.718801e-05
